"","hea_degs_uni"
"1","gene21647"
"2","gene9607"
"3","gene13376"
"4","gene25118"
"5","gene2006"
"6","gene837"
"7","gene9133"
"8","gene12753"
"9","gene24009"
"10","gene19136"
"11","gene23330"
"12","gene3100"
"13","gene1361"
"14","gene25505"
"15","gene21727"
"16","gene20640"
"17","gene20846"
"18","gene14121"
"19","gene20602"
"20","gene6140"
"21","gene17199"
"22","gene9598"
"23","gene20635"
"24","gene20636"
"25","gene24856"
"26","gene25506"
"27","gene16538"
"28","gene4719"
"29","gene5257"
"30","gene24433"
"31","gene10804"
"32","gene7251"
"33","gene551"
"34","gene21693"
"35","gene564"
"36","gene18367"
"37","gene9533"
"38","gene2941"
"39","gene11217"
"40","gene15925"
"41","gene25815"
"42","gene25948"
"43","gene848"
"44","gene11181"
"45","gene22742"
"46","gene23863"
"47","gene14721"
"48","gene1654"
"49","gene20937"
"50","gene9342"
"51","gene17987"
"52","gene13582"
"53","gene1800"
"54","gene19200"
"55","gene20987"
"56","gene7229"
"57","gene13493"
"58","gene20940"
"59","gene12563"
"60","gene24502"
"61","gene7038"
"62","gene4795"
"63","gene12945"
"64","gene5516"
"65","gene7451"
"66","gene12970"
"67","gene4256"
"68","gene17731"
"69","gene1937"
"70","gene10716"
"71","gene13718"
"72","gene18482"
"73","gene21022"
"74","gene680"
"75","gene11315"
"76","gene24778"
"77","gene10019"
"78","gene3296"
"79","gene10443"
"80","gene15268"
"81","gene17545"
"82","gene12944"
"83","gene777"
"84","gene17624"
"85","gene1991"
"86","gene24071"
"87","gene24591"
"88","gene2118"
"89","gene21980"
"90","gene26772"
"91","gene14779"
"92","gene3418"
"93","gene13515"
"94","gene16568"
"95","gene10005"
"96","gene4003"
"97","gene8187"
"98","gene22250"
"99","gene7096"
"100","gene3538"
"101","gene10603"
"102","gene6047"
"103","gene7025"
"104","gene9997"
"105","gene17905"
"106","gene15728"
"107","gene16425"
"108","gene12910"
"109","gene11286"
"110","gene5431"
"111","gene14332"
"112","gene1780"
"113","gene16623"
"114","gene20708"
"115","gene3353"
"116","gene5182"
"117","gene10704"
"118","gene14540"
"119","gene7110"
"120","gene16993"
"121","gene13247"
"122","gene18232"
"123","gene9522"
"124","gene11483"
"125","gene17643"
"126","gene23868"
"127","gene1705"
"128","gene3512"
"129","gene14788"
"130","gene5635"
"131","gene6760"
"132","gene18153"
"133","gene6365"
"134","gene25611"
"135","gene3982"
"136","gene9705"
"137","gene19914"
"138","gene24307"
"139","gene19903"
"140","gene24178"
"141","gene25054"
"142","gene8386"
"143","gene16639"
"144","gene21979"
"145","gene16871"
"146","gene25946"
"147","gene24276"
"148","gene15137"
"149","gene4299"
"150","gene1863"
"151","gene23033"
"152","gene14225"
"153","gene22724"
"154","gene19904"
"155","gene12821"
"156","gene20614"
"157","gene9182"
"158","gene3798"
"159","gene11218"
"160","gene14223"
"161","gene17424"
"162","gene17234"
"163","gene17941"
"164","gene6255"
"165","gene7302"
"166","gene19189"
"167","gene19190"
"168","gene598"
"169","gene16669"
"170","gene5342"
"171","gene3817"
"172","gene4705"
"173","gene6759"
"174","gene4541"
"175","gene17834"
"176","gene18296"
"177","gene2351"
"178","gene26699"
"179","gene25667"
"180","gene9261"
"181","gene9103"
"182","gene11070"
"183","gene12244"
"184","gene14640"
"185","gene4925"
"186","gene5154"
"187","gene12725"
"188","gene3455"
"189","gene12049"
"190","gene10643"
"191","gene10944"
"192","gene15153"
"193","gene6102"
"194","gene11188"
"195","gene14937"
"196","gene4406"
"197","gene23029"
"198","gene6755"
"199","gene14080"
"200","gene22488"
"201","gene11061"
"202","gene20384"
"203","gene7591"
"204","gene20824"
"205","gene9900"
"206","gene1116"
"207","gene12333"
"208","gene4134"
"209","gene24435"
"210","gene2741"
"211","gene3851"
"212","gene11060"
"213","gene18181"
"214","gene10824"
"215","gene12104"
"216","gene12610"
"217","gene13613"
"218","gene1513"
"219","gene6831"
"220","gene10644"
"221","gene4157"
"222","gene11190"
"223","gene14044"
"224","gene23092"
"225","gene1718"
"226","gene9351"
"227","gene23864"
"228","gene17387"
"229","gene820"
"230","gene4288"
"231","gene6979"
"232","gene1783"
"233","gene24563"
"234","gene4670"
"235","gene17815"
"236","gene20872"
"237","gene18090"
"238","gene16172"
"239","gene20029"
"240","gene4592"
"241","gene19075"
"242","gene2533"
"243","gene14405"
"244","gene25498"
"245","gene1760"
"246","gene9610"
"247","gene4234"
"248","gene6166"
"249","gene12350"
"250","gene3856"
"251","gene17379"
"252","gene18252"
"253","gene22723"
"254","gene3485"
"255","gene13053"
"256","gene4235"
"257","gene2713"
"258","gene18872"
"259","gene15660"
"260","gene21123"
"261","gene8301"
"262","gene14610"
"263","gene23113"
"264","gene14895"
"265","gene10503"
"266","rna46614"
"267","gene4937"
"268","gene14054"
"269","gene2529"
"270","gene15701"
"271","gene11422"
"272","gene3865"
"273","gene19326"
"274","gene23106"
"275","gene19243"
"276","gene24594"
"277","gene24053"
"278","gene1343"
"279","gene5229"
"280","gene16578"
"281","gene14078"
"282","gene5789"
"283","gene10509"
"284","gene12310"
"285","gene17033"
"286","gene22986"
"287","gene10604"
"288","gene19211"
"289","gene11352"
"290","rna46634"
"291","gene11341"
"292","gene26138"
"293","gene13216"
"294","gene9440"
"295","gene13778"
"296","gene9797"
"297","gene17020"
"298","gene20861"
"299","gene12207"
"300","gene9097"
"301","gene15524"
"302","gene25483"
"303","gene929"
"304","gene16709"
"305","gene2719"
"306","gene5619"
"307","gene18447"
"308","gene5618"
"309","gene20156"
"310","gene22523"
"311","gene15308"
"312","gene18381"
"313","gene13660"
"314","gene14931"
"315","gene4324"
"316","gene12371"
"317","gene22833"
"318","gene16519"
"319","gene17877"
"320","gene2806"
"321","gene12099"
"322","gene1067"
"323","gene4315"
"324","gene18536"
