"","int_degs_uni"
"1","gene20381"
"2","gene18443"
"3","gene6992"
"4","gene19950"
"5","gene20757"
"6","gene2568"
"7","gene12146"
"8","gene3185"
"9","gene11744"
"10","gene2604"
"11","gene16222"
"12","gene21792"
"13","gene22062"
"14","gene24083"
"15","gene17577"
"16","gene4195"
"17","gene11908"
"18","gene14482"
"19","gene3240"
"20","gene21797"
"21","gene3935"
"22","gene1402"
"23","gene6099"
"24","gene13583"
"25","gene25612"
"26","gene650"
"27","gene1680"
"28","gene9938"
"29","gene25059"
"30","gene11016"
"31","gene15402"
"32","gene1360"
"33","gene20236"
"34","gene26891"
"35","gene5063"
"36","gene21501"
"37","gene12131"
"38","gene12763"
"39","gene13282"
"40","gene16726"
"41","gene24888"
"42","gene25805"
"43","gene14785"
"44","gene2349"
"45","gene7298"
"46","gene22471"
"47","gene7231"
"48","gene19821"
"49","gene1465"
"50","gene397"
"51","gene15048"
"52","gene11987"
"53","gene18272"
"54","gene15497"
"55","gene22873"
"56","gene1689"
"57","gene6573"
"58","gene18885"
"59","gene5336"
"60","gene11632"
"61","gene12816"
"62","gene11151"
"63","gene13784"
"64","gene22022"
"65","gene15340"
"66","gene6450"
"67","gene10281"
"68","gene12038"
"69","id475839"
"70","gene17600"
"71","gene5518"
"72","gene24483"
"73","gene1259"
"74","gene5483"
"75","gene9914"
"76","gene15499"
"77","gene21046"
"78","gene9094"
"79","gene13893"
"80","gene18682"
"81","gene7141"
"82","gene7234"
"83","gene19894"
"84","gene26206"
"85","gene1437"
"86","gene18619"
"87","gene26216"
"88","gene12918"
"89","gene13256"
"90","gene14174"
"91","gene19148"
"92","gene19890"
"93","gene2028"
"94","gene10678"
"95","gene1515"
"96","gene11083"
"97","gene14449"
"98","gene21072"
"99","gene6128"
"100","gene4991"
"101","gene11623"
"102","gene14453"
"103","gene25485"
"104","gene5526"
"105","gene15306"
"106","gene16411"
"107","gene2917"
"108","gene16641"
"109","gene10676"
"110","gene4223"
"111","gene15591"
"112","gene20548"
"113","gene10278"
"114","gene21156"
"115","gene5351"
"116","gene12176"
"117","gene15972"
"118","gene548"
"119","gene21221"
"120","gene16337"
"121","gene2281"
"122","gene19956"
"123","gene21921"
"124","gene9456"
"125","gene21208"
"126","gene3192"
"127","gene10495"
"128","gene25460"
"129","gene3566"
"130","gene1293"
"131","gene3162"
"132","gene18436"
"133","gene7481"
"134","gene7511"
"135","gene11614"
"136","gene7209"
"137","gene23391"
"138","gene20596"
"139","gene20602"
"140","gene19902"
"141","gene19917"
"142","gene19922"
"143","gene1255"
"144","gene19921"
"145","gene19923"
"146","gene19988"
"147","gene17089"
"148","gene19955"
"149","gene3090"
"150","gene15586"
"151","gene7485"
"152","gene10493"
"153","gene13838"
"154","gene1862"
"155","gene18535"
"156","gene17510"
"157","gene5477"
"158","gene23319"
"159","gene12173"
"160","gene15979"
"161","gene10943"
"162","gene19035"
"163","gene11805"
"164","gene25681"
"165","gene16313"
"166","gene18139"
"167","gene18874"
"168","gene16616"
"169","gene14332"
"170","gene10302"
"171","gene24257"
"172","gene2773"
"173","gene23868"
"174","gene789"
"175","gene10419"
"176","gene17617"
"177","gene15677"
"178","gene2323"
"179","gene217"
"180","gene7226"
"181","gene10537"
"182","gene10919"
"183","gene19212"
"184","gene26839"
"185","gene21777"
"186","gene21779"
"187","gene15580"
"188","gene19198"
"189","gene24009"
"190","gene25797"
"191","gene11463"
"192","gene22852"
"193","gene19930"
"194","gene22231"
"195","gene17990"
"196","gene25948"
"197","gene18867"
"198","gene25815"
"199","gene26763"
"200","gene12707"
"201","gene25874"
"202","gene18771"
"203","gene24778"
"204","gene15570"
"205","gene7308"
"206","gene9999"
"207","gene15865"
"208","gene5233"
"209","gene5239"
"210","gene20635"
"211","gene20636"
"212","gene20638"
"213","gene26199"
"214","gene21090"
"215","gene19924"
"216","gene7794"
"217","gene19168"
"218","gene13342"
"219","gene1800"
"220","gene19197"
"221","gene19805"
"222","gene6425"
"223","gene23998"
"224","gene11082"
"225","gene21057"
"226","gene2929"
"227","gene10123"
"228","gene2675"
"229","gene14338"
"230","gene18235"
"231","gene9768"
"232","gene21697"
"233","gene7182"
"234","gene3840"
"235","gene992"
"236","gene25118"
"237","gene16571"
"238","gene5299"
"239","gene24362"
"240","gene15578"
"241","gene864"
"242","gene13983"
"243","gene15567"
"244","gene4903"
"245","gene13466"
"246","gene20496"
"247","gene10871"
"248","gene19234"
"249","gene1719"
"250","gene9685"
"251","gene11244"
"252","gene9757"
"253","gene23509"
"254","gene15080"
"255","gene25482"
"256","gene23907"
"257","gene13602"
"258","gene1796"
"259","gene19332"
"260","gene25092"
"261","gene19236"
"262","gene19243"
"263","gene17202"
"264","gene18379"
"265","gene13449"
"266","gene11986"
