"","liv_degs_uni"
"1","gene14078"
"2","gene299"
"3","gene1635"
"4","gene18533"
"5","gene1154"
"6","gene23919"
"7","gene10037"
"8","gene339"
"9","gene23316"
"10","gene4773"
"11","gene10661"
"12","gene669"
"13","gene23918"
"14","gene340"
"15","gene16681"
"16","gene11352"
"17","gene24756"
"18","gene24053"
"19","gene20903"
"20","gene22986"
"21","gene16711"
"22","gene5862"
"23","gene19234"
"24","gene22979"
"25","gene10376"
"26","gene1517"
"27","gene17187"
"28","gene22241"
"29","gene14141"
"30","gene5618"
"31","gene18518"
"32","gene16189"
"33","gene17871"
"34","gene14784"
"35","gene23568"
"36","gene18825"
"37","gene4959"
"38","gene15714"
"39","gene3300"
"40","gene12875"
"41","gene3817"
"42","gene1529"
"43","gene3618"
"44","gene1664"
"45","gene2311"
"46","gene8296"
"47","gene19055"
"48","gene9794"
"49","gene12799"
"50","gene311"
"51","gene16861"
"52","gene1391"
"53","gene18044"
"54","gene6988"
"55","gene2212"
"56","gene8308"
"57","gene17877"
"58","gene18875"
"59","gene8297"
"60","gene1341"
"61","gene4522"
"62","gene13602"
"63","gene24943"
"64","gene353"
"65","gene1731"
"66","gene383"
"67","gene3609"
"68","gene15003"
"69","gene5465"
"70","gene16709"
"71","gene15831"
"72","gene18440"
"73","gene8292"
"74","gene25491"
"75","gene25583"
"76","gene19853"
"77","gene6467"
"78","gene8302"
"79","gene20083"
"80","gene21029"
"81","gene14563"
"82","gene16202"
"83","gene1061"
"84","gene12612"
"85","gene3475"
"86","gene1717"
"87","gene18460"
"88","gene17524"
"89","gene22761"
"90","gene14837"
"91","gene16198"
"92","gene24562"
"93","gene16667"
"94","gene17786"
"95","gene9349"
"96","gene10704"
"97","gene365"
"98","gene26551"
"99","gene18182"
"100","gene22228"
"101","gene17426"
"102","gene21942"
"103","gene24473"
"104","gene23115"
"105","gene11940"
"106","gene17440"
"107","gene15746"
"108","gene342"
"109","gene17020"
"110","gene14540"
"111","gene4706"
"112","gene16819"
"113","gene21979"
"114","gene20975"
"115","gene4666"
"116","gene15984"
"117","gene4775"
"118","gene13976"
"119","gene24752"
"120","gene12164"
"121","gene20029"
"122","gene767"
"123","gene12610"
