"","lun_degs_uni"
"1","gene18367"
"2","gene18875"
"3","gene25815"
"4","gene15903"
"5","gene11719"
"6","gene26543"
"7","gene25948"
"8","gene18328"
"9","gene23504"
"10","gene24446"
"11","gene266"
"12","gene15677"
"13","gene1555"
"14","gene22994"
"15","gene9999"
"16","gene12967"
"17","gene12684"
"18","gene13135"
"19","gene26721"
"20","gene23338"
"21","gene5058"
"22","gene17350"
"23","gene9193"
"24","gene12625"
"25","gene18714"
"26","gene24071"
"27","gene13836"
"28","gene7231"
"29","gene21647"
"30","gene24856"
"31","gene16538"
"32","gene18596"
"33","gene17827"
"34","gene22911"
"35","gene20685"
"36","gene9158"
"37","gene24344"
"38","gene22632"
"39","gene4953"
"40","gene17638"
"41","gene11347"
"42","gene7121"
"43","gene9554"
"44","gene4341"
"45","gene10805"
"46","gene17978"
"47","gene11088"
"48","gene10361"
"49","gene7415"
"50","gene21394"
"51","gene21685"
"52","gene23000"
"53","gene19021"
"54","gene24834"
"55","gene20908"
"56","gene18785"
"57","gene597"
"58","gene10378"
"59","gene3257"
"60","gene11048"
"61","gene2423"
"62","gene12470"
"63","gene19169"
"64","gene15120"
"65","gene23330"
"66","gene10406"
"67","gene24433"
"68","gene14723"
"69","gene8187"
"70","gene10615"
"71","gene20640"
"72","gene10865"
"73","gene9598"
"74","gene14121"
"75","gene25874"
"76","gene14245"
"77","gene20602"
"78","gene10019"
"79","gene17199"
"80","gene23524"
"81","gene5009"
"82","gene12812"
"83","gene20635"
"84","gene20636"
"85","gene13018"
"86","gene25797"
"87","gene10619"
"88","gene21527"
"89","gene18691"
"90","gene13376"
"91","gene13422"
"92","gene11878"
"93","gene24564"
"94","gene6118"
"95","gene855"
"96","gene25881"
"97","gene13157"
"98","gene19027"
"99","gene25522"
"100","gene17716"
"101","gene6305"
"102","gene14711"
"103","gene14904"
"104","gene11126"
"105","gene1468"
"106","gene18769"
"107","gene14886"
"108","gene16854"
"109","gene20274"
"110","gene14786"
"111","gene1489"
"112","gene12396"
"113","gene16750"
"114","gene2018"
"115","gene6955"
"116","gene9096"
"117","gene13726"
"118","gene14816"
"119","gene1800"
"120","gene25118"
"121","gene5704"
"122","gene12188"
"123","gene17376"
"124","gene25707"
"125","gene16853"
"126","gene21973"
"127","gene9133"
"128","gene13421"
"129","gene12753"
"130","gene5621"
"131","gene14817"
"132","gene1682"
"133","gene2799"
"134","gene6211"
"135","gene23016"
"136","gene25485"
"137","gene16928"
"138","gene10525"
"139","gene12752"
"140","gene26746"
