"","mus_degs_uni"
"1","gene22885"
"2","gene23006"
"3","gene14080"
"4","gene18181"
"5","gene21979"
"6","gene14640"
"7","gene25946"
"8","gene16871"
"9","gene19927"
"10","gene15651"
"11","gene1095"
"12","gene19013"
"13","gene6755"
"14","gene1513"
"15","gene2741"
"16","gene5154"
"17","gene1760"
"18","gene25157"
"19","gene19164"
"20","gene1705"
"21","gene23937"
"22","gene18090"
"23","gene11069"
"24","gene14937"
"25","gene16639"
"26","gene1116"
"27","gene7200"
"28","gene10824"
"29","gene16172"
"30","gene20824"
"31","gene2153"
"32","gene9103"
"33","gene10340"
"34","gene11061"
"35","gene14408"
"36","gene22252"
"37","gene10604"
"38","gene19019"
"39","gene1490"
"40","gene19908"
"41","gene25109"
"42","gene2861"
"43","gene17234"
"44","gene4738"
"45","gene15774"
"46","gene14078"
"47","gene9552"
"48","gene7141"
"49","gene12513"
"50","gene6373"
"51","gene25540"
"52","gene5618"
"53","gene6068"
"54","gene24053"
"55","gene19235"
"56","gene22986"
"57","gene18473"
"58","gene17873"
"59","gene25092"
"60","gene11730"
"61","gene22464"
"62","gene6886"
"63","gene1759"
"64","gene17986"
"65","gene18013"
"66","gene2131"
"67","gene12669"
"68","gene24563"
"69","gene2810"
"70","gene2529"
"71","gene26064"
"72","gene2530"
"73","gene3103"
"74","gene11217"
"75","gene2005"
"76","gene21238"
"77","gene17403"
"78","gene10193"
"79","gene2747"
"80","gene25483"
"81","gene3854"
"82","gene21237"
"83","gene2580"
"84","gene6947"
"85","gene12612"
"86","gene6561"
"87","gene13613"
"88","gene3349"
"89","gene10784"
"90","gene3593"
"91","gene23092"
"92","gene6365"
"93","gene12103"
"94","gene5448"
"95","gene9351"
"96","gene13603"
"97","gene1783"
"98","gene16993"
"99","gene1170"
"100","gene4925"
"101","gene14145"
"102","gene12195"
"103","gene17426"
"104","gene13744"
"105","gene6022"
"106","gene9182"
"107","gene24106"
"108","gene11275"
"109","gene5861"
"110","gene11190"
"111","gene12610"
"112","gene21033"
"113","gene3210"
"114","gene11155"
"115","gene13469"
"116","gene16669"
"117","gene11060"
"118","gene11641"
"119","gene10924"
"120","gene24943"
"121","gene3798"
"122","gene21952"
"123","gene5106"
"124","gene5342"
"125","gene2351"
"126","gene23864"
"127","gene19682"
"128","gene21171"
"129","gene6320"
"130","gene15654"
"131","gene16697"
"132","gene1067"
"133","gene3499"
"134","gene4541"
"135","gene4636"
"136","gene6166"
"137","gene16944"
"138","gene11188"
"139","gene6255"
"140","gene23031"
"141","gene16673"
"142","gene24473"
"143","gene19189"
"144","gene8386"
"145","gene22253"
"146","gene24465"
"147","gene15437"
"148","gene11230"
"149","gene20497"
"150","gene18194"
"151","gene14119"
"152","gene22087"
"153","gene17738"
"154","gene20643"
"155","gene3851"
"156","gene17731"
"157","gene25815"
"158","gene24406"
"159","gene20715"
"160","gene9999"
"161","gene17512"
"162","gene25118"
"163","gene20407"
"164","gene8060"
"165","gene20913"
"166","gene25250"
"167","gene16091"
"168","gene20679"
"169","gene11158"
"170","gene7372"
"171","gene5797"
"172","gene18622"
"173","gene24122"
"174","gene19048"
"175","gene20547"
"176","gene23156"
"177","gene13135"
"178","gene11234"
"179","gene20305"
