"","ski_degs_uni"
"1","gene16843"
"2","gene2892"
"3","gene5159"
"4","gene18022"
"5","gene2646"
"6","gene17571"
"7","gene17079"
"8","gene4834"
"9","gene18440"
"10","gene15702"
"11","gene15507"
"12","gene5618"
"13","gene14125"
"14","gene16906"
"15","gene14078"
"16","gene22979"
"17","gene19245"
"18","gene24596"
"19","gene19236"
"20","gene24594"
"21","gene19244"
"22","gene26886"
"23","gene22997"
"24","gene19243"
"25","gene19257"
"26","gene19258"
"27","gene22987"
"28","gene22536"
"29","gene11218"
"30","gene18751"
"31","gene12108"
"32","gene24053"
"33","gene12049"
"34","gene2131"
"35","gene24193"
"36","gene24595"
"37","gene17941"
"38","gene11080"
"39","gene25946"
"40","gene3499"
"41","gene23029"
"42","gene23032"
"43","gene18381"
"44","gene20594"
"45","gene17615"
"46","gene25071"
"47","gene2580"
"48","gene17606"
"49","gene19189"
"50","gene21979"
"51","gene9580"
"52","gene18044"
"53","gene4636"
"54","gene3593"
"55","gene4541"
"56","gene14810"
"57","gene19914"
"58","gene25633"
"59","gene6166"
"60","gene9351"
"61","gene1067"
"62","gene10775"
"63","gene16871"
"64","gene6255"
"65","gene1236"
"66","gene12725"
"67","gene26251"
"68","gene23868"
"69","gene2719"
"70","gene19019"
"71","gene12244"
"72","gene12145"
"73","gene14735"
"74","gene1513"
"75","gene22464"
"76","gene11548"
"77","gene6853"
"78","gene19021"
"79","gene9193"
"80","gene13420"
"81","gene20596"
"82","gene20640"
"83","gene22869"
"84","gene25874"
"85","gene10646"
"86","gene11112"
"87","gene13246"
"88","gene13421"
"89","gene23232"
"90","gene24169"
"91","gene16043"
"92","gene7250"
"93","gene7251"
"94","gene13341"
"95","gene24554"
"96","gene15540"
"97","gene1361"
"98","gene3615"
"99","gene1353"
"100","gene24441"
"101","gene8251"
"102","gene24553"
"103","gene2910"
"104","gene25219"
"105","gene9164"
"106","gene21361"
"107","gene10865"
"108","gene17199"
"109","gene14566"
"110","gene21158"
"111","gene5634"
"112","gene17088"
"113","gene19025"
"114","gene20637"
"115","gene24433"
"116","gene13376"
"117","gene20602"
"118","gene16782"
"119","gene20635"
"120","gene20636"
"121","gene19924"
"122","gene5447"
"123","gene21697"
"124","gene9598"
"125","gene23330"
"126","gene20638"
"127","gene4366"
"128","gene17990"
"129","gene25815"
"130","gene25948"
"131","gene1800"
"132","gene23267"
"133","gene25708"
"134","gene25118"
"135","gene26763"
"136","gene19024"
"137","gene20279"
"138","gene19248"
"139","gene25253"
"140","gene19150"
"141","gene16042"
"142","gene15866"
"143","gene5250"
"144","gene59"
"145","gene13282"
"146","gene4208"
"147","gene14804"
"148","gene10805"
"149","gene21685"
"150","gene3160"
"151","gene11575"
"152","gene10946"
"153","gene6562"
"154","gene11590"
"155","gene15867"
"156","gene10634"
"157","gene3958"
"158","gene18469"
"159","gene22728"
"160","gene1508"
"161","gene2493"
"162","gene1066"
"163","gene15741"
"164","gene8319"
"165","gene3775"
"166","gene4216"
"167","gene9955"
"168","gene20030"
"169","gene18303"
"170","gene21295"
"171","gene10101"
"172","gene15524"
"173","gene16796"
"174","gene1782"
"175","gene6909"
"176","gene16061"
"177","gene11928"
"178","gene16093"
"179","gene5077"
"180","gene13216"
"181","gene2078"
"182","gene1593"
"183","gene21699"
"184","gene22926"
"185","gene7025"
"186","gene12366"
"187","gene25961"
"188","gene12617"
"189","gene5859"
"190","gene13215"
"191","gene20514"
"192","gene6368"
"193","gene6891"
"194","gene10278"
"195","gene1410"
"196","gene12365"
"197","gene4517"
"198","gene4133"
"199","gene485"
"200","gene25485"
"201","gene25813"
"202","gene246"
"203","gene24722"
"204","gene1360"
"205","gene15973"
"206","gene24794"
"207","gene18752"
"208","gene22656"
"209","gene22719"
"210","gene261"
"211","gene7477"
"212","gene13999"
"213","gene2639"
"214","gene6200"
"215","gene9763"
"216","gene7209"
"217","gene21020"
"218","gene8219"
"219","gene21090"
"220","gene25321"
"221","gene15356"
"222","gene1890"
"223","gene25320"
"224","gene13042"
"225","gene11750"
"226","gene5787"
"227","gene10336"
"228","gene24395"
"229","gene10032"
"230","rna46626"
"231","gene23268"
"232","gene21659"
"233","gene19145"
"234","gene25782"
"235","gene19200"
"236","gene26267"
"237","gene17987"
"238","gene22995"
"239","gene19028"
"240","gene19169"
"241","gene23461"
"242","gene1854"
"243","gene5036"
"244","gene24266"
"245","gene16194"
"246","gene13168"
"247","gene19141"
"248","gene15156"
"249","gene22647"
"250","gene1155"
"251","gene7466"
"252","gene17998"
"253","gene23469"
"254","gene24207"
"255","gene9308"
"256","gene1943"
"257","gene3386"
"258","gene24008"
"259","gene26543"
"260","gene23373"
"261","gene23052"
"262","gene25178"
"263","gene10653"
"264","gene19197"
"265","gene12708"
"266","gene11915"
"267","gene12684"
"268","gene14748"
"269","gene4942"
"270","gene26520"
"271","gene6737"
"272","gene25069"
"273","gene25070"
"274","gene15953"
"275","gene22718"
"276","gene17617"
"277","gene17686"
"278","gene26469"
"279","gene21316"
"280","gene18858"
"281","gene18090"
"282","gene20029"
"283","gene10644"
"284","gene11873"
"285","gene6947"
"286","gene22881"
"287","gene4670"
"288","gene2806"
"289","gene5448"
"290","gene22885"
"291","gene23031"
"292","gene20036"
"293","gene392"
"294","gene12200"
"295","gene19172"
"296","gene17845"
"297","gene21266"
"298","gene14405"
"299","gene3454"
"300","gene10969"
"301","gene2549"
"302","gene25084"
"303","gene15662"
"304","gene23049"
"305","gene23474"
"306","gene12042"
"307","gene4777"
"308","gene21945"
"309","gene9501"
"310","gene24011"
"311","gene16709"
"312","gene15865"
"313","gene19040"
"314","gene5453"
"315","gene22724"
"316","gene5089"
"317","gene7026"
"318","gene13426"
"319","gene521"
"320","gene10376"
"321","gene23427"
"322","gene18670"
"323","gene19716"
"324","gene7121"
"325","gene14886"
"326","gene2149"
"327","gene7298"
"328","gene7485"
"329","gene16517"
"330","gene24790"
"331","gene4708"
"332","gene514"
"333","gene15067"
"334","gene5386"
"335","gene2591"
"336","gene9169"
"337","gene13427"
"338","gene21707"
"339","gene13545"
"340","gene3986"
"341","gene10857"
"342","gene26581"
"343","gene16470"
"344","gene23497"
"345","gene25519"
"346","gene1891"
"347","gene9334"
"348","gene22642"
"349","gene19242"
"350","gene135"
"351","gene25488"
"352","gene25945"
"353","gene10549"
"354","gene7457"
"355","gene2147"
"356","gene23873"
"357","gene25487"
"358","gene15198"
"359","gene21819"
"360","gene1070"
"361","gene18629"
"362","gene4635"
"363","gene22453"
"364","gene5781"
"365","gene24552"
"366","gene16954"
"367","gene10203"
"368","gene19229"
"369","gene17873"
"370","gene990"
"371","gene5162"
"372","gene10021"
"373","gene7327"
"374","gene18013"
"375","gene13543"
"376","gene21919"
"377","gene15663"
"378","gene4387"
"379","gene20407"
"380","gene7038"
"381","gene21552"
"382","gene2726"
"383","gene13699"
"384","gene1046"
"385","gene11435"
"386","gene20563"
"387","gene10483"
"388","gene7391"
"389","gene4666"
"390","gene2158"
"391","gene10082"
"392","gene20807"
"393","gene15552"
"394","gene24238"
"395","gene20101"
"396","gene11549"
"397","gene17020"
"398","gene4418"
"399","gene16994"
"400","gene3880"
"401","gene3262"
"402","gene5304"
"403","gene9100"
"404","gene13778"
"405","gene15033"
"406","gene20384"
"407","gene20873"
"408","gene9845"
"409","gene4566"
"410","gene7254"
"411","gene3455"
"412","gene6526"
"413","gene12514"
"414","gene6088"
"415","gene11207"
"416","gene4288"
"417","gene24669"
"418","gene12835"
"419","gene21171"
"420","gene14763"
"421","gene24399"
"422","gene21271"
"423","gene3207"
"424","gene18136"
"425","gene7378"
"426","gene22770"
"427","gene5975"
"428","gene15744"
"429","gene16127"
"430","gene21904"
"431","gene13559"
"432","gene23133"
"433","gene1819"
"434","gene15322"
"435","gene14937"
"436","gene3881"
"437","gene24862"
"438","gene4694"
"439","gene1510"
"440","gene4739"
"441","gene4350"
"442","gene15868"
"443","gene16961"
"444","gene11927"
"445","gene15916"
"446","gene5205"
"447","gene25036"
"448","gene1615"
"449","gene5412"
"450","gene4151"
"451","gene4257"
"452","gene25682"
"453","gene12347"
"454","gene8921"
"455","gene21231"
"456","gene269"
"457","gene16434"
"458","gene18619"
"459","gene6644"
"460","gene13607"
"461","gene13614"
"462","gene21977"
"463","gene13202"
"464","gene3771"
"465","gene21978"
"466","gene15737"
"467","gene13056"
"468","gene1160"
"469","gene21224"
"470","gene1028"
"471","gene10666"
"472","gene11825"
"473","gene18608"
"474","gene23864"
"475","gene20156"
"476","gene15795"
"477","gene18392"
"478","gene25179"
"479","gene19067"
"480","gene15869"
"481","gene14314"
"482","gene2616"
"483","gene13936"
"484","gene20886"
"485","gene1413"
"486","gene4529"
"487","gene18795"
"488","gene9173"
"489","gene13827"
"490","gene2384"
"491","gene10566"
"492","gene1352"
"493","gene25035"
"494","gene9581"
"495","gene13608"
"496","gene20431"
"497","gene10881"
"498","gene3456"
"499","gene12103"
"500","gene1666"
"501","gene13181"
"502","gene4352"
"503","gene16819"
"504","gene24012"
"505","gene9599"
"506","gene9601"
"507","gene14698"
"508","gene10345"
"509","gene3317"
"510","gene13457"
"511","gene13586"
"512","gene14766"
"513","gene15157"
"514","gene15174"
"515","gene22007"
"516","gene5257"
"517","gene14616"
"518","gene8917"
"519","gene2228"
"520","gene17501"
"521","gene25085"
"522","gene5739"
"523","gene22253"
"524","gene468"
"525","gene12722"
"526","gene17868"
"527","gene18059"
"528","gene18809"
"529","gene311"
"530","gene15967"
"531","gene2014"
"532","gene11900"
"533","gene21215"
"534","gene10615"
"535","gene12489"
"536","gene554"
"537","gene11158"
"538","gene2701"
"539","gene1750"
"540","gene11089"
"541","gene10335"
"542","gene10524"
"543","gene9259"
"544","gene5952"
"545","gene22128"
"546","gene3548"
"547","gene1931"
"548","gene464"
"549","gene20197"
"550","gene10178"
"551","gene13456"
"552","gene9809"
"553","gene14435"
"554","gene20366"
"555","gene1689"
"556","gene3219"
"557","gene12745"
"558","gene9548"
"559","gene17028"
"560","gene13769"
"561","gene4795"
"562","gene11376"
"563","gene2385"
"564","gene12188"
"565","gene13136"
"566","gene15594"
"567","gene17376"
"568","gene1988"
"569","gene23222"
"570","gene9529"
