GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6
chga	protein_coding	chrNC_030684.1:66553174-66569449:+	gi|847153951|ref|XP_012823716.1|	1988	0	PREDICTED: chromogranin-A isoform X1 [Xenopus tropicalis]	gi|847153956|ref|XM_012968264.1|	4195	0	PREDICTED: Xenopus (Silurana) tropicalis chromogranin A (chga), transcript variant X3, mRNA	P04404	145	2.00E-36	Chromogranin-A (Fragment)	.	.	.	.	pfam01271	Granin	Granin (chromogranin or secretogranin).	GO:0050829|defense response to Gram-negative bacterium;GO:0050830|defense response to Gram-positive bacterium;GO:0045576|mast cell activation;GO:0002551|mast cell chemotaxis;GO:0032762|mast cell cytokine production;GO:0043303|mast cell degranulation;GO:0033604|negative regulation of catecholamine secretion;GO:2000707|positive regulation of dense core granule biogenesis;	GO:0005576|extracellular region;GO:0042629|mast cell granule;GO:0030141|secretory granule;GO:0030658|transport vesicle membrane;	.	.	.	109.5989673	98.93366436	60.42026157	90.69094142	75.08128253	87.33127782	2.985573368	2.421623504	3.212687432	2.116737885	2.532114352	1.523345658	147.0930973	169.9364541	135.2995905	155.3999345	139.9851247	139.7722052	1.888251737	2.834269979	2.568915553	1.678158338	2.41941708	3.037566817	124.0112432	195.4611085	118.0818099	150.6433674	194.323855	166.7247737	2.38951502	5.187933902	1.290859977	2.384412237	1.832735348	2.420368079	67.39460698	77.55737122	92.57731137	85.26492642	89.04548525	58.26768101	1.715851636	2.906285359	3.026440584	3.18904937	2.624644384	1.921594631
anxa9	protein_coding	chrNC_030684.1:106114846-106130934:+	gi|56118278|ref|NP_001008048.1|	1764	0	annexin A9 [Xenopus tropicalis]	gi|89886037|ref|NM_001008047.2|	1661	0	Xenopus (Silurana) tropicalis annexin A9 (anxa9), mRNA	Q07936	304	3.00E-96	Annexin A2	.	.	.	.	pfam00191	Annexin	Annexin. This family of annexins also includes giardin that has been shown to function as an annexin.	GO:0001525|angiogenesis;GO:0007589|body fluid secretion;GO:0030199|collagen fibril organization;GO:0042730|fibrinolysis;GO:0006900|vesicle budding from membrane;GO:0001765|membrane raft assembly;GO:0032804|negative regulation of low-density lipoprotein particle receptor catabolic process;GO:1900121|negative regulation of receptor binding;GO:0002091|negative regulation of receptor internalization;GO:0036035|osteoclast development;GO:0051099|positive regulation of binding;GO:0048146|positive regulation of fibroblast proliferation;GO:0001934|positive regulation of protein phosphorylation;GO:0031340|positive regulation of vesicle fusion;GO:0051290|protein heterotetramerization;GO:0051917|regulation of fibrinolysis;GO:0097066|response to thyroid hormone;	GO:0005604|basement membrane;GO:0016323|basolateral plasma membrane;GO:0005938|cell cortex;GO:0009986|cell surface;GO:0005737|cytoplasm;GO:0005829|cytosol;GO:0005769|early endosome;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0019897|extrinsic component of plasma membrane;GO:0031902|late endosome membrane;GO:0005811|lipid droplet;GO:0005765|lysosomal membrane;GO:0044354|macropinosome;GO:0042470|melanosome;GO:0045121|membrane raft;GO:0030496|midbody;GO:0035749|myelin sheath adaxonal region;GO:0005634|nucleus;GO:1990667|PCSK9-AnxA2 complex;GO:0048471|perinuclear region of cytoplasm;GO:0005886|plasma membrane;GO:0043234|protein complex;GO:0001726|ruffle;GO:0042383|sarcolemma;GO:0043220|Schmidt-Lanterman incisure;GO:0031982|vesicle;	GO:0051015|actin filament binding;GO:0005509|calcium ion binding;GO:0005544|calcium-dependent phospholipid binding;GO:0005546|phosphatidylinositol-4,5-bisphosphate binding;GO:0019834|phospholipase A2 inhibitor activity;GO:0017137|Rab GTPase binding;GO:0030546|receptor activator activity;	K17092	ANXA2; annexin A2	3.777995124	6.724439114	7.324809892	4.954422949	3.433029205	3.356247374	16.21172495	15.86043722	26.71094667	11.65984264	17.35685819	8.678566861	26.55028072	14.55563402	9.529818132	9.407274799	11.34112858	11.24920731	15.91789066	10.52448201	19.38503231	18.16357436	14.1092097	15.67820645	8.093323966	14.19448168	9.087047371	11.42364497	25.15104144	9.020030355	16.55773846	16.06277409	14.57497834	18.08340617	14.55951446	17.16718585	8.963222681	5.267040363	6.463637789	6.338878422	7.120237371	5.178904121	19.238512	13.55267558	22.61279472	18.16815379	22.73807816	18.96230788
svbp	protein_coding	chrNW_016684385.1:1720-8787:-	gi|847175562|ref|XP_012810579.1|	322	2.00E-34	PREDICTED: coiled-coil domain-containing protein 23 [Xenopus tropicalis]	gi|110289764|emb|CU025074.1|	537	0	Xenopus tropicalis finished cDNA, clone TTpA034n18	Q32LJ0	94.7	3.00E-23	Small vasohibin-binding protein	.	.	.	.	pfam14303	NAM-associated	No apical meristem-associated C-terminal domain. This domain is found in a number of different types of plant proteins including NAM-like proteins.	GO:0010596|negative regulation of endothelial cell migration;GO:0031397|negative regulation of protein ubiquitination;GO:0009306|protein secretion;	GO:0045177|apical part of cell;GO:0005576|extracellular region;	.	.	.	7.768676321	8.440632099	10.06617301	10.76793526	8.578605634	12.74784448	11.76672904	20.30735389	16.27530793	22.13755689	17.60960144	14.87315097	13.94705942	25.67431143	14.83706763	12.46469118	12.16159427	14.07035715	22.6412794	21.75415182	24.5614874	22.60868744	21.45928435	33.08146118	12.40020653	15.7166984	17.26034684	19.66021583	12.77591532	15.35247987	27.99226046	17.63655752	17.8288537	21.65670302	17.92148423	14.97212923	7.98301803	7.917537766	7.790737772	11.96990216	8.200196162	7.091332048	13.91390429	17.18316019	15.76861827	19.82050507	19.74624155	15.11211892
angptl4	protein_coding	chrNC_030677.1:82447884-82456834:+	gi|301618393|ref|XP_002938598.1|	2191	0	PREDICTED: angiopoietin-related protein 4 [Xenopus tropicalis]	gi|847093596|ref|XM_002938552.3|	2548	0	PREDICTED: Xenopus (Silurana) tropicalis angiopoietin-like 4 (angptl4), mRNA	Q9Z1P8	300	3.00E-91	Angiopoietin-related protein 4	.	.	.	.	pfam00147	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain.	GO:0001525|angiogenesis;GO:0009267|cellular response to starvation;GO:0043066|negative regulation of apoptotic process;GO:2000352|negative regulation of endothelial cell apoptotic process;GO:0051005|negative regulation of lipoprotein lipase activity;GO:0045834|positive regulation of lipid metabolic process;GO:0051260|protein homooligomerization;GO:0001666|response to hypoxia;GO:0070328|triglyceride homeostasis;	GO:0072562|blood microparticle;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005578|proteinaceous extracellular matrix;	GO:0004857|enzyme inhibitor activity;GO:0042802|identical protein binding;	K08767	ANGPTL4, PGAR; angiopoietin-like 4	3.945739405	8.916404184	9.189370072	11.97827742	10.22108356	17.17323813	1.17778123	1.256937914	0.672796168	2.769801075	0.746872381	0.603067833	21.31808338	6.097869833	12.95790252	15.50215337	30.5515011	21.89162213	1.855989249	11.55624559	1.618609216	4.827214783	1.768793053	1.107839687	25.47180209	27.24335667	17.62121775	20.79151965	20.36868415	41.58816164	1.076134409	3.043649941	4.669973673	0.681955803	5.460135374	2.986733041	26.12291059	12.70157062	10.55989456	10.8835224	14.95080032	16.85295525	1.303329814	1.280802308	1.659695555	1.420304524	1.15233447	1.170045889
penk	protein_coding	chrNC_030682.1:100990380-100999169:-	gi|349585135|ref|NP_001015744.2|	1414	0	proenkephalin-A preproprotein [Xenopus tropicalis]	gi|349585134|ref|NM_001015744.2|	1390	0	Xenopus (Silurana) tropicalis proenkephalin (penk), mRNA	P01212	511	3.00E-180	Proenkephalin-A-A	.	.	.	.	pfam01160	Opiods_neuropep	Vertebrate endogenous opioids neuropeptide.	GO:0007218|neuropeptide signaling pathway;	GO:0005576|extracellular region;	.	.	.	14.50992182	27.00043472	15.64786997	15.0874932	9.971773433	23.46475682	0.224894078	0.617165558	0.534429263	1.227015234	0.256703799	0.631702708	27.12378768	28.17690979	21.35247329	24.30842993	26.8033554	31.392888	0.671487212	1.479897732	0.668633707	1.327310425	0.665100122	1.728318091	28.26677015	24.74034678	19.37238132	24.42440003	35.38424414	35.21129917	0.358664549	0.348705938	0.124667454	0.250017753	0.489325897	0.87599376	16.46072253	19.28277719	18.93183975	23.10508297	23.55155438	8.839211202	0.127988863	0.041925543	0.128551148	0.12397862	0.084493474	0.042896071
loxl2	protein_coding	chrNC_030679.1:107136569-107175237:+	gi|213982721|ref|NP_001135520.1|	4105	0	lysyl oxidase homolog 2 precursor [Xenopus tropicalis]	gi|213982720|ref|NM_001142048.1|	3147	0	Xenopus tropicalis lysyl oxidase like 2 (loxl2), mRNA	B4F6N6	1582	0	Lysyl oxidase homolog 2	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0006464|cellular protein modification process;GO:0016569|covalent chromatin modification;GO:0030199|collagen fibril organization;GO:0043542|endothelial cell migration;GO:0001935|endothelial cell proliferation;GO:0001837|epithelial to mesenchymal transition;GO:0045892|negative regulation of transcription, DNA-templated;GO:0032332|positive regulation of chondrocyte differentiation;GO:0046688|response to copper ion;GO:0001666|response to hypoxia;GO:0002040|sprouting angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005694|chromosome;GO:0005615|extracellular space;GO:0016020|membrane;GO:0005634|nucleus;	GO:0005507|copper ion binding;GO:0070492|oligosaccharide binding;GO:0004720|protein-lysine 6-oxidase activity;GO:0005044|scavenger receptor activity;	K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	7.363410825	7.931805674	4.683212685	11.65720305	5.688242259	12.51036676	24.03872574	19.89951993	18.30313435	22.59416599	18.25476424	12.24187458	3.350119686	5.812855812	3.180932077	3.591536062	2.772008761	5.631307337	16.92537537	15.40762381	14.85874814	12.74139277	16.57955433	26.48934429	6.951095803	2.395590041	4.854938603	2.845193521	5.745625023	3.981141396	15.50523256	14.28536423	11.71036876	16.45413947	14.73617724	12.63287664	3.596392454	10.66116424	5.656103679	9.96051916	6.248982494	5.016891353	14.15171001	22.79579843	22.42802922	22.23263254	19.83556129	16.12371569
il1b	protein_coding	chrNC_030679.1:108320062-108324881:-	gi|301605960|ref|XP_002932618.1|	1484	0	PREDICTED: interleukin-1 beta [Xenopus tropicalis]	gi|847115698|ref|XM_002932572.3|	1286	0	PREDICTED: Xenopus (Silurana) tropicalis interleukin-1 beta (LOC100487038), mRNA	Q9WVG1	116	3.00E-28	Interleukin-1 beta	.	.	.	.	pfam02394	IL1_propep	Interleukin-1 propeptide. The Interleukin-1 cytokines are translated as precursor proteins. The N terminal approx. 115 amino acids form a propeptide that is cleaved off to release the active interleukin-1.	GO:0000187|activation of MAPK activity;GO:0035690|cellular response to drug;GO:0071260|cellular response to mechanical stimulus;GO:0071407|cellular response to organic cyclic compound;GO:0019221|cytokine-mediated signaling pathway;GO:0035234|ectopic germ cell programmed cell death;GO:0097192|extrinsic apoptotic signaling pathway in absence of ligand;GO:0001660|fever generation;GO:0030213|hyaluronan biosynthetic process;GO:0006955|immune response;GO:0032611|interleukin-1 beta production;GO:0031663|lipopolysaccharide-mediated signaling pathway;GO:0000165|MAPK cascade;GO:0070487|monocyte aggregation;GO:0070164|negative regulation of adiponectin secretion;GO:0008285|negative regulation of cell proliferation;GO:2001240|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand;GO:0010829|negative regulation of glucose transport;GO:0046627|negative regulation of insulin receptor signaling pathway;GO:0050995|negative regulation of lipid catabolic process;GO:0043407|negative regulation of MAP kinase activity;GO:0030593|neutrophil chemotaxis;GO:0045766|positive regulation of angiogenesis;GO:0060559|positive regulation of calcidiol 1-monooxygenase activity;GO:0051781|positive regulation of cell division;GO:0045080|positive regulation of chemokine biosynthetic process;GO:0031622|positive regulation of fever generation;GO:0032725|positive regulation of granulocyte macrophage colony-stimulating factor production;GO:0034116|positive regulation of heterotypic cell-cell adhesion;GO:0032729|positive regulation of interferon-gamma production;GO:0045086|positive regulation of interleukin-2 biosynthetic process;GO:0045410|positive regulation of interleukin-6 biosynthetic process;GO:2000778|positive regulation of interleukin-6 secretion;GO:0032757|positive regulation of interleukin-8 production;GO:0046330|positive regulation of JNK cascade;GO:0050996|positive regulation of lipid catabolic process;GO:0051044|positive regulation of membrane protein ectodomain proteolysis;GO:0045840|positive regulation of mitotic nuclear division;GO:0071639|positive regulation of monocyte chemotactic protein-1 production;GO:0035505|positive regulation of myosin light chain kinase activity;GO:0042346|positive regulation of NF-kappaB import into nucleus;GO:0051092|positive regulation of NF-kappaB transcription factor activity;GO:0045429|positive regulation of nitric oxide biosynthetic process;GO:0050766|positive regulation of phagocytosis;GO:0032308|positive regulation of prostaglandin secretion;GO:0042102|positive regulation of T cell proliferation;GO:0045944|positive regulation of transcription from RNA polymerase II promoter;GO:0010575|positive regulation of vascular endothelial growth factor production;GO:0043491|protein kinase B signaling;GO:1903140|regulation of establishment of endothelial barrier;GO:0050796|regulation of insulin secretion;GO:0050999|regulation of nitric-oxide synthase activity;GO:0033198|response to ATP;GO:0009743|response to carbohydrate;GO:0030730|sequestering of triglyceride;	GO:0005776|autophagosome;GO:0005829|cytosol;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005764|lysosome;GO:0030141|secretory granule;	.	.	.	3.831457319	3.259294468	2.504946779	5.797728983	1.942371787	4.23726231	5.724992556	9.808865785	5.89700626	9.574064335	2.852471715	5.982467965	2.456817068	8.64986448	1.276314928	3.934108487	1.71701869	1.562389904	9.858239101	5.552689373	2.955035414	10.23488811	3.905227686	2.968034629	2.846677802	4.088078155	5.01999808	2.259423452	7.400003277	4.97803562	10.46180959	25.97871906	28.04172101	6.650787187	40.26334864	20.04313193	2.667625798	2.043248417	5.500968331	6.071887619	2.695762947	2.678743511	6.378359714	4.997549121	4.112204247	9.309508949	4.737099616	4.333251345
col4a2	protein_coding	chrNC_030678.1:113644049-113761497:-	gi|512822856|ref|XP_002933063.2|	6619	0	PREDICTED: collagen alpha-2(IV) chain [Xenopus tropicalis]	gi|847104841|ref|XM_004911987.2|	5843	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 2 (col4a2), transcript variant X1, mRNA	P08122	72.4	5.00E-11	Collagen alpha-2(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0001525|angiogenesis;GO:0071560|cellular response to transforming growth factor beta stimulus;GO:0038063|collagen-activated tyrosine kinase receptor signaling pathway;GO:0035987|endodermal cell differentiation;GO:0030198|extracellular matrix organization;GO:0016525|negative regulation of angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005587|collagen type IV trimer;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0043231|intracellular membrane-bounded organelle;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	2.448826252	4.256943263	1.612651301	3.911643697	1.571445235	3.162215206	78.42203946	56.29420908	44.23680733	55.66978036	48.68437512	33.12359983	4.065809163	6.62113059	3.226475952	4.181047293	3.03257081	4.622466625	79.81262522	95.33661471	89.10413322	64.9089772	86.95815557	99.60915019	6.277077906	2.189472827	4.449817208	2.871588969	6.116026795	2.437323506	88.8606079	57.88148287	70.35099504	71.04154943	60.08212427	71.1943885	1.897298079	3.696237419	2.053243615	3.565471045	3.066505269	2.329734791	38.54148141	96.16163559	54.87376827	75.4132574	50.42870465	49.63602472
tnfsf10	protein_coding	chrNC_030681.1:92949458-92959835:-	gi|512841018|ref|XP_002931598.2|	1444	0	PREDICTED: tumor necrosis factor ligand superfamily member 10 [Xenopus tropicalis]	gi|847129371|ref|XM_002931552.3|	2869	0	PREDICTED: Xenopus (Silurana) tropicalis tumor necrosis factor (ligand) superfamily, member 10 (tnfsf10), mRNA	P50591	239	4.00E-70	Tumor necrosis factor ligand superfamily member 10	.	.	.	.	pfam00229	TNF	TNF(tumor Necrosis Factor) family.	GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0097296|activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0006915|apoptotic process;GO:0007166|cell surface receptor signaling pathway;GO:0007267|cell-cell signaling;GO:0006955|immune response;GO:0008584|male gonad development;GO:1902042|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0043065|positive regulation of apoptotic process;GO:0043280|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:2001238|positive regulation of extrinsic apoptotic signaling pathway;GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0090200|positive regulation of release of cytochrome c from mitochondria;GO:1902041|regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0032868|response to insulin;GO:0007165|signal transduction;	GO:0070062|extracellular exosome;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0046872|metal ion binding;GO:0005102|receptor binding;	K04721	TNFSF10, TRAIL; tumor necrosis factor ligand superfamily member 10	80.9851326	33.35993567	47.76104128	44.26721805	19.69637882	30.4282658	31.65130182	24.77997631	24.58054645	20.31245199	14.73311522	14.7399585	98.23078131	132.0942507	54.45184627	105.9524944	93.39583055	50.37161719	49.18717713	33.30746897	23.73556729	37.88645728	29.73350546	30.48863009	66.25048733	70.46455803	48.08356507	81.83992875	54.8070544	107.7124109	31.09402301	31.19906433	30.18586895	21.05112419	24.25623929	19.99064633	87.3236213	67.62298736	99.07955	78.54649294	97.46317328	78.0393625	51.45095963	48.90123682	40.3357889	39.16052974	30.52451531	25.75210019
LOC101732593	protein_coding	chrNC_030682.1:4869522-4872931:-	gi|512849524|ref|XP_004915576.1|	774	7.00E-102	PREDICTED: cathelicidin-related peptide Oh-Cath-like [Xenopus tropicalis]	gi|847136883|ref|XM_004915519.2|	633	0	PREDICTED: Xenopus (Silurana) tropicalis cathelicidin-related peptide Oh-Cath-like (LOC101732593), mRNA	.	.	.	.	.	.	.	.	pfam00666	Cathelicidins	Cathelicidin. A novel protein family, showing a conserved proregion and a variable carboxyl-terminal antimicrobial domain. This region shows similarity to cystatins.	.	.	.	.	.	3.549644339	9.78889	5.9520704	26.10421495	2.237223216	9.485732015	17.02437611	116.618857	40.68855032	160.1456502	21.96377519	95.50178428	6.187104843	34.95874367	1.374185713	4.561614656	1.422064354	1.182084787	252.2087754	67.23493345	35.72520882	144.2669418	34.63217447	21.89946714	7.450229054	4.446938378	15.48195583	2.335374025	11.10614614	2.565356612	101.1325979	207.2685719	602.2133873	93.81534716	92.60435167	164.7327514	7.946379946	7.333098126	1.758329862	14.18775299	5.252107198	4.518510703	126.1201054	81.25878866	10.81251286	83.24352705	37.40257683	48.70818638
