Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length
Q0V9W0,GPC1_XENTR,reviewed,Glypican-1 [Cleaved into: Secreted glypican-1],gpc1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),554
Q6GLF7,Q6GLF7_XENTR,unreviewed,Frizzled-related protein 1 (FrzB-1) (Secreted frizzled-related protein 3),frzb TGas130o04.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),319
Q6P2X6,Q6P2X6_XENTR,unreviewed,Osteonectin (SPARC) (Secreted protein acidic and rich in cysteine),sparc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),300
B0JZX7,B0JZX7_XENTR,unreviewed,Secreted frizzled-related protein 1,sfrp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),311
F7EN59,F7EN59_XENTR,unreviewed,Secreted frizzled-related protein 1,sfrp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),304
A0A803KHC2,A0A803KHC2_XENTR,unreviewed,Osteonectin (SPARC) (Secreted protein acidic and rich in cysteine),sparc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),298
A0A6I8T0W1,A0A6I8T0W1_XENTR,unreviewed,Osteonectin (SPARC) (Secreted protein acidic and rich in cysteine),sparc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),287
Q08BT9,P20D1_XENTR,reviewed,N-fatty-acyl-amino acid synthase/hydrolase PM20D1 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1),pm20d1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),512
Q6GL50,Q6GL50_XENTR,unreviewed,Secreted frizzled-related protein 5,sfrp5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),315
B4F6N6,LOXL2_XENTR,reviewed,Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2),loxl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),767
A0A803K3U4,A0A803K3U4_XENTR,unreviewed,Osteonectin (SPARC) (Secreted protein acidic and rich in cysteine),sparc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),364
Q6P8B8,Q6P8B8_XENTR,unreviewed,Secreted frizzled-related protein 2 (Sfrp2),sfrp2 TGas060f16.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),295
B1H134,FLRT3_XENTR,reviewed,Leucine-rich repeat transmembrane protein FLRT3 (Fibronectin-like domain-containing leucine-rich transmembrane protein 3),flrt3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),648
A0A803J8T2,A0A803J8T2_XENTR,unreviewed,Secreted frizzled related protein 4,sfrp4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),353
B0BMB8,B0BMB8_XENTR,unreviewed,Hepatic triacylglycerol lipase (EC 3.1.1.3) (EC 3.1.1.32) (EC 3.1.1.5) (Lipase member C) (Lysophospholipase) (Phospholipase A1),lipc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),496
B2GUT4,WNT11_XENTR,reviewed,Protein Wnt-11 (Protein Wnt-11-related),wnt11 wnt11r,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),352
Q08D64,ABCB6_XENTR,reviewed,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5),abcb6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),849
A4IH17,BAG6_XENTR,reviewed,Large proline-rich protein bag6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3),Bag6 bat3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1129
Q28E61,NSUN2_XENTR,reviewed,RNA cytosine-C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 2) (mRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (EC 2.1.1.203),nsun2 TEgg048n02.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),798
Q800C0,NOD3A_XENTR,reviewed,Nodal homolog 3-A (Nodal-related protein 3-A) (Xtnr3-A),nodal3-A nr3-A,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),401
Q5M7L6,RSPO2_XENTR,reviewed,R-spondin-2 (Roof plate-specific spondin-2),rspo2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),243
A4IHA1,HTRA1_XENTR,reviewed,Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (Serine protease 11),htra1 htra prss11,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),460
A0A803JBU8,A0A803JBU8_XENTR,unreviewed,Hepatic triacylglycerol lipase (EC 3.1.1.3) (EC 3.1.1.32) (EC 3.1.1.5) (Lipase member C) (Lysophospholipase) (Phospholipase A1),lipc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),474
F6ZIJ4,F6ZIJ4_XENTR,unreviewed,Secreted Xwnt8 inhibitor sizzled (Sizzled),szl TGas144c13.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),281
P84381,XT7_XENTR,reviewed,Antimicrobial peptide 7 (XT-7),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),18
Q07G34,CER1_XENTR,reviewed,Cerberus (Cer) (tCerberus) [Cleaved into: Cerberus long (Cer-L); Cerberus short (Cer-S)],cer1 TGas102k04.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),276
Q800B9,NOD3B_XENTR,reviewed,Nodal homolog 3-B (Nodal-related protein 3-B) (Xtnr3-B),nodal3-B nr3-B,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),401
Q800B8,NOD3C_XENTR,reviewed,Nodal homolog 3-C (Nodal-related protein 3-C) (Xtnr3-C),nodal3-C nr3-C,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),401
Q6P4Z2,CO2A1_XENTR,reviewed,Collagen alpha-1(II) chain (Alpha-1 type II collagen),col2a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1492
Q5EBF6,SDF1_XENTR,reviewed,Stromal cell-derived factor 1 (SDF-1) (C-X-C motif chemokine 12),cxcl12 sdf1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),93
P84385,XT5_XENTR,reviewed,Antimicrobial peptide 5 (PGLa-like peptide) (XT-5),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),22
A4IGL7,PXDN_XENTR,reviewed,Peroxidasin (EC 1.11.1.7),pxdn pxn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1457
A0A6I8T057,A0A6I8T057_XENTR,unreviewed,ABC-type heme transporter ABCB6 (EC 7.6.2.5) (ATP-binding cassette sub-family B member 6),abcb6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),803
A0A6I8QU83,A0A6I8QU83_XENTR,unreviewed,ABC-type heme transporter ABCB6 (EC 7.6.2.5) (ATP-binding cassette sub-family B member 6),abcb6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),852
F6Y0W9,F6Y0W9_XENTR,unreviewed,Low-density lipoprotein receptor relative with 11 ligand-binding repeats (Sortilin-related receptor) (Sorting protein-related receptor containing LDLR class A repeats),sorl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2199
A0A6I8R534,A0A6I8R534_XENTR,unreviewed,Low-density lipoprotein receptor relative with 11 ligand-binding repeats (Sortilin-related receptor) (Sorting protein-related receptor containing LDLR class A repeats),sorl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2165
A9JSE7,MIF_XENTR,reviewed,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),mif,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),115
P84386,XT6_XENTR,reviewed,Antimicrobial peptide 6 (XT-6),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),18
F7BP03,F7BP03_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 2,enpp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),922
Q28J82,W11B2_XENTR,reviewed,Protein Wnt-11b-2,wnt11b-2 wnt11 wnt11b TNeu076g04.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),353
F7E1R2,F7E1R2_XENTR,unreviewed,Lipoprotein lipase (LPL) (EC 3.1.1.34),lpl,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),483
Q6DJ00,OSTCN_XENTR,reviewed,Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein),bglap,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),101
F7DL67,NNRE_XENTR,reviewed,NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I binding protein) (NAD(P)HX epimerase),naxe apoa1bp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),292
Q66KL4,DERR_XENTR,reviewed,Derriere protein (Growth/differentiation factor 3) (Gdf-3),derriere gdf3 TGas141f11.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),350
Q07G03,Q07G03_XENTR,unreviewed,Secreted frizzled-related protein 1 (Fragment),sfrp1 TNeu102i09.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),213
A0A6I8STB6,A0A6I8STB6_XENTR,unreviewed,Low-density lipoprotein receptor relative with 11 ligand-binding repeats (Sortilin-related receptor) (Sorting protein-related receptor containing LDLR class A repeats),sorl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2122
A4IH36,ADIPL_XENTR,reviewed,Adipolin (Adipose-derived insulin-sensitizing factor) (Complement C1q tumor necrosis factor-related protein 12),c1qtnf12 ctrp12 fam132a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),324
Q28GB8,NODAL_XENTR,reviewed,Nodal homolog (Nodal-related protein 1),nodal nr1 TGas124h10.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),403
P84387,XT1_XENTR,reviewed,Antimicrobial peptide 1 (XT-1),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),27
P84384,XT4_XENTR,reviewed,Antimicrobial peptide 4 (XT-4),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),22
Q6DDC5,Q6DDC5_XENTR,unreviewed,Apolipoprotein A-I (Novel protein similar to avian apolipoprotein-A1),apoa1 ddah1 TTpA012m15.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),261
Q501K5,TRFE_XENTR,reviewed,Serotransferrin,tf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),703
Q28DP4,Q28DP4_XENTR,unreviewed,Kit ligand (c-Kit ligand),kitlg TNeu099e03.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),258
F7CLJ8,F7CLJ8_XENTR,unreviewed,Kit ligand (c-Kit ligand),kitlg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),277
B4F6K4,B4F6K4_XENTR,unreviewed,Kit ligand (c-Kit ligand),kitlg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),270
A0A6I8R2Q4,A0A6I8R2Q4_XENTR,unreviewed,Angiotensin-converting enzyme (EC 3.4.-.-),ace2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),862
F6WWN7,F6WWN7_XENTR,unreviewed,Bone morphogenetic protein 4,col4a1 bmp4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),469
F7AVS9,F7AVS9_XENTR,unreviewed,Laminin subunit alpha 1,lama1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3101
A3FPG9,A3FPG9_XENTR,unreviewed,Brain-derived neurotrophic factor (BDNF),bdnf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),247
Q5XGE9,LIPH_XENTR,reviewed,Lipase member H (EC 3.1.1.-),liph,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),460
A0A5S6NBZ0,A0A5S6NBZ0_XENTR,unreviewed,NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase),naxe AIBP APOA1BP,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),315
P84383,XT3_XENTR,reviewed,Antimicrobial peptide 3 (Levitide-like peptide) (XT-3),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),25
P84382,XT2_XENTR,reviewed,Antimicrobial peptide 2 (XT-2),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),25
Q66II0,W11B1_XENTR,reviewed,Protein Wnt-11b-1,wnt11b-1 wnt11,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),353
A0A6I8RID7,A0A6I8RID7_XENTR,unreviewed,Kit ligand (c-Kit ligand),kitlg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),283
Q6DF16,Q6DF16_XENTR,unreviewed,92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9),mmp9.1 mmp9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),670
