GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lhea1	Lhea2	Lhea3	Lhea4	Lhea5	Lhea6	Lski1	Lski2	Lski3	Lski4	Lski5	Lski6	LMhea1	LMhea2	LMhea3	LMhea4	LMhea5	LMhea6	LMski1	LMski2	LMski3	LMski4	LMski5	LMski6	Mhea1	Mhea2	Mhea3	Mhea4	Mhea5	Mhea6	Mski1	Mski2	Mski3	Mski4	Mski5	Mski6	MLhea1	MLhea2	MLhea3	MLhea4	MLhea5	MLhea6	MLski1	MLski2	MLski3	MLski4	MLski5	MLski6
col4a5	protein_coding	chrNC_030684.1:29716300-29809883:+	gi|512859351|ref|XP_004916925.1|	1470	1.00E-168	PREDICTED: collagen alpha-5(IV) chain isoform X4 [Xenopus tropicalis]	gi|847156843|ref|XM_004916865.2|	6633	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 5 (col4a5), transcript variant X1, mRNA	P29400	55.8	6.00E-06	Collagen alpha-5(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;GO:0007528|neuromuscular junction development;	GO:0005605|basal lamina;GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;GO:0031594|neuromuscular junction;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	64.02638089	47.90693392	44.40675298	55.97065387	48.54533887	57.66611922	8.976901548	4.590687551	5.568876921	10.71937426	4.838966792	7.288946166	37.14646797	21.81278062	32.11626735	32.998417	36.90546251	35.50768788	6.881005687	7.071793852	5.357304087	6.523790051	6.432225748	6.393535591	32.88189228	29.37081138	30.31541905	41.05542816	30.87760751	44.35789522	7.36943493	6.019095003	5.826926072	7.767806475	5.992355004	6.552977854	38.14232678	66.77184771	43.953224	53.23986818	38.56146412	53.49800813	5.118220891	6.909263306	5.820250892	7.432255597	4.921943501	6.391231806
col3a1	protein_coding	chrNC_030685.1:39803845-39864240:-	gi|218847780|ref|NP_001136379.1|	1436	1.00E-166	collagen alpha-1(III) chain precursor [Xenopus tropicalis]	gi|218847779|ref|NM_001142907.1|	5222	0	Xenopus (Silurana) tropicalis collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) (col3a1), mRNA	P13941	147	4.00E-34	Collagen alpha-1(III) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0007568|aging;GO:0060414|aorta smooth muscle tissue morphogenesis;GO:0007160|cell-matrix adhesion;GO:0071230|cellular response to amino acid stimulus;GO:0021987|cerebral cortex development;GO:0030199|collagen fibril organization;GO:0048565|digestive tract development;GO:0007507|heart development;GO:0007229|integrin-mediated signaling pathway;GO:0050777|negative regulation of immune response;GO:2001223|negative regulation of neuron migration;GO:0018149|peptide cross-linking;GO:0035025|positive regulation of Rho protein signal transduction;GO:0034097|response to cytokine;GO:0009612|response to mechanical stimulus;GO:0009314|response to radiation;GO:0001501|skeletal system development;GO:0043588|skin development;GO:0007179|transforming growth factor beta receptor signaling pathway;GO:0042060|wound healing;	GO:0005586|collagen type III trimer;GO:0031012|extracellular matrix;GO:0005615|extracellular space;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	530.5120416	766.0607238	531.4176023	619.401693	332.6138542	720.5334255	433.5040746	615.1459783	263.4585557	834.2032253	194.1789034	706.6869533	423.6971901	179.1158612	310.11797	366.1707186	275.5519026	298.1226471	214.8370897	34.86161431	113.8359296	83.97744577	133.1741666	213.0710217	420.581195	414.9438441	451.5016001	405.9908933	249.2928697	454.7632522	350.9329228	117.3384059	202.9112938	199.2665149	53.0629984	477.9527436	332.8126691	840.4533096	287.8375889	802.8164029	502.6910356	444.8420349	160.1359863	1005.348473	147.4978286	618.5830542	270.2717558	363.9602814
col4a6	protein_coding	chrNC_030684.1:29574851-29715402:-	gi|847156831|ref|XP_012824447.1|	2610	0	PREDICTED: collagen alpha-6(IV) chain isoform X1 [Xenopus tropicalis]	gi|847156830|ref|XM_012968993.1|	7482	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 6 (col4a6), transcript variant X1, mRNA	Q14031	59.7	5.00E-07	Collagen alpha-6(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0007155|cell adhesion;GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;	GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	23.53334556	19.58941174	19.45051216	22.28688149	17.12138004	26.48143125	5.044467649	3.948858787	4.143243107	5.718701091	3.412863301	4.963325323	13.4257115	8.591832637	13.210495	14.79659817	13.94250437	14.2896939	4.914321337	3.023594089	3.60152324	4.107056153	3.424023398	3.726826218	12.87765116	11.72062771	11.99601961	16.33589336	12.67362763	15.11691199	4.009386044	3.836133423	4.828574605	5.551580177	3.422592796	4.783293349	12.62095045	27.94493265	14.94693476	22.99383268	14.96013661	19.75082583	3.744033176	4.579781778	3.79397776	4.093907722	4.322805432	5.144128471
nid2	protein_coding	chrNC_030684.1:74879973-74925486:+	gi|847152618|ref|XP_012823263.1|	7812	0	PREDICTED: nidogen-2 isoform X1 [Xenopus tropicalis]	gi|847152617|ref|XM_012967809.1|	5237	0	PREDICTED: Xenopus (Silurana) tropicalis nidogen 2 (osteonidogen) (nid2), transcript variant X1, mRNA	Q14112	186	7.00E-46	Nidogen-2	.	.	.	.	pfam07474	G2F	G2F domain. Nidogen, an invariant component of basement membranes, is a multifunctional protein that interacts with most other major basement membrane proteins. The G2 fragment or (G2F domain) contains binding sites for collagen IV and perlecan. The structure is composed of an 11-stranded beta-barrel with a central helix. This domain is structurally related to that of green fluorescent protein pfam01353. A large surface patch on the beta-barrel is conserved in all metazoan nidogens.	GO:0071711|basement membrane organization;GO:0007155|cell adhesion;GO:0007160|cell-matrix adhesion;GO:0030198|extracellular matrix organization;	GO:0005604|basement membrane;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005509|calcium ion binding;GO:0005518|collagen binding;	K06826	NID; nidogen (entactin)	39.20124432	40.18775126	31.51881274	45.84037165	35.41637679	52.48060669	5.54259787	6.965467665	4.75780988	10.70958186	2.685365662	7.493209101	19.68211055	26.66243107	22.3232527	25.02763268	25.34463563	30.93101902	4.669399576	2.767003114	4.178142114	3.998656988	3.501251896	5.380190409	25.06490505	24.46823601	30.02598408	21.88476939	19.33148662	25.83959422	5.088511493	3.520423378	4.575904091	5.163305595	3.293673956	6.439986848	35.55528236	51.85010776	44.15625669	52.32561597	28.80781619	35.81929816	4.479265918	9.05327538	4.37932348	6.506198995	4.632989153	4.384774276
chid1	protein_coding	chrNC_030680.1:34569078-34732415:+	gi|56118422|ref|NP_001008105.1|	2004	0	chitinase domain-containing protein 1 precursor [Xenopus tropicalis]	gi|56118421|ref|NM_001008104.1|	1840	0	Xenopus (Silurana) tropicalis chitinase domain containing 1 (chid1), mRNA	Q66IL0	776	0	Chitinase domain-containing protein 1	CAC1556	64.3	4.00E-10	COG3858	pfam00704	Glyco_hydro_18	Glycosyl hydrolases family 18.	GO:0005975|carbohydrate metabolic process;GO:0006032|chitin catabolic process;GO:0006954|inflammatory response;	GO:0005576|extracellular region;GO:0005764|lysosome;	GO:0008061|chitin binding;GO:0004568|chitinase activity;	K17525	CHID1; chitinase domain-containing protein 1	15.04738387	16.09658107	9.43579978	23.52616241	15.84911347	21.63320028	6.694908534	6.479460972	6.439987438	5.739216185	5.610387749	6.47743122	8.532802905	13.09328561	8.358802445	8.952557795	9.110868829	8.251350326	5.874695406	7.551269562	7.258847039	5.801829515	7.590184585	8.027495304	10.09690102	6.780365007	8.781376282	8.92533245	5.805354966	7.848486489	8.648478366	7.642208994	7.247455169	8.645890483	7.92300632	5.587745396	12.20686234	18.76544858	13.31677466	15.0521134	12.54905668	15.07672858	6.578161268	4.643682974	8.998066177	7.304215493	7.091355985	5.858370832
loxl1	protein_coding	chrNC_030679.1:82947858-82954271:+	gi|156717522|ref|NP_001096301.1|	2232	0	lysyl oxidase homolog 1 precursor [Xenopus tropicalis]	gi|156717521|ref|NM_001102831.1|	2300	0	Xenopus tropicalis lysyl oxidase like 1 (loxl1), mRNA	Q08397	84.3	2.00E-15	Lysyl oxidase homolog 1	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0035904|aorta development;GO:0030198|extracellular matrix organization;GO:0055114|oxidation-reduction process;GO:0018277|protein deamination;GO:0032496|response to lipopolysaccharide;	GO:0001669|acrosomal vesicle;GO:0005604|basement membrane;GO:0005576|extracellular region;GO:0005615|extracellular space;	GO:0005507|copper ion binding;GO:0016641|oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor;	K14678	LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]	31.52388038	60.78963239	42.82890574	52.17937691	24.63988456	43.5182378	17.04890994	27.59815309	15.84632385	24.15776423	12.0640528	21.01355132	23.16113223	19.0178727	14.76417	22.20909525	19.32167752	12.8777389	10.50368841	7.260159981	10.14808052	7.452291402	11.80751944	9.661826025	27.03056365	35.47046528	23.7007868	24.04583954	24.36083912	28.64839256	11.51625633	7.675598269	11.28988759	10.60137482	6.587728942	18.7230215	21.91161057	52.52338459	28.07786443	53.73961368	38.1284512	32.06424033	15.47787571	30.38650311	18.10904492	29.82034163	19.03074022	17.55362177
col5a1	protein_coding	chrNW_016683374.1:960968-1101225:+	gi|512857820|ref|XP_004916702.1|	1961	0	PREDICTED: collagen alpha-1(V) chain isoform X1 [Xenopus tropicalis]	gi|847157796|ref|XM_004916645.2|	10830	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 1 (col5a1), transcript variant X1, mRNA	P20908	65.1	1.00E-08	Collagen alpha-1(V) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0001568|blood vessel development;GO:0007155|cell adhesion;GO:0016477|cell migration;GO:0032964|collagen biosynthetic process;GO:0030574|collagen catabolic process;GO:0030199|collagen fibril organization;GO:0030198|extracellular matrix organization;GO:0048592|eye morphogenesis;GO:0003007|heart morphogenesis;GO:0045112|integrin biosynthetic process;GO:1903225|negative regulation of endodermal cell differentiation;GO:0051128|regulation of cellular component organization;GO:0043588|skin development;GO:0035989|tendon development;GO:0035313|wound healing, spreading of epidermal cells;	GO:0005604|basement membrane;GO:0005588|collagen type V trimer;GO:0005788|endoplasmic reticulum lumen;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;GO:0008201|heparin binding;GO:0005178|integrin binding;GO:0046872|metal ion binding;GO:0048407|platelet-derived growth factor binding;GO:0043394|proteoglycan binding;	.	.	34.99069122	49.47301952	35.72474111	37.05108728	25.66831686	47.34904731	52.71472046	65.61618162	34.39243846	91.53329354	46.86231076	70.74702009	30.19537166	15.79118742	22.66820235	29.09253106	23.85935141	26.82628805	38.97305662	10.80861522	23.20033108	22.52425159	27.40953274	32.84991862	27.66439785	28.93213158	31.59583959	30.28042278	22.1119024	26.39765958	43.56295648	25.74120388	35.66435839	38.17838458	15.08080235	49.12792476	26.38730084	52.25530267	27.65465867	49.74778907	33.52245162	34.44674527	25.01849105	77.12052749	30.18395908	66.14473274	40.60669058	53.99947705
col1a1	protein_coding	chrNC_030686.1:13936262-13962423:+	gi|58332412|ref|NP_001011005.1|	1566	0	collagen alpha-1(I) chain precursor [Xenopus tropicalis]	gi|58332411|ref|NM_001011005.1|	5663	0	Xenopus (Silurana) tropicalis collagen, type I, alpha 1 (col1a1), mRNA	Q9YIB4	60.8	1.00E-07	Collagen alpha-1(I) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	.	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	307.3608065	596.4435474	343.9676991	445.0445246	272.3699121	368.6885579	990.4313191	2228.003505	313.663733	2434.00497	3630.414817	1044.302325	301.6402138	72.35917013	157.9519724	217.3358022	217.3277057	152.1489378	325.4610679	60.38021939	119.9768908	106.7627841	298.962926	521.179893	247.4974163	244.5179056	218.220909	262.1995171	174.5515488	221.6330845	579.2668529	139.0357216	254.0230798	351.677976	54.41783541	907.5736055	157.2419663	550.1796271	174.7473504	575.9117423	343.8065042	331.8008802	174.1416209	1715.380225	199.5130481	1567.502894	408.5550102	683.2856078
col6a3	protein_coding	chrNC_030685.1:55178804-55266755:-	gi|512867316|ref|XP_002932067.2|	11604	0	PREDICTED: collagen alpha-3(VI) chain isoform X1 [Xenopus tropicalis]	gi|847166752|ref|XM_002932021.3|	11067	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type VI, alpha 3 (col6a3), transcript variant X1, mRNA	P15989	1061	0	Collagen alpha-3(VI) chain	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0007155|cell adhesion;	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0004867|serine-type endopeptidase inhibitor activity;	.	.	17.44638473	26.61130989	20.65157098	22.56926217	12.83061664	23.56431036	42.1601257	56.29151677	27.04322446	79.52515548	33.81717737	63.36645331	16.93090632	8.132908027	11.44995804	16.20106595	11.33992059	13.14410497	24.16643541	7.65968063	15.55345771	17.71100279	21.48048395	30.37618004	16.57984182	16.05593252	17.95789596	16.96720686	13.27660982	16.1647848	37.79132524	19.59589009	27.39266902	27.07571565	11.88747872	37.91036232	12.94966337	29.59892104	12.03295526	29.1925891	17.79468713	16.98830176	22.37840052	59.08080481	23.30716902	53.43672895	34.90031507	46.17817387
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	1065.114611	2053.886323	1358.704042	1696.365883	1182.429829	1887.454141	1875.634368	5082.991298	646.6343027	4823.012707	3377.478636	2479.768794	1021.298577	568.0488264	769.0238515	790.8614056	733.0173964	783.4463693	730.890023	186.2957884	319.3103063	318.3674726	573.4460578	1262.843439	933.7425893	795.9722474	682.2624387	869.3594803	635.3293365	862.6081477	1331.561521	277.0652506	475.4091558	744.2681524	191.2194641	1892.503517	768.6025883	1832.312509	756.1895162	1967.58233	1470.721276	1072.258927	520.1795383	3835.430564	450.0591878	3224.156492	800.0476927	1046.630778
