GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Lmus1	Lmus2	Lmus3	Lmus4	Lmus5	Lmus6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMmus1	LMmus2	LMmus3	LMmus4	LMmus5	LMmus6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mmus1	Mmus2	Mmus3	Mmus4	Mmus5	Mmus6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLmus1	MLmus2	MLmus3	MLmus4	MLmus5	MLmus6
anxa9	protein_coding	chrNC_030684.1:106114846-106130934:+	gi|56118278|ref|NP_001008048.1|	1764	0	annexin A9 [Xenopus tropicalis]	gi|89886037|ref|NM_001008047.2|	1661	0	Xenopus (Silurana) tropicalis annexin A9 (anxa9), mRNA	Q07936	304	3.00E-96	Annexin A2	.	.	.	.	pfam00191	Annexin	Annexin. This family of annexins also includes giardin that has been shown to function as an annexin.	GO:0001525|angiogenesis;GO:0007589|body fluid secretion;GO:0030199|collagen fibril organization;GO:0042730|fibrinolysis;GO:0006900|vesicle budding from membrane;GO:0001765|membrane raft assembly;GO:0032804|negative regulation of low-density lipoprotein particle receptor catabolic process;GO:1900121|negative regulation of receptor binding;GO:0002091|negative regulation of receptor internalization;GO:0036035|osteoclast development;GO:0051099|positive regulation of binding;GO:0048146|positive regulation of fibroblast proliferation;GO:0001934|positive regulation of protein phosphorylation;GO:0031340|positive regulation of vesicle fusion;GO:0051290|protein heterotetramerization;GO:0051917|regulation of fibrinolysis;GO:0097066|response to thyroid hormone;	GO:0005604|basement membrane;GO:0016323|basolateral plasma membrane;GO:0005938|cell cortex;GO:0009986|cell surface;GO:0005737|cytoplasm;GO:0005829|cytosol;GO:0005769|early endosome;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0019897|extrinsic component of plasma membrane;GO:0031902|late endosome membrane;GO:0005811|lipid droplet;GO:0005765|lysosomal membrane;GO:0044354|macropinosome;GO:0042470|melanosome;GO:0045121|membrane raft;GO:0030496|midbody;GO:0035749|myelin sheath adaxonal region;GO:0005634|nucleus;GO:1990667|PCSK9-AnxA2 complex;GO:0048471|perinuclear region of cytoplasm;GO:0005886|plasma membrane;GO:0043234|protein complex;GO:0001726|ruffle;GO:0042383|sarcolemma;GO:0043220|Schmidt-Lanterman incisure;GO:0031982|vesicle;	GO:0051015|actin filament binding;GO:0005509|calcium ion binding;GO:0005544|calcium-dependent phospholipid binding;GO:0005546|phosphatidylinositol-4,5-bisphosphate binding;GO:0019834|phospholipase A2 inhibitor activity;GO:0017137|Rab GTPase binding;GO:0030546|receptor activator activity;	K17092	ANXA2; annexin A2	3.777995124	6.724439114	7.324809892	4.954422949	3.433029205	3.356247374	16.02617449	17.57707891	16.87382752	15.43814846	16.81920466	17.13930613	26.55028072	14.55563402	9.529818132	9.407274799	11.34112858	11.24920731	15.92885961	14.10214347	19.92502086	16.35555852	13.4811781	17.22777103	8.093323966	14.19448168	9.087047371	11.42364497	25.15104144	9.020030355	16.22691325	13.88050744	14.78296792	17.83008379	16.37236217	13.94026487	8.963222681	5.267040363	6.463637789	6.338878422	7.120237371	5.178904121	15.52686339	17.07807423	16.08186285	17.48323918	14.35346428	14.50074279
chga	protein_coding	chrNC_030684.1:66553174-66569449:+	gi|847153951|ref|XP_012823716.1|	1988	0	PREDICTED: chromogranin-A isoform X1 [Xenopus tropicalis]	gi|847153956|ref|XM_012968264.1|	4195	0	PREDICTED: Xenopus (Silurana) tropicalis chromogranin A (chga), transcript variant X3, mRNA	P04404	145	2.00E-36	Chromogranin-A (Fragment)	.	.	.	.	pfam01271	Granin	Granin (chromogranin or secretogranin).	GO:0050829|defense response to Gram-negative bacterium;GO:0050830|defense response to Gram-positive bacterium;GO:0045576|mast cell activation;GO:0002551|mast cell chemotaxis;GO:0032762|mast cell cytokine production;GO:0043303|mast cell degranulation;GO:0033604|negative regulation of catecholamine secretion;GO:2000707|positive regulation of dense core granule biogenesis;	GO:0005576|extracellular region;GO:0042629|mast cell granule;GO:0030141|secretory granule;GO:0030658|transport vesicle membrane;	.	.	.	109.5989673	98.93366436	60.42026157	90.69094142	75.08128253	87.33127782	0.075751885	0.015196312	0.030684633	0.099828946	0.0	0.029509559	147.0930973	169.9364541	135.2995905	155.3999345	139.9851247	139.7722052	0.084138208	0.060862697	0.164192999	0.046712708	0.018304123	0.0	124.0112432	195.4611085	118.0818099	150.6433674	194.323855	166.7247737	0.030326016	0.093603359	0.0	0.078415677	0.093083362	0.044883661	67.39460698	77.55737122	92.57731137	85.26492642	89.04548525	58.26768101	0.062047751	0.044106199	0.120777605	0.044583437	0.071875804	0.073156551
loxl2	protein_coding	chrNC_030679.1:107136569-107175237:+	gi|213982721|ref|NP_001135520.1|	4105	0	lysyl oxidase homolog 2 precursor [Xenopus tropicalis]	gi|213982720|ref|NM_001142048.1|	3147	0	Xenopus tropicalis lysyl oxidase like 2 (loxl2), mRNA	B4F6N6	1582	0	Lysyl oxidase homolog 2	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0006464|cellular protein modification process;GO:0016569|covalent chromatin modification;GO:0030199|collagen fibril organization;GO:0043542|endothelial cell migration;GO:0001935|endothelial cell proliferation;GO:0001837|epithelial to mesenchymal transition;GO:0045892|negative regulation of transcription, DNA-templated;GO:0032332|positive regulation of chondrocyte differentiation;GO:0046688|response to copper ion;GO:0001666|response to hypoxia;GO:0002040|sprouting angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005694|chromosome;GO:0005615|extracellular space;GO:0016020|membrane;GO:0005634|nucleus;	GO:0005507|copper ion binding;GO:0070492|oligosaccharide binding;GO:0004720|protein-lysine 6-oxidase activity;GO:0005044|scavenger receptor activity;	K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	7.363410825	7.931805674	4.683212685	11.65720305	5.688242259	12.51036676	2.947001073	2.853299455	1.367820896	3.968441905	2.882759114	5.042519695	3.350119686	5.812855812	3.180932077	3.591536062	2.772008761	5.631307337	1.818476117	1.664832647	1.663451948	2.376766933	1.310446079	3.973673031	6.951095803	2.395590041	4.854938603	2.845193521	5.745625023	3.981141396	3.092834415	1.454064385	0.933084638	2.521007966	1.362161272	1.738040253	3.596392454	10.66116424	5.656103679	9.96051916	6.248982494	5.016891353	1.508665327	3.535027081	2.630755567	4.898199578	3.747696221	3.379665286
abcb6	protein_coding	chrNC_030685.1:77841741-77861436:-	gi|118404630|ref|NP_001072643.1|	3835	0	ATP-binding cassette sub-family B member 6, mitochondrial [Xenopus tropicalis]	gi|118404629|ref|NM_001079175.1|	5558	0	Xenopus tropicalis ATP binding cassette subfamily B member 6 (Langereis blood group) (abcb6), mRNA	Q08D64	1481	0	ATP-binding cassette sub-family B member 6, mitochondrial	YPO2588	494	2.00E-154	COG5265	pfam00005	ABC_tran	ABC transporter. ABC transporters for a large family of proteins responsible for translocation of a variety of compounds across biological membranes. ABC transporters are the largest family of proteins in many completely sequenced bacteria. ABC transporters are composed of two copies of this domain and two copies of a transmembrane domain pfam00664. These four domains may belong to a single polypeptide or belong in different polypeptide chains.	GO:0006879|cellular iron ion homeostasis;GO:0055085|transmembrane transport;	GO:0005783|endoplasmic reticulum;GO:0005794|Golgi apparatus;GO:0016021|integral component of membrane;GO:0005743|mitochondrial inner membrane;GO:0005741|mitochondrial outer membrane;GO:0005886|plasma membrane;	GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;	K05661	ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6	2.623662915	4.987390848	2.650255407	4.118970939	4.057290178	4.868580528	2.559492866	3.136462975	3.072772714	2.267566276	2.783594634	2.278359748	1.782511953	2.140300939	2.726477369	2.578027353	1.906399884	2.998714609	5.762878673	10.80550644	4.882502178	5.320586696	7.19200951	4.521888795	2.7633168	2.085657493	2.821122057	2.113269918	1.864330001	2.410866483	3.361410619	4.209718924	3.252231871	4.279956159	5.597589142	2.939262342	2.849305138	4.078315511	2.211862109	2.983514703	2.551665441	2.264640561	4.648259095	2.742246034	3.15062912	2.930962109	3.87905221	2.751417755
twsg2	protein_coding	chrNC_030677.1:127448458-127457611:-	gi|62751630|ref|NP_001015756.1|	1283	7.00E-175	twisted gastrulation homolog 2 [Xenopus tropicalis]	gi|62751629|ref|NM_001015756.1|	1195	0	Xenopus (Silurana) tropicalis twisted gastrulation homolog 2 (twsg2), mRNA	Q98T88	200	4.00E-60	Twisted gastrulation protein homolog 1-A	.	.	.	.	pfam04668	Tsg	Twisted gastrulation (Tsg) protein conserved region. Tsg was identified in Drosophila as being required to specify the dorsal-most structures in the embryo, for example amnioserosa. Biochemical experiments have revealed three key properties of Tsg: it can synergistically inhibit Dpp/BMP action in both Drosophila and vertebrates by forming a tripartite complete between itself, SOG/chordin and a BMP ligand; Tsg seems to enhance the Tld/BMP-1-mediated cleavage rate of SOG/chordin and may change the preference of site utilisation; Tsg can promote the dissociation of chordin cysteine-rich-containing fragments from the ligand to inhibit BMP signalling.	GO:0007275|multicellular organism development;	GO:0005576|extracellular region;	.	.	.	5.796882705	4.543058856	4.724378055	5.967830985	3.953011034	3.864599487	3.449265412	2.486676113	2.838033253	6.08783524	4.459441182	7.34825054	11.84317893	12.06976741	6.760303742	9.259092277	8.212510894	6.515429156	3.17265115	3.301750388	4.147020506	3.821959508	3.060342135	4.037955162	6.656553363	3.542589609	9.405314039	7.076476438	13.11693037	6.417915022	6.149126265	5.216644451	2.345559697	6.471636017	4.470221351	3.140090959	3.532427667	6.953617968	5.740341012	5.950266083	6.405234455	4.832348685	2.814228952	3.556399113	2.255635473	4.969392972	5.625078591	3.226993627
svbp	protein_coding	chrNW_016684385.1:1720-8787:-	gi|847175562|ref|XP_012810579.1|	322	2.00E-34	PREDICTED: coiled-coil domain-containing protein 23 [Xenopus tropicalis]	gi|110289764|emb|CU025074.1|	537	0	Xenopus tropicalis finished cDNA, clone TTpA034n18	Q32LJ0	94.7	3.00E-23	Small vasohibin-binding protein	.	.	.	.	pfam14303	NAM-associated	No apical meristem-associated C-terminal domain. This domain is found in a number of different types of plant proteins including NAM-like proteins.	GO:0010596|negative regulation of endothelial cell migration;GO:0031397|negative regulation of protein ubiquitination;GO:0009306|protein secretion;	GO:0045177|apical part of cell;GO:0005576|extracellular region;	.	.	.	7.768676321	8.440632099	10.06617301	10.76793526	8.578605634	12.74784448	24.64654586	32.66450046	22.83115715	26.24280922	29.05384414	27.38701801	13.94705942	25.67431143	14.83706763	12.46469118	12.16159427	14.07035715	39.13294435	37.9001446	35.64362183	57.22236413	47.05748863	43.06298251	12.40020653	15.7166984	17.26034684	19.66021583	12.77591532	15.35247987	35.98969403	28.45765264	25.87410068	34.63107869	33.76087987	32.39856944	7.98301803	7.917537766	7.790737772	11.96990216	8.200196162	7.091332048	22.25620508	36.30714966	26.97578032	32.10259168	27.21910534	19.66602301
cpq	protein_coding	chrNC_030682.1:114600079-114803247:-	gi|512846357|ref|XP_002943828.2|	2344	0	PREDICTED: carboxypeptidase Q [Xenopus tropicalis]	gi|512846360|ref|XM_004915138.1|	1852	0	PREDICTED: Xenopus (Silurana) tropicalis carboxypeptidase Q (cpq), transcript variant X2, mRNA	Q6GQ29	845	0	Carboxypeptidase Q	CC2544	197	1.00E-54	COG2234	pfam04389	Peptidase_M28	Peptidase family M28.	GO:0043171|peptide catabolic process;GO:0006508|proteolysis;	GO:0005737|cytoplasm;GO:0005783|endoplasmic reticulum;GO:0005615|extracellular space;GO:0005794|Golgi apparatus;GO:0005764|lysosome;	GO:0004180|carboxypeptidase activity;GO:0046872|metal ion binding;GO:0070573|metallodipeptidase activity;GO:0042803|protein homodimerization activity;	.	.	14.42786094	18.68226339	15.2153646	17.08064954	14.56731022	22.42587979	2.378295887	3.785003925	2.472651117	3.4028631	2.186538738	5.342690354	7.02471431	21.36256984	12.71111636	10.28064982	11.60295285	12.18725251	2.67681296	2.420393493	2.852422861	2.216174153	1.724021269	2.242001651	13.94541126	12.39212244	8.704363059	12.15420747	9.783907768	13.72105804	2.729386208	3.102022698	1.807248495	2.724533601	3.019847	2.91226672	11.92826708	16.76539037	14.44173468	15.90045767	13.30645429	11.19154683	2.59739033	3.384949919	3.033533814	3.981469924	3.309684351	3.460531793
sfrp5	protein_coding	chrNC_030683.1:25554744-25597275:-	gi|52345596|ref|NP_001004846.1|	1579	0	secreted frizzled-related protein 5 precursor [Xenopus tropicalis]	gi|52345595|ref|NM_001004846.1|	1897	0	Xenopus (Silurana) tropicalis secreted frizzled-related protein 5 (sfrp5), mRNA	Q9XSC1	407	7.00E-136	Secreted frizzled-related protein 5	.	.	.	.	pfam01392	Fz	Fz domain. Also known as the CRD (cysteine rich domain), the C6 box in MuSK receptor. This domain of unknown function has been independently identified by several groups. The domain contains 10 conserved cysteines.	GO:0060070|canonical Wnt signaling pathway;GO:0030154|cell differentiation;GO:0007275|multicellular organism development;GO:0090090|negative regulation of canonical Wnt signaling pathway;GO:0035414|negative regulation of catenin import into nucleus;GO:0008285|negative regulation of cell proliferation;GO:0051898|negative regulation of protein kinase B signaling;GO:0043433|negative regulation of DNA binding transcription factor activity;GO:0030178|negative regulation of Wnt signaling pathway;GO:2000057|negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis;GO:0035567|non-canonical Wnt signaling pathway;	GO:0005576|extracellular region;GO:0016021|integral component of membrane;	GO:0004930|G-protein coupled receptor activity;GO:0042813|Wnt-activated receptor activity;GO:0017147|Wnt-protein binding;	K02222	SFRP5; secreted frizzled-related protein 5	11.21048573	10.13998717	5.777259609	11.65546726	12.90151308	12.7710239	1.92908166	1.629415132	1.81643191	3.504317491	2.100249164	2.373108162	4.094862873	4.775563335	5.106511661	5.532964089	3.660900299	12.88486274	1.052527861	0.373883418	1.613836849	1.982626759	1.390209199	0.571415798	7.568372599	3.108331095	2.676211558	8.789406561	1.037713799	8.183393228	1.625844155	2.543989774	1.472907955	4.063901755	1.178289598	1.336839672	2.378948408	10.53885272	8.669878753	3.643091839	2.011102253	6.585514263	3.257213462	2.857261242	4.283043284	4.913221235	1.734038702	5.45823219
c1ql1	protein_coding	chrNC_030686.1:6561657-6590110:-	gi|313760697|ref|NP_001186529.1|	678	4.00E-82	C1q-related factor precursor [Xenopus tropicalis]	gi|313760696|ref|NM_001199600.1|	1319	0	Xenopus (Silurana) tropicalis complement component 1, q subcomponent-like 1 (c1ql1), mRNA	O88992	191	4.00E-55	C1q-related factor	.	.	.	.	pfam00386	C1q	C1q domain. C1q is a subunit of the C1 enzyme complex that activates the serum complement system.	GO:0099558|maintenance of synapse structure;GO:0061743|motor learning;GO:0016322|neuron remodeling;	GO:0044301|climbing fiber;GO:0005581|collagen trimer;GO:0005737|cytoplasm;GO:0098793|presynapse;GO:0043083|synaptic cleft;	GO:0005102|receptor binding;	.	.	12.93083283	11.70283019	15.45036985	11.39280646	8.667851114	8.050289777	0.451326227	0.316886227	0.22852203	0.424840172	0.311202535	0.483495612	31.03807395	17.05123433	17.35287436	29.68105912	18.80652703	11.8081037	0.701808171	0.362617134	0.489127146	0.603009668	0.109055118	0.476263255	17.1875442	13.12636386	17.43431685	17.51653261	53.01916684	14.89269255	0.677553746	0.650631899	0.140301524	0.467196979	0.369724243	0.534829551	15.21936288	11.20838611	15.12573545	13.1215807	20.96038827	19.41560305	0.415887332	0.656956739	0.404767903	0.885420179	0.813642157	0.610208687
lpl	protein_coding	chrNC_030677.1:77715979-77740078:+	gi|301608942|ref|XP_002934038.1|	2530	0	PREDICTED: lipoprotein lipase [Xenopus tropicalis]	gi|847094016|ref|XM_002933992.3|	4999	0	PREDICTED: Xenopus (Silurana) tropicalis lipoprotein lipase (lpl), mRNA	P11602	763	0	Lipoprotein lipase	.	.	.	.	pfam00151	Lipase	Lipase.	GO:0042632|cholesterol homeostasis;GO:0006633|fatty acid biosynthetic process;GO:0090197|positive regulation of chemokine secretion;GO:0010886|positive regulation of cholesterol storage;GO:0010744|positive regulation of macrophage derived foam cell differentiation;GO:0010890|positive regulation of sequestering of triglyceride;GO:0019433|triglyceride catabolic process;GO:0070328|triglyceride homeostasis;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0031225|anchored component of membrane;GO:0009986|cell surface;GO:0042627|chylomicron;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005886|plasma membrane;GO:0034361|very-low-density lipoprotein particle;	GO:0008201|heparin binding;GO:0004465|lipoprotein lipase activity;	K01059	LPL; lipoprotein lipase [EC:3.1.1.34]	5.248613667	4.957863834	9.082369477	3.119169547	2.486733234	4.16875599	5.604290835	5.45329021	6.379810277	9.047013538	12.29729806	19.786655	12.00059523	9.382931581	8.208993455	9.8292478	8.991861687	5.858056196	7.169171119	1.785575661	5.780467234	18.32558509	2.739488995	9.475904826	4.375894877	6.055545279	5.866709267	4.962903386	19.24550805	6.125042749	3.133282851	8.47713327	5.566959014	6.254804002	33.69377498	2.964359741	7.134729466	4.78677185	7.677311623	4.409434028	9.799406504	7.410243702	6.384389588	3.975698748	14.43014533	14.12869532	11.06290689	5.511818561
