GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	Lmus1	Lmus2	Lmus3	Lmus4	Lmus5	Lmus6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	LMmus1	LMmus2	LMmus3	LMmus4	LMmus5	LMmus6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	Mmus1	Mmus2	Mmus3	Mmus4	Mmus5	Mmus6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6	MLmus1	MLmus2	MLmus3	MLmus4	MLmus5	MLmus6
aspn	protein_coding	chrNC_030680.1:113619419-113636072:+	gi|301609451|ref|XP_002934272.1|	1819	0	PREDICTED: asporin [Xenopus tropicalis]	gi|847119457|ref|XM_002934226.3|	1864	0	PREDICTED: Xenopus (Silurana) tropicalis asporin (aspn), mRNA	Q99MQ4	525	0	Asporin	STM0800_2	64.3	5.00E-10	COG4886	pfam13855	LRR_8	Leucine rich repeat.	GO:0030282|bone mineralization;GO:0019221|cytokine-mediated signaling pathway;GO:0046426|negative regulation of JAK-STAT cascade;GO:0006469|negative regulation of protein kinase activity;GO:0070171|negative regulation of tooth mineralization;GO:0030512|negative regulation of transforming growth factor beta receptor signaling pathway;	GO:0005737|cytoplasm;GO:0005578|proteinaceous extracellular matrix;	GO:0005509|calcium ion binding;GO:0004860|protein kinase inhibitor activity;	K08120	ASPN; asporin	14.72452953	7.179516078	9.350086091	21.20264891	7.497522871	9.00913459	7.152188997	4.262736617	3.848830794	8.586329852	3.675757964	10.86877102	5.708361783	1.387347414	3.459076402	1.649643679	3.223808798	4.736416786	3.645793403	0.451107193	1.647602749	0.994299038	1.419296194	1.677192735	5.248884419	6.793358497	2.2621614	4.163832865	2.720121232	4.148046631	7.227312657	2.881843551	1.539528217	5.75842835	0.389187329	2.900221314	3.690437102	20.72817748	3.610788423	12.69672323	9.703150804	7.005361015	3.254610904	4.291741419	2.410125527	17.55606762	5.343742359	21.42216912
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	2797.934413	1914.848714	1763.974046	2094.7129	2027.035273	1971.204975	662.3396247	522.7597907	245.1875057	1076.404235	399.1975476	1025.377619	1600.084572	1547.282753	1307.540791	879.7356575	1128.183756	1808.889985	165.052945	73.46530817	127.2085991	189.2323738	74.84483919	283.3873306	1496.967348	1232.610587	716.7858844	1261.458693	828.9451997	1088.833635	442.3373783	151.0027621	88.31987874	183.1313099	56.8368172	185.0805957	791.22832	3212.357841	1384.506841	3121.035868	2004.869863	1416.772399	177.9903106	632.355124	453.1844767	1631.932329	594.6007157	806.9030946
ache	protein_coding	chrNC_030679.1:131300805-131311379:-	gi|301621499|ref|XP_002940088.1|	3065	0	PREDICTED: acetylcholinesterase isoform X1 [Xenopus tropicalis]	gi|847170855|ref|XM_004919097.2|	3856	0	PREDICTED: Xenopus (Silurana) tropicalis acetylcholinesterase (Yt blood group) (ache), transcript variant X3, mRNA	P04058	736	0	Acetylcholinesterase	BS_pnbA	209	5.00E-58	COG2272	pfam00135	COesterase	Carboxylesterase family.	GO:0006581|acetylcholine catabolic process;GO:0071405|cellular response to methanol;GO:0030239|myofibril assembly;GO:0007528|neuromuscular junction development;GO:0048666|neuron development;GO:0050803|regulation of synapse structure or activity;GO:0001975|response to amphetamine;GO:0045471|response to ethanol;GO:0009749|response to glucose;	GO:0030054|cell junction;GO:0005615|extracellular space;GO:0031594|neuromuscular junction;GO:0005886|plasma membrane;	GO:0003990|acetylcholinesterase activity;	K01049	ACHE; acetylcholinesterase [EC:3.1.1.7]	1.803083478	1.411961172	2.159866304	2.749790568	2.208837943	2.865659231	1.59005474	0.832722684	1.05446665	2.09279035	1.815764172	1.452609157	5.587559966	3.094671752	5.393753582	4.447471074	5.024397659	4.107162726	2.406878491	1.074026477	1.768979566	1.388338019	1.887044299	1.781850989	3.703405412	3.693239284	3.710334406	5.466850943	4.066360697	3.711155123	2.337780008	2.60809185	2.114229827	3.903713001	1.556161828	2.779119397	1.969374916	1.273246777	1.353386789	1.154641757	1.231681145	1.654455624	1.440708914	1.106047026	1.66860515	1.68392332	1.642207434	1.54916709
lum	protein_coding	chrNC_030679.1:46030704-46040500:-	gi|58332414|ref|NP_001011006.1|	1735	0	lumican precursor [Xenopus tropicalis]	gi|58332413|ref|NM_001011006.1|	2090	0	Xenopus (Silurana) tropicalis lumican (lum), mRNA	Q9DE67	476	2.00E-161	Lumican	alr0124_1	80.9	3.00E-15	COG4886	pfam13855	LRR_8	Leucine rich repeat.	GO:0030199|collagen fibril organization;GO:0007601|visual perception;	GO:0005578|proteinaceous extracellular matrix;	.	K08122	LUM; lumican	425.8447265	206.3564158	282.929315	257.0535965	281.9199692	215.9769452	48.55705238	39.50663477	26.39345371	124.6093777	32.09931696	114.5368617	244.0816983	112.1546522	200.1841958	103.5458559	193.0528177	229.532905	23.13842521	9.147549969	25.94514535	26.31231102	14.4245584	27.6656842	129.9357863	176.3207915	72.88628392	176.9724726	77.60883431	122.0831026	89.7730118	36.81867785	21.17210098	63.10143658	17.48781981	29.71855908	153.2262529	372.3515057	214.8274151	352.9491049	290.1077181	182.921922	28.32354566	58.40756594	31.70580915	133.7746787	47.61990749	104.9010416
LOC100488368	protein_coding	chrNC_030683.1:50674641-50686739:+	gi|301620831|ref|XP_002939769.1|	2842	0	PREDICTED: protein NDNF-like isoform X1 [Xenopus tropicalis]	gi|847147005|ref|XM_002939723.3|	3674	0	PREDICTED: Xenopus (Silurana) tropicalis protein NDNF-like (LOC100488368), transcript variant X1, mRNA	Q8TB73	403	7.00E-125	Protein NDNF	.	.	.	.	pfam10179	DUF2369	Uncharacterized conserved protein (DUF2369). This is a proline-rich region of a group of proteins found from plants to fungi. The function is not known.	GO:0001525|angiogenesis;GO:0016049|cell growth;GO:0071456|cellular response to hypoxia;GO:0030198|extracellular matrix organization;GO:2000352|negative regulation of endothelial cell apoptotic process;GO:0043524|negative regulation of neuron apoptotic process;GO:0001764|neuron migration;GO:0007263|nitric oxide mediated signal transduction;GO:0019800|peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan;GO:0010811|positive regulation of cell-substrate adhesion;GO:0010976|positive regulation of neuron projection development;GO:0002931|response to ischemia;GO:0061042|vascular wound healing;	GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0005622|intracellular;GO:0005578|proteinaceous extracellular matrix;	GO:0005539|glycosaminoglycan binding;GO:0008201|heparin binding;	.	.	11.24825421	7.004845887	18.39955294	7.795725999	7.122121356	8.932429323	0.21035684	0.668149643	0.124262741	0.13200804	0.310815317	0.119504075	3.624398224	5.311013341	6.624573986	1.991929027	2.925200488	5.852243117	0.311526638	0.510553378	0.39895681	0.12611414	0.275324101	0.147986427	6.547287593	2.440656827	3.584613455	3.43678006	3.180848379	3.33075526	0.421064429	0.216607447	0.127152234	0.653261928	0.215404122	0.138486984	4.002932395	31.21615728	9.905389651	13.5400131	12.33917493	14.36271137	0.287169285	0.170110192	0.296959552	0.464267203	0.365921008	0.23700811
cxcl12	protein_coding	chrNC_030683.1:37782394-37841002:-	gi|62751610|ref|NP_001015764.1|	482	3.00E-53	stromal cell-derived factor 1 precursor [Xenopus tropicalis]	gi|62751609|ref|NM_001015764.1|	2962	0	Xenopus (Silurana) tropicalis chemokine (C-X-C motif) ligand 12 (cxcl12), mRNA	Q5EBF6	190	8.00E-55	Stromal cell-derived factor 1	.	.	.	.	pfam00048	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds.	GO:0007411|axon guidance;GO:0060326|cell chemotaxis;GO:0070098|chemokine-mediated signaling pathway;GO:0007186|G-protein coupled receptor signaling pathway;GO:0006955|immune response;GO:0050930|induction of positive chemotaxis;GO:0006954|inflammatory response;GO:0007509|mesoderm migration involved in gastrulation;GO:0030335|positive regulation of cell migration;	GO:0009897|external side of plasma membrane;GO:0005615|extracellular space;	GO:0042056|chemoattractant activity;GO:0008009|chemokine activity;GO:0045236|CXCR chemokine receptor binding;	K10031	CXCL12; C-X-C motif chemokine 12	243.028183	166.9629715	176.340674	151.3947721	185.4983771	149.7475346	23.35681425	24.5556271	21.46265397	22.08790848	30.01617571	30.51880448	186.7570239	98.38274365	199.2687859	96.62608924	157.5092989	132.2186554	29.93006819	17.35419183	30.32880665	30.71766825	17.89805784	26.03946156	145.7922312	115.214204	80.04909218	176.115735	84.71411645	110.8257122	28.44114894	21.86845411	11.7876208	31.05101257	19.4659721	20.95088805	163.2085788	224.9848818	215.467351	238.8396636	212.1953735	195.7551679	24.71136053	27.42965719	24.11531415	35.44827854	28.58447616	15.74783936
tnc	protein_coding	chrNC_030684.1:14856879-14917280:+	gi|512858279|ref|XP_004916768.1|	9680	0	PREDICTED: tenascin isoform X1 [Xenopus tropicalis]	gi|847159454|ref|XM_004916711.2|	7530	0	PREDICTED: Xenopus (Silurana) tropicalis tenascin C (tnc), transcript variant X1, mRNA	P10039	2519	0	Tenascin	.	.	.	.	pfam00147	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain.	GO:0007155|cell adhesion;GO:0042127|regulation of cell proliferation;	GO:0005578|proteinaceous extracellular matrix;	.	K06252	TN; tenascin	26.99449977	23.60971695	19.26715422	24.06091602	24.47177128	14.06151566	20.1625926	7.68552857	12.55497246	9.943477667	10.80041132	11.5423484	14.50915312	11.50077387	15.71473023	11.13788358	14.05473399	19.08076453	8.055664892	8.406581421	5.640838722	12.6631047	8.27796685	13.74022014	10.83216355	12.53011818	5.188531264	17.04319706	11.435992	12.0908145	11.25537537	10.14802158	4.005266481	16.34927605	4.971555475	5.333716654	19.00508006	20.35199618	16.99743204	15.49480898	22.07168132	14.10853362	10.95526282	6.234944192	3.171498213	9.215073863	5.497202021	12.68180444
ag1	protein_coding	chrNC_030685.1:55625444-55632155:+	gi|47498026|ref|NP_998864.1|	925	7.00E-118	anterior gradient protein 1 precursor [Xenopus tropicalis]	gi|47498025|ref|NM_213699.1|	1998	0	Xenopus (Silurana) tropicalis anterior gradient 1 (ag1), mRNA	Q6NVS9	360	2.00E-119	Anterior gradient protein 1	.	.	.	.	pfam13899	Thioredoxin_7	Thioredoxin-like. Thioredoxins are small enzymes that participate in redox reactions, via the reversible oxidation of an active centre disulfide bond.	GO:0030154|cell differentiation;GO:0060548|negative regulation of cell death;	GO:0005783|endoplasmic reticulum;GO:0005576|extracellular region;	GO:0002162|dystroglycan binding;	.	.	3.026194462	4.651736546	3.678355258	4.842314404	4.77775641	1.725243456	0.0	0.06447058	0.032545004	0.030251843	0.0	0.40688292	7.638334575	14.01872899	6.463834521	8.899514839	13.98382133	8.031849492	0.0	0.064552726	0.139318251	0.066059788	0.116483273	0.0	21.98542988	21.37498665	8.474151983	12.48591655	6.140103264	11.90896906	0.0	0.132371218	0.033301775	0.0	0.230362741	0.095209801	4.438735519	7.473583725	3.626031891	3.554383732	4.278219976	3.92743068	0.0	0.031186868	0.03202505	0.0	0.091480252	0.0
adamtsl5	protein_coding	chrNC_030679.1:97653859-97689336:+	gi|301605335|ref|XP_002932288.1|	2766	0	PREDICTED: ADAMTS-like protein 5 [Xenopus tropicalis]	gi|847111877|ref|XM_002932242.3|	2955	0	PREDICTED: Xenopus (Silurana) tropicalis ADAMTS-like 5 (adamtsl5), mRNA	Q6ZMM2	345	7.00E-106	ADAMTS-like protein 5	.	.	.	.	pfam05986	ADAM_spacer1	ADAM-TS Spacer 1. This family represents the Spacer-1 region from the ADAM-TS family of metalloproteinases.	.	GO:0005576|extracellular region;GO:0001527|microfibril;GO:0005578|proteinaceous extracellular matrix;	GO:0008201|heparin binding;GO:0004222|metalloendopeptidase activity;GO:0008270|zinc ion binding;	.	.	36.89876329	29.37916913	53.85541696	51.82630562	41.5181112	19.24021084	3.617971551	3.738246379	4.414225872	1.764373456	3.606789991	3.799438075	61.61381839	108.0191556	56.92776795	79.45925515	66.67741258	62.70124554	4.430043207	5.056346208	4.771331856	5.196792731	4.318435048	3.449886622	107.2375139	68.17392838	62.76672312	102.2973091	80.60261078	108.7627034	4.188130526	4.421198666	3.545743152	4.579969144	4.151139937	3.293002556	61.549144	45.14210489	55.34935363	42.0668619	63.61157689	51.00959774	4.99859199	2.220758329	4.864946445	4.425437925	6.472777329	3.704499206
dpt	protein_coding	chrNC_030678.1:68364301-68390621:-	gi|71896109|ref|NP_001025599.1|	896	2.00E-114	dermatopontin precursor [Xenopus tropicalis]	gi|71896108|ref|NM_001030428.1|	1728	0	Xenopus (Silurana) tropicalis dermatopontin (dpt), mRNA	Q9QZZ6	298	6.00E-96	Dermatopontin	.	.	.	.	pfam14704	DERM	Dermatopontin. Members of this family mediate cell adhesion via cell surface integrin binding. They also induce haemagglutination and aggregation of amebocytes.	GO:0007155|cell adhesion;GO:0030199|collagen fibril organization;GO:0008285|negative regulation of cell proliferation;	GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005615|extracellular space;GO:0005578|proteinaceous extracellular matrix;	.	.	.	157.7486191	156.8110061	147.8173674	133.5184638	150.6015425	111.0604556	22.25077477	20.00043033	18.418664	42.06539723	27.64523572	50.67170352	128.6620793	148.2591792	108.746085	77.44282798	105.5632345	117.546134	12.54334154	14.29887707	19.87316801	22.83007918	11.88776518	19.07519776	110.4989848	117.0379617	84.33738829	120.1655062	81.83568884	93.68291944	36.55601126	18.30652573	14.4828034	31.79124039	15.87674639	14.31739429	115.8232549	184.2050175	142.1836702	193.3396839	187.1794497	145.992855	18.31701306	26.58355674	31.53199745	64.38119166	35.46998539	51.6874403
