GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lhea1	Lhea2	Lhea3	Lhea4	Lhea5	Lhea6	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	LMhea1	LMhea2	LMhea3	LMhea4	LMhea5	LMhea6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	Mhea1	Mhea2	Mhea3	Mhea4	Mhea5	Mhea6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	MLhea1	MLhea2	MLhea3	MLhea4	MLhea5	MLhea6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6
cfb	protein_coding	chrNC_030684.1:53744892-53777706:-	gi|512861354|ref|XP_002943021.2|	3444	0	PREDICTED: complement factor B-like [Xenopus tropicalis]	gi|847158885|ref|XM_002942975.3|	3130	0	PREDICTED: Xenopus (Silurana) tropicalis complement factor B-like (LOC100491419), mRNA	P04186	448	3.00E-141	Complement factor B	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0008283|cell proliferation;GO:0006957|complement activation, alternative pathway;	GO:0072562|blood microparticle;GO:0070062|extracellular exosome;GO:0005615|extracellular space;	GO:0004252|serine-type endopeptidase activity;	K01335	CFB; component factor B [EC:3.4.21.47]	7.118800849	27.50918872	13.52663325	26.31311263	11.03945338	17.98538259	88.4878746	112.1789085	68.90965933	190.4187109	85.0784091	55.61275818	26.11275216	19.32816411	2.586868327	25.47872681	8.174783904	13.90785502	117.7155694	1082.756538	117.894439	177.469402	122.7883152	120.1563372	17.61828951	49.02331221	47.55880111	10.10645421	34.58179626	27.13131622	171.8405002	157.6011832	212.9420895	119.8233823	396.9552632	267.3789731	12.37421557	7.192915839	6.178634945	14.36647683	11.82788354	12.09019188	135.1364694	138.2351342	110.839975	126.8618532	91.317761	122.8187413
bpi	protein_coding	chrNC_030686.1:30711073-30727760:-	gi|166795971|ref|NP_001107736.1|	2371	0	bactericidal/permeability-increasing protein precursor [Xenopus tropicalis]	gi|166795970|ref|NM_001114264.1|	1586	0	Xenopus (Silurana) tropicalis bactericidal/permeability-increasing protein (bpi), mRNA	P17453	410	2.00E-136	Bactericidal permeability-increasing protein	.	.	.	.	pfam02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar.	GO:0050829|defense response to Gram-negative bacterium;GO:0006955|immune response;	GO:0005615|extracellular space;GO:0016020|membrane;	GO:0001530|lipopolysaccharide binding;	.	.	1.932251516	3.585006153	2.698793156	3.108480967	1.316882653	5.017396829	7.237986497	6.012536554	5.077772599	10.93066115	6.140489799	6.593742915	3.509210787	2.536272926	1.780212202	4.460361747	1.47700811	1.800189285	10.04625549	6.804142711	5.198072665	9.197868088	7.846298096	3.608053287	3.318919047	7.061381011	6.453250968	1.886246609	5.633191046	6.712127559	11.6212476	17.44075223	10.66330611	10.29380563	20.23695798	16.11570873	5.044082165	3.461811608	1.741877643	4.645966813	1.889031476	3.310583549	14.1388448	7.476022231	8.274575164	7.297256424	7.09232301	7.910271691
bpi	protein_coding	chrNC_030686.1:30827952-30849637:-	gi|847168170|ref|XP_012827185.1|	2355	0	PREDICTED: bactericidal permeability-increasing protein isoform X1 [Xenopus tropicalis]	gi|847168169|ref|XM_012971731.1|	2487	0	PREDICTED: Xenopus (Silurana) tropicalis bactericidal/permeability-increasing protein (bpi), transcript variant X1, mRNA	P17213	394	9.00E-128	Bactericidal permeability-increasing protein	.	.	.	.	pfam02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar.	GO:0050829|defense response to Gram-negative bacterium;GO:0006955|immune response;GO:0032715|negative regulation of interleukin-6 production;GO:0032717|negative regulation of interleukin-8 production;GO:0043031|negative regulation of macrophage activation;GO:0032720|negative regulation of tumor necrosis factor production;	GO:0005737|cytoplasm;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0001530|lipopolysaccharide binding;	.	.	1.66806058	6.451589305	1.936248786	6.924757492	1.62896083	4.984242479	9.431415454	14.3960963	5.678364755	21.91591628	4.218593851	7.621651056	3.536744895	2.719689946	1.054207559	8.355779941	1.392127668	1.29154556	15.66321134	12.0325614	5.354973484	15.88548105	13.64527751	6.237800545	3.254249298	13.0954196	9.751263197	1.153965979	7.418962786	11.60973852	17.36546714	23.52055991	23.66865657	12.91558838	48.74831524	24.63689842	7.318847402	2.443291292	0.918590169	2.622155301	1.305089624	1.605444201	17.39463526	10.46569979	9.751700546	5.811397326	6.608750282	7.138645735
fam3b	protein_coding	chrNC_030678.1:6750894-6778931:-	gi|62858145|ref|NP_001015990.1|	1255	4.00E-164	protein FAM3B [Xenopus tropicalis]	gi|77682320|ref|NM_001015990.2|	2599	0	Xenopus tropicalis family with sequence similarity 3 member B (fam3b), mRNA	Q9D309	265	3.00E-80	Protein FAM3B	.	.	.	.	pfam08626	TRAPPC9-Trs120	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit. This region is found at the N terminal of Saccharomyces cerevisiae Trs120 protein. Trs120 is a subunit of the multiprotein complex TRAPP (transport particle protein) which functions in ER to Golgi traffic. Trs120 is specific to the larger TRAPP complex, TRAPP II, along with Trs65p and Trs130p(TRAPPC10). It is suggested that Trs120p is required for the stability of the Trs130p subunit, suggesting that these two proteins might interact in some way. It is likely that there is a complex function for TRAPP II in multiple pathways.	GO:0006915|apoptotic process;GO:0030073|insulin secretion;	GO:0070062|extracellular exosome;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005641|nuclear envelope lumen;	GO:0005125|cytokine activity;	.	.	2.115305777	2.672650364	4.175158859	2.775247456	1.814817385	2.07641256	7.649686824	5.589238735	4.859008654	7.241198551	6.063668346	7.791617839	3.775878402	3.823123959	2.7624781	6.170538923	1.68273221	2.345467308	8.14017844	7.2816207	7.46488757	7.548322629	8.892739219	7.556487321	5.152625013	7.058597376	6.520322913	3.047747301	4.609973571	5.350657015	10.57415264	12.7283034	11.2458134	9.649748959	8.921652516	8.971773718	3.987467141	2.621690659	2.361685074	3.627858333	3.200507589	2.035518473	7.940332541	7.421901945	6.668930867	5.768655081	6.213472592	5.781314237
grn	protein_coding	chrNC_030686.1:9263066-9286816:+	gi|133777115|gb|AAH91093.2|	3495	0	GRN protein [Xenopus tropicalis]	gi|60551345|gb|BC091093.1|	1394	0	Xenopus tropicalis GRN protein, mRNA (cDNA clone MGC:108442 IMAGE:7025242), complete cds	P23785	94.7	1.00E-18	Granulins	.	.	.	.	pfam00396	Granulin	Granulin.	GO:0035988|chondrocyte proliferation;GO:0060179|male mating behavior;GO:0061351|neural precursor cell proliferation;GO:0060999|positive regulation of dendritic spine development;GO:0010976|positive regulation of neuron projection development;GO:0032355|response to estradiol;GO:0048488|synaptic vesicle endocytosis;	GO:0005623|cell;GO:0005615|extracellular space;GO:0045202|synapse;	.	.	.	23.45918331	31.66259822	32.5137957	31.22506173	24.17964739	26.42995566	40.2855828	42.95917566	36.86108653	54.62470404	40.22515319	39.52316361	35.98165048	25.8316597	23.79932674	48.02332812	26.09714009	19.70177153	64.04093147	51.86844738	38.17359322	53.63896583	45.0890054	35.70616576	42.17511357	55.99321492	78.94168217	25.62863617	47.3700246	54.47927866	52.33466722	73.74481954	139.6460407	41.36314837	90.07498568	58.82255996	46.12912288	27.30706839	28.2033731	38.90531617	25.0033614	24.9543043	58.54150146	35.70447316	44.59200904	38.40468376	39.61552792	36.40363066
rcn3	protein_coding	chrNC_030683.1:102660411-102672722:+	gi|45361627|ref|NP_989389.1|	1645	0	calumenin precursor [Xenopus tropicalis]	gi|847099163|ref|XM_012956681.1|	2285	0	PREDICTED: Xenopus (Silurana) tropicalis reticulocalbin 3, EF-hand calcium binding domain (rcn3), transcript variant X1, mRNA	Q7SXV9	368	2.00E-119	Calumenin-B	.	.	.	.	pfam13499	EF-hand_7	EF-hand domain pair.	.	GO:0005789|endoplasmic reticulum membrane;GO:0005576|extracellular region;GO:0005794|Golgi apparatus;GO:0042470|melanosome;GO:0033018|sarcoplasmic reticulum lumen;	GO:0005509|calcium ion binding;	.	.	3.845780656	24.61880808	6.432899053	16.08805967	3.005296276	9.020676126	31.2225684	27.27307626	15.27944355	38.99524268	22.42967073	28.86287013	11.97198098	16.37545337	7.24444483	16.24047544	5.582579908	8.372274427	32.50084507	38.33129794	47.76399134	34.79239802	24.83612087	62.49812259	18.6597449	26.61098333	9.138101789	16.09411552	15.03900616	16.6244112	53.84853538	46.82327144	27.15097072	37.07675152	31.99801794	24.5778418	3.867448374	13.88866582	2.611532411	11.76178712	6.770198339	5.081611893	11.46924996	34.70345955	16.45320306	28.59467758	14.73386808	16.5666454
kcp	protein_coding	chrNC_030679.1:77884216-77952603:-	gi|512830908|ref|XP_002931908.2|	11673	0	PREDICTED: kielin/chordin-like protein isoform X1 [Xenopus tropicalis]	gi|847114878|ref|XM_002931862.3|	10407	0	PREDICTED: Xenopus (Silurana) tropicalis kielin/chordin-like protein (kcp), transcript variant X1, mRNA	Q9IBG7	4070	0	Kielin/chordin-like protein	.	.	.	.	pfam00094	VWD	von Willebrand factor type D domain. Luciferin-2-monooxygenase from Vargula hilgendorfii contains a vwd domain. Its function is unrelated but the similarity is very strong by several methods.	.	GO:0005576|extracellular region;	.	.	.	10.1832952	6.498316564	11.82625416	7.684685915	7.816573539	10.62914976	1.796295065	0.90563652	0.682722878	1.712053633	1.077063839	0.593232097	6.247932519	6.651093087	6.730894349	4.505757679	5.726802731	6.864878849	1.126955812	2.987139352	0.859250741	1.078822541	1.293022496	1.287061078	5.858839391	6.039192545	5.798525772	5.842623478	4.382103917	5.032112276	1.548199025	1.430525934	1.128303899	0.994088858	2.169373212	1.33355223	10.28932087	10.11370904	15.90412968	12.10858955	8.377249759	7.886921007	0.820976669	1.652254409	1.123918488	1.122069604	0.757284581	1.012039768
nampt	protein_coding	chrNC_030679.1:67220810-67247172:+	gi|58332628|ref|NP_001011388.1|	2559	0	nicotinamide phosphoribosyltransferase [Xenopus tropicalis]	gi|89886121|ref|NM_001011388.2|	2507	0	Xenopus (Silurana) tropicalis nicotinamide phosphoribosyltransferase (nampt), mRNA	Q52I78	887	0	Nicotinamide phosphoribosyltransferase	PM0999	392	7.00E-126	COG1488	pfam04095	NAPRTase	Nicotinate phosphoribosyltransferase (NAPRTase) family. Nicotinate phosphoribosyltransferase (EC:2.4.2.11) is the rate limiting enzyme that catalyses the first reaction in the NAD salvage synthesis. This family also includes Pre-B cell enhancing factor that is a cytokine. This family is related to Quinolinate phosphoribosyltransferase pfam01729.	GO:0032922|circadian regulation of gene expression;GO:0009435|NAD biosynthetic process;GO:0051770|positive regulation of nitric-oxide synthase biosynthetic process;GO:0045944|positive regulation of transcription from RNA polymerase II promoter;	GO:0030054|cell junction;GO:0005737|cytoplasm;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005654|nucleoplasm;	GO:0047280|nicotinamide phosphoribosyltransferase activity;GO:0004514|nicotinate-nucleotide diphosphorylase (carboxylating) activity;	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	17.89560737	22.23470509	18.59503825	21.2896164	19.74336654	18.68580991	9.681400582	18.05186853	14.23478596	16.7934776	10.64566749	12.82325226	20.83395778	22.34243404	18.96519399	23.83727232	23.01149387	25.85098973	21.71079934	19.59878594	13.91800782	25.18402879	13.29525266	10.25166421	17.82755723	25.93633278	32.46451212	23.06993829	22.4198647	23.90685813	18.04135947	39.97585583	78.12246913	14.77266615	23.70469058	23.87039629	23.09690218	18.48889962	13.62433987	13.81940528	16.84346084	17.8962717	22.5698011	13.70940355	10.28477068	19.26914179	10.79107152	12.35016104
col4a6	protein_coding	chrNC_030684.1:29574851-29715402:-	gi|847156831|ref|XP_012824447.1|	2610	0	PREDICTED: collagen alpha-6(IV) chain isoform X1 [Xenopus tropicalis]	gi|847156830|ref|XM_012968993.1|	7482	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 6 (col4a6), transcript variant X1, mRNA	Q14031	59.7	5.00E-07	Collagen alpha-6(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0007155|cell adhesion;GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;	GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	23.53334556	19.58941174	19.45051216	22.28688149	17.12138004	26.48143125	65.44114957	52.85118733	44.44441651	54.40391759	53.56041085	32.42926046	13.4257115	8.591832637	13.210495	14.79659817	13.94250437	14.2896939	50.46604174	49.7066084	47.14152186	41.75387907	52.76346868	64.80639771	12.87765116	11.72062771	11.99601961	16.33589336	12.67362763	15.11691199	44.85939573	37.6734017	34.96397288	47.97687163	45.07330303	49.98747763	12.62095045	27.94493265	14.94693476	22.99383268	14.96013661	19.75082583	42.46889363	75.79483152	67.58695085	65.19806271	57.35136726	52.29233688
col4a5	protein_coding	chrNC_030684.1:29716300-29809883:+	gi|512859351|ref|XP_004916925.1|	1470	1.00E-168	PREDICTED: collagen alpha-5(IV) chain isoform X4 [Xenopus tropicalis]	gi|847156843|ref|XM_004916865.2|	6633	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 5 (col4a5), transcript variant X1, mRNA	P29400	55.8	6.00E-06	Collagen alpha-5(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;GO:0007528|neuromuscular junction development;	GO:0005605|basal lamina;GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;GO:0031594|neuromuscular junction;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	64.02638089	47.90693392	44.40675298	55.97065387	48.54533887	57.66611922	158.8638541	131.4689115	117.213215	144.2791875	131.6476116	84.20130879	37.14646797	21.81278062	32.11626735	32.998417	36.90546251	35.50768788	171.1034641	163.742468	151.5158707	137.8195914	172.7839917	198.0236365	32.88189228	29.37081138	30.31541905	41.05542816	30.87760751	44.35789522	157.3681319	130.064622	115.0448198	159.836924	158.3747518	164.4905282	38.14232678	66.77184771	43.953224	53.23986818	38.56146412	53.49800813	108.9777463	189.2039247	166.9222852	162.8871765	144.9586933	138.226059
