GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Lski1	Lski2	Lski3	Lski4	Lski5	Lski6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMski1	LMski2	LMski3	LMski4	LMski5	LMski6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mski1	Mski2	Mski3	Mski4	Mski5	Mski6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLski1	MLski2	MLski3	MLski4	MLski5	MLski6
abcb6	protein_coding	chrNC_030685.1:77841741-77861436:-	gi|118404630|ref|NP_001072643.1|	3835	0	ATP-binding cassette sub-family B member 6, mitochondrial [Xenopus tropicalis]	gi|118404629|ref|NM_001079175.1|	5558	0	Xenopus tropicalis ATP binding cassette subfamily B member 6 (Langereis blood group) (abcb6), mRNA	Q08D64	1481	0	ATP-binding cassette sub-family B member 6, mitochondrial	YPO2588	494	2.00E-154	COG5265	pfam00005	ABC_tran	ABC transporter. ABC transporters for a large family of proteins responsible for translocation of a variety of compounds across biological membranes. ABC transporters are the largest family of proteins in many completely sequenced bacteria. ABC transporters are composed of two copies of this domain and two copies of a transmembrane domain pfam00664. These four domains may belong to a single polypeptide or belong in different polypeptide chains.	GO:0006879|cellular iron ion homeostasis;GO:0055085|transmembrane transport;	GO:0005783|endoplasmic reticulum;GO:0005794|Golgi apparatus;GO:0016021|integral component of membrane;GO:0005743|mitochondrial inner membrane;GO:0005741|mitochondrial outer membrane;GO:0005886|plasma membrane;	GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;	K05661	ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6	2.623662915	4.987390848	2.650255407	4.118970939	4.057290178	4.868580528	4.322539245	4.169262269	9.413798607	3.276954975	4.329984737	3.054868276	1.782511953	2.140300939	2.726477369	2.578027353	1.906399884	2.998714609	5.381119809	6.302892508	5.852706963	3.685072662	5.42492391	3.172622134	2.7633168	2.085657493	2.821122057	2.113269918	1.864330001	2.410866483	3.574110628	1.837701751	2.404906039	2.195195668	3.169697031	2.221861321	2.849305138	4.078315511	2.211862109	2.983514703	2.551665441	2.264640561	4.347903175	2.648683507	2.781141509	3.433099494	3.923280053	3.177339168
loxl2	protein_coding	chrNC_030679.1:107136569-107175237:+	gi|213982721|ref|NP_001135520.1|	4105	0	lysyl oxidase homolog 2 precursor [Xenopus tropicalis]	gi|213982720|ref|NM_001142048.1|	3147	0	Xenopus tropicalis lysyl oxidase like 2 (loxl2), mRNA	B4F6N6	1582	0	Lysyl oxidase homolog 2	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0006464|cellular protein modification process;GO:0016569|covalent chromatin modification;GO:0030199|collagen fibril organization;GO:0043542|endothelial cell migration;GO:0001935|endothelial cell proliferation;GO:0001837|epithelial to mesenchymal transition;GO:0045892|negative regulation of transcription, DNA-templated;GO:0032332|positive regulation of chondrocyte differentiation;GO:0046688|response to copper ion;GO:0001666|response to hypoxia;GO:0002040|sprouting angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005694|chromosome;GO:0005615|extracellular space;GO:0016020|membrane;GO:0005634|nucleus;	GO:0005507|copper ion binding;GO:0070492|oligosaccharide binding;GO:0004720|protein-lysine 6-oxidase activity;GO:0005044|scavenger receptor activity;	K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	7.363410825	7.931805674	4.683212685	11.65720305	5.688242259	12.51036676	3.664723304	10.07862914	3.31898903	8.061881546	4.861163902	6.593368418	3.350119686	5.812855812	3.180932077	3.591536062	2.772008761	5.631307337	3.246419655	2.282640985	3.364330123	2.930317789	3.144121726	5.585357413	6.951095803	2.395590041	4.854938603	2.845193521	5.745625023	3.981141396	7.844388638	2.654940768	5.392970535	3.670532829	2.280450896	5.027947692	3.596392454	10.66116424	5.656103679	9.96051916	6.248982494	5.016891353	2.581851951	7.13113489	3.927398667	5.160789421	4.703634858	4.522274818
sfrp5	protein_coding	chrNC_030683.1:25554744-25597275:-	gi|52345596|ref|NP_001004846.1|	1579	0	secreted frizzled-related protein 5 precursor [Xenopus tropicalis]	gi|52345595|ref|NM_001004846.1|	1897	0	Xenopus (Silurana) tropicalis secreted frizzled-related protein 5 (sfrp5), mRNA	Q9XSC1	407	7.00E-136	Secreted frizzled-related protein 5	.	.	.	.	pfam01392	Fz	Fz domain. Also known as the CRD (cysteine rich domain), the C6 box in MuSK receptor. This domain of unknown function has been independently identified by several groups. The domain contains 10 conserved cysteines.	GO:0060070|canonical Wnt signaling pathway;GO:0030154|cell differentiation;GO:0007275|multicellular organism development;GO:0090090|negative regulation of canonical Wnt signaling pathway;GO:0035414|negative regulation of catenin import into nucleus;GO:0008285|negative regulation of cell proliferation;GO:0051898|negative regulation of protein kinase B signaling;GO:0043433|negative regulation of DNA binding transcription factor activity;GO:0030178|negative regulation of Wnt signaling pathway;GO:2000057|negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis;GO:0035567|non-canonical Wnt signaling pathway;	GO:0005576|extracellular region;GO:0016021|integral component of membrane;	GO:0004930|G-protein coupled receptor activity;GO:0042813|Wnt-activated receptor activity;GO:0017147|Wnt-protein binding;	K02222	SFRP5; secreted frizzled-related protein 5	11.21048573	10.13998717	5.777259609	11.65546726	12.90151308	12.7710239	1.089504731	0.22742599	1.653201109	1.962574443	0.684931211	0.889408076	4.094862873	4.775563335	5.106511661	5.532964089	3.660900299	12.88486274	0.658088826	0.618288512	0.906662119	1.245122004	1.054433673	0.518906274	7.568372599	3.108331095	2.676211558	8.789406561	1.037713799	8.183393228	0.665246266	1.342545906	0.392408746	1.034655223	0.860096492	0.960667242	2.378948408	10.53885272	8.669878753	3.643091839	2.011102253	6.585514263	1.342864558	2.391777354	0.590432504	1.010196843	1.082215369	0.216768319
anxa9	protein_coding	chrNC_030684.1:106114846-106130934:+	gi|56118278|ref|NP_001008048.1|	1764	0	annexin A9 [Xenopus tropicalis]	gi|89886037|ref|NM_001008047.2|	1661	0	Xenopus (Silurana) tropicalis annexin A9 (anxa9), mRNA	Q07936	304	3.00E-96	Annexin A2	.	.	.	.	pfam00191	Annexin	Annexin. This family of annexins also includes giardin that has been shown to function as an annexin.	GO:0001525|angiogenesis;GO:0007589|body fluid secretion;GO:0030199|collagen fibril organization;GO:0042730|fibrinolysis;GO:0006900|vesicle budding from membrane;GO:0001765|membrane raft assembly;GO:0032804|negative regulation of low-density lipoprotein particle receptor catabolic process;GO:1900121|negative regulation of receptor binding;GO:0002091|negative regulation of receptor internalization;GO:0036035|osteoclast development;GO:0051099|positive regulation of binding;GO:0048146|positive regulation of fibroblast proliferation;GO:0001934|positive regulation of protein phosphorylation;GO:0031340|positive regulation of vesicle fusion;GO:0051290|protein heterotetramerization;GO:0051917|regulation of fibrinolysis;GO:0097066|response to thyroid hormone;	GO:0005604|basement membrane;GO:0016323|basolateral plasma membrane;GO:0005938|cell cortex;GO:0009986|cell surface;GO:0005737|cytoplasm;GO:0005829|cytosol;GO:0005769|early endosome;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0019897|extrinsic component of plasma membrane;GO:0031902|late endosome membrane;GO:0005811|lipid droplet;GO:0005765|lysosomal membrane;GO:0044354|macropinosome;GO:0042470|melanosome;GO:0045121|membrane raft;GO:0030496|midbody;GO:0035749|myelin sheath adaxonal region;GO:0005634|nucleus;GO:1990667|PCSK9-AnxA2 complex;GO:0048471|perinuclear region of cytoplasm;GO:0005886|plasma membrane;GO:0043234|protein complex;GO:0001726|ruffle;GO:0042383|sarcolemma;GO:0043220|Schmidt-Lanterman incisure;GO:0031982|vesicle;	GO:0051015|actin filament binding;GO:0005509|calcium ion binding;GO:0005544|calcium-dependent phospholipid binding;GO:0005546|phosphatidylinositol-4,5-bisphosphate binding;GO:0019834|phospholipase A2 inhibitor activity;GO:0017137|Rab GTPase binding;GO:0030546|receptor activator activity;	K17092	ANXA2; annexin A2	3.777995124	6.724439114	7.324809892	4.954422949	3.433029205	3.356247374	5.876436965	5.176245762	8.999142566	5.877709793	1.196533747	7.726512413	26.55028072	14.55563402	9.529818132	9.407274799	11.34112858	11.24920731	4.905137958	4.032421673	7.386660625	5.435924064	6.959494777	7.961068099	8.093323966	14.19448168	9.087047371	11.42364497	25.15104144	9.020030355	4.121742094	4.416014057	3.986370943	5.113161842	6.112243411	5.460992673	8.963222681	5.267040363	6.463637789	6.338878422	7.120237371	5.178904121	9.333489226	7.681479582	11.75853197	6.436278403	6.136460008	5.276292126
gcg	protein_coding	chrNC_030685.1:66971964-66989004:+	gi|55742077|ref|NP_001006913.1|	1426	0	glucagon precursor [Xenopus tropicalis]	gi|55742076|ref|NM_001006912.1|	1344	0	Xenopus (Silurana) tropicalis glucagon (gcg), mRNA	O42143	298	6.00E-101	Glucagon-1	.	.	.	.	pfam00123	Hormone_2	Peptide hormone. This family contains glucagon, GIP, secretin and VIP.	.	GO:0005576|extracellular region;	.	K05259	GCG; glucagon	107.311477	198.8795599	55.62179264	182.6009786	173.0745262	160.4353414	0.172892554	0.04124575	0.125925619	0.0	0.228823443	0.0	93.68734274	22.99891735	135.7088606	64.60648913	100.2256537	186.4057385	0.0	0.0	0.052319062	0.085443167	0.138477648	0.307420524	142.6749597	95.47934083	27.57039865	153.8513326	21.11942715	134.0405553	0.0	0.230321553	0.181152003	0.087567218	0.0	0.042054468	51.62748687	153.7150429	82.64755372	146.6149466	55.69730506	25.94181708	0.131137233	0.042172118	0.044091867	0.044222691	0.0	0.0
c1ql1	protein_coding	chrNC_030686.1:6561657-6590110:-	gi|313760697|ref|NP_001186529.1|	678	4.00E-82	C1q-related factor precursor [Xenopus tropicalis]	gi|313760696|ref|NM_001199600.1|	1319	0	Xenopus (Silurana) tropicalis complement component 1, q subcomponent-like 1 (c1ql1), mRNA	O88992	191	4.00E-55	C1q-related factor	.	.	.	.	pfam00386	C1q	C1q domain. C1q is a subunit of the C1 enzyme complex that activates the serum complement system.	GO:0099558|maintenance of synapse structure;GO:0061743|motor learning;GO:0016322|neuron remodeling;	GO:0044301|climbing fiber;GO:0005581|collagen trimer;GO:0005737|cytoplasm;GO:0098793|presynapse;GO:0043083|synaptic cleft;	GO:0005102|receptor binding;	.	.	12.93083283	11.70283019	15.45036985	11.39280646	8.667851114	8.050289777	0.363231868	2.556282702	2.381026662	1.624484087	0.288442613	1.273943354	31.03807395	17.05123433	17.35287436	29.68105912	18.80652703	11.8081037	3.233283386	1.56226568	2.747942302	1.795084887	3.200221359	1.937589481	17.1875442	13.12636386	17.43431685	17.51653261	53.01916684	14.89269255	2.350948602	2.322648407	2.188359357	1.931694775	2.867490583	3.578284095	15.21936288	11.20838611	15.12573545	13.1215807	20.96038827	19.41560305	3.765271285	2.214996644	2.084244506	1.393619064	1.127505172	1.878987895
pdlim2	protein_coding	chrNC_030679.1:119562823-119570334:+	gi|301606299|ref|XP_002932747.1|	807	1.00E-102	PREDICTED: PDZ and LIM domain protein 2 [Xenopus tropicalis]	gi|847111239|ref|XM_002932701.3|	1268	0	PREDICTED: Xenopus (Silurana) tropicalis PDZ and LIM domain 2 (mystique) (pdlim2), transcript variant X1, mRNA	Q8R1G6	155	7.00E-41	PDZ and LIM domain protein 2	.	.	.	.	pfam00412	LIM	LIM domain. This family represents two copies of the LIM structural domain.	.	GO:0015629|actin cytoskeleton;GO:0030864|cortical actin cytoskeleton;GO:0070062|extracellular exosome;GO:0005925|focal adhesion;GO:0001725|stress fiber;	GO:0008270|zinc ion binding;	.	.	10.68406375	28.96593264	18.7360186	24.37991138	13.79438971	28.07242418	54.47221411	29.25904076	18.07125786	18.91431782	27.13601077	19.47709937	4.974301654	7.539441229	14.52044277	5.979781689	6.64323118	22.11138382	17.20960609	16.85596629	19.65776041	15.55009859	14.45277594	16.97363196	12.90204257	19.19177236	8.215228968	9.943822901	11.35943536	11.65551979	21.15448386	25.33049981	15.28780419	15.55109762	28.10670615	19.17524509	5.910102899	22.91947374	16.75245937	19.02958791	14.98875034	7.659014954	14.41376804	15.10251798	19.9747959	23.75529217	16.04748967	23.6950978
calu	protein_coding	chrNC_030679.1:79497494-79505467:-	gi|47498076|ref|NP_998840.1|	1609	0	calumenin precursor [Xenopus tropicalis]	gi|847109171|ref|XM_012958790.1|	2445	0	PREDICTED: Xenopus (Silurana) tropicalis calumenin (calu), transcript variant X1, mRNA	Q28BT4	624	0	Calumenin	.	.	.	.	pfam13499	EF-hand_7	EF-hand domain pair.	.	GO:0005789|endoplasmic reticulum membrane;GO:0005576|extracellular region;GO:0005794|Golgi apparatus;GO:0042470|melanosome;GO:0033018|sarcoplasmic reticulum lumen;	GO:0005509|calcium ion binding;	.	.	26.52458198	31.55850343	24.79151146	32.82429462	34.01648382	32.26973458	30.99895154	55.77091571	26.84368418	74.11010616	28.80007854	47.4418625	18.50698456	32.26511681	20.03743639	21.62147462	20.11693972	25.99737075	23.9320271	27.87159836	25.74659804	25.84353636	23.91909821	40.93330516	22.49567836	18.97232459	20.036742	23.75231722	15.89469003	19.44122547	34.0910028	22.61635696	26.24062813	24.4753354	24.50002575	41.43831559	21.35661125	24.74071931	24.87086817	20.64054809	20.97727329	24.37318882	25.99683217	43.25179714	28.94724476	40.51601309	29.45278903	27.09502877
c2	protein_coding	chrNC_030684.1:53833003-53870229:-	gi|512861362|ref|XP_002943019.2|	4111	0	PREDICTED: complement C2 [Xenopus tropicalis]	gi|847157853|ref|XM_002942973.3|	2469	0	PREDICTED: Xenopus (Silurana) tropicalis complement component 2 (c2), mRNA	Q3SYW2	576	0	Complement C2	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0006958|complement activation, classical pathway;GO:0045087|innate immune response;	GO:0005576|extracellular region;	GO:0046872|metal ion binding;GO:0004252|serine-type endopeptidase activity;	K01332	C2; complement component 2 [EC:3.4.21.43]	5.90935175	7.576464863	4.284378743	7.074229839	5.211126252	6.499891633	1.836939617	2.429022217	1.401638672	1.956037188	0.583485877	2.056553546	2.924076281	5.865534082	2.77408523	4.3609475	3.312390481	3.506479565	1.0945421	0.802611269	0.794109693	1.244999336	1.120982824	1.306506097	5.174378135	2.372281234	4.291384839	4.382018636	4.324057047	3.865067532	0.999849779	0.839008525	1.072329611	0.691139072	0.458948582	1.506415217	5.50077621	6.503379903	5.868033756	8.711813733	4.745604822	5.29976764	1.167718013	2.099518974	0.749543886	2.255303497	0.91232476	1.615065916
lpl	protein_coding	chrNC_030677.1:77715979-77740078:+	gi|301608942|ref|XP_002934038.1|	2530	0	PREDICTED: lipoprotein lipase [Xenopus tropicalis]	gi|847094016|ref|XM_002933992.3|	4999	0	PREDICTED: Xenopus (Silurana) tropicalis lipoprotein lipase (lpl), mRNA	P11602	763	0	Lipoprotein lipase	.	.	.	.	pfam00151	Lipase	Lipase.	GO:0042632|cholesterol homeostasis;GO:0006633|fatty acid biosynthetic process;GO:0090197|positive regulation of chemokine secretion;GO:0010886|positive regulation of cholesterol storage;GO:0010744|positive regulation of macrophage derived foam cell differentiation;GO:0010890|positive regulation of sequestering of triglyceride;GO:0019433|triglyceride catabolic process;GO:0070328|triglyceride homeostasis;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0031225|anchored component of membrane;GO:0009986|cell surface;GO:0042627|chylomicron;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005886|plasma membrane;GO:0034361|very-low-density lipoprotein particle;	GO:0008201|heparin binding;GO:0004465|lipoprotein lipase activity;	K01059	LPL; lipoprotein lipase [EC:3.1.1.34]	5.248613667	4.957863834	9.082369477	3.119169547	2.486733234	4.16875599	19.38949005	32.94821767	21.69944352	21.93655599	7.822108992	26.1205445	12.00059523	9.382931581	8.208993455	9.8292478	8.991861687	5.858056196	26.29127943	10.41811683	26.30943395	22.41836235	22.27065367	35.89873669	4.375894877	6.055545279	5.866709267	4.962903386	19.24550805	6.125042749	22.044836	12.1414889	13.24055717	21.00632274	16.64795661	27.52861558	7.134729466	4.78677185	7.677311623	4.409434028	9.799406504	7.410243702	24.34081749	39.07530567	17.9810851	42.61961604	27.61510297	13.03792711
