GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Lliv1	Lliv2	Lliv3	Lliv4	Lliv5	Lliv6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMliv1	LMliv2	LMliv3	LMliv4	LMliv5	LMliv6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mliv1	Mliv2	Mliv3	Mliv4	Mliv5	Mliv6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLliv1	MLliv2	MLliv3	MLliv4	MLliv5	MLliv6
loxl2	protein_coding	chrNC_030679.1:107136569-107175237:+	gi|213982721|ref|NP_001135520.1|	4105	0	lysyl oxidase homolog 2 precursor [Xenopus tropicalis]	gi|213982720|ref|NM_001142048.1|	3147	0	Xenopus tropicalis lysyl oxidase like 2 (loxl2), mRNA	B4F6N6	1582	0	Lysyl oxidase homolog 2	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0006464|cellular protein modification process;GO:0016569|covalent chromatin modification;GO:0030199|collagen fibril organization;GO:0043542|endothelial cell migration;GO:0001935|endothelial cell proliferation;GO:0001837|epithelial to mesenchymal transition;GO:0045892|negative regulation of transcription, DNA-templated;GO:0032332|positive regulation of chondrocyte differentiation;GO:0046688|response to copper ion;GO:0001666|response to hypoxia;GO:0002040|sprouting angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005694|chromosome;GO:0005615|extracellular space;GO:0016020|membrane;GO:0005634|nucleus;	GO:0005507|copper ion binding;GO:0070492|oligosaccharide binding;GO:0004720|protein-lysine 6-oxidase activity;GO:0005044|scavenger receptor activity;	K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	7.363410825	7.931805674	4.683212685	11.65720305	5.688242259	12.51036676	6.99219555	4.391260326	4.568027942	3.367326742	4.624850684	3.479746363	3.350119686	5.812855812	3.180932077	3.591536062	2.772008761	5.631307337	3.318818024	4.186030927	4.361488533	2.897203296	3.924543664	1.876568253	6.951095803	2.395590041	4.854938603	2.845193521	5.745625023	3.981141396	2.406817813	4.608528057	5.628812635	6.46683535	2.626872814	2.143060038	3.596392454	10.66116424	5.656103679	9.96051916	6.248982494	5.016891353	3.861423176	4.088353815	4.221813932	2.22941934	3.415138043	3.591212758
col4a2	protein_coding	chrNC_030678.1:113644049-113761497:-	gi|512822856|ref|XP_002933063.2|	6619	0	PREDICTED: collagen alpha-2(IV) chain [Xenopus tropicalis]	gi|847104841|ref|XM_004911987.2|	5843	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 2 (col4a2), transcript variant X1, mRNA	P08122	72.4	5.00E-11	Collagen alpha-2(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0001525|angiogenesis;GO:0071560|cellular response to transforming growth factor beta stimulus;GO:0038063|collagen-activated tyrosine kinase receptor signaling pathway;GO:0035987|endodermal cell differentiation;GO:0030198|extracellular matrix organization;GO:0016525|negative regulation of angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005587|collagen type IV trimer;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0043231|intracellular membrane-bounded organelle;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	2.448826252	4.256943263	1.612651301	3.911643697	1.571445235	3.162215206	0.629175117	0.473577015	0.524980592	0.689204619	0.556174642	0.381184961	4.065809163	6.62113059	3.226475952	4.181047293	3.03257081	4.622466625	0.977987557	2.85629777	1.04950912	1.128545957	1.241182597	0.723909142	6.277077906	2.189472827	4.449817208	2.871588969	6.116026795	2.437323506	1.225971677	2.65499802	0.991585156	1.467176973	0.64232627	0.893143788	1.897298079	3.696237419	2.053243615	3.565471045	3.066505269	2.329734791	0.861805832	0.547506998	0.319906779	0.333259983	0.621375638	0.553738968
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	90.07461781	106.6334159	46.15469004	242.5756329	62.56311271	187.2446212	104.0263476	54.06287074	88.90201301	132.4725062	140.5910759	83.0870655	68.45725414	253.2787071	36.53975362	38.4771151	38.49839044	73.15776357	74.86498584	293.2729341	50.4847984	27.49096935	50.97320793	30.49665997	98.91722155	23.03780125	87.68539664	65.69752082	83.47046633	64.61231403	42.31907781	92.49581401	35.61672716	58.56687473	42.46191288	71.93353944	52.57844372	203.2488471	61.95305862	209.5620042	80.93655079	61.17639658	57.0305574	97.00047902	60.08989302	64.46544253	106.920625	66.01974123
LOC101732593	protein_coding	chrNC_030682.1:4869522-4872931:-	gi|512849524|ref|XP_004915576.1|	774	7.00E-102	PREDICTED: cathelicidin-related peptide Oh-Cath-like [Xenopus tropicalis]	gi|847136883|ref|XM_004915519.2|	633	0	PREDICTED: Xenopus (Silurana) tropicalis cathelicidin-related peptide Oh-Cath-like (LOC101732593), mRNA	.	.	.	.	.	.	.	.	pfam00666	Cathelicidins	Cathelicidin. A novel protein family, showing a conserved proregion and a variable carboxyl-terminal antimicrobial domain. This region shows similarity to cystatins.	.	.	.	.	.	3.549644339	9.78889	5.9520704	26.10421495	2.237223216	9.485732015	38.12528623	44.8681363	41.71319021	116.8969816	18.53500488	36.13743944	6.187104843	34.95874367	1.374185713	4.561614656	1.422064354	1.182084787	86.50312431	24.91899048	53.75193758	57.63090359	71.41347706	17.74860737	7.450229054	4.446938378	15.48195583	2.335374025	11.10614614	2.565356612	33.01989388	87.41937856	149.8363459	55.80516997	27.80087381	112.6512024	7.946379946	7.333098126	1.758329862	14.18775299	5.252107198	4.518510703	54.972801	64.69007962	15.68677473	25.65240496	21.90401455	25.19269666
anxa9	protein_coding	chrNC_030684.1:106114846-106130934:+	gi|56118278|ref|NP_001008048.1|	1764	0	annexin A9 [Xenopus tropicalis]	gi|89886037|ref|NM_001008047.2|	1661	0	Xenopus (Silurana) tropicalis annexin A9 (anxa9), mRNA	Q07936	304	3.00E-96	Annexin A2	.	.	.	.	pfam00191	Annexin	Annexin. This family of annexins also includes giardin that has been shown to function as an annexin.	GO:0001525|angiogenesis;GO:0007589|body fluid secretion;GO:0030199|collagen fibril organization;GO:0042730|fibrinolysis;GO:0006900|vesicle budding from membrane;GO:0001765|membrane raft assembly;GO:0032804|negative regulation of low-density lipoprotein particle receptor catabolic process;GO:1900121|negative regulation of receptor binding;GO:0002091|negative regulation of receptor internalization;GO:0036035|osteoclast development;GO:0051099|positive regulation of binding;GO:0048146|positive regulation of fibroblast proliferation;GO:0001934|positive regulation of protein phosphorylation;GO:0031340|positive regulation of vesicle fusion;GO:0051290|protein heterotetramerization;GO:0051917|regulation of fibrinolysis;GO:0097066|response to thyroid hormone;	GO:0005604|basement membrane;GO:0016323|basolateral plasma membrane;GO:0005938|cell cortex;GO:0009986|cell surface;GO:0005737|cytoplasm;GO:0005829|cytosol;GO:0005769|early endosome;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0019897|extrinsic component of plasma membrane;GO:0031902|late endosome membrane;GO:0005811|lipid droplet;GO:0005765|lysosomal membrane;GO:0044354|macropinosome;GO:0042470|melanosome;GO:0045121|membrane raft;GO:0030496|midbody;GO:0035749|myelin sheath adaxonal region;GO:0005634|nucleus;GO:1990667|PCSK9-AnxA2 complex;GO:0048471|perinuclear region of cytoplasm;GO:0005886|plasma membrane;GO:0043234|protein complex;GO:0001726|ruffle;GO:0042383|sarcolemma;GO:0043220|Schmidt-Lanterman incisure;GO:0031982|vesicle;	GO:0051015|actin filament binding;GO:0005509|calcium ion binding;GO:0005544|calcium-dependent phospholipid binding;GO:0005546|phosphatidylinositol-4,5-bisphosphate binding;GO:0019834|phospholipase A2 inhibitor activity;GO:0017137|Rab GTPase binding;GO:0030546|receptor activator activity;	K17092	ANXA2; annexin A2	3.777995124	6.724439114	7.324809892	4.954422949	3.433029205	3.356247374	2.969868274	4.233934727	4.875440287	1.406322816	3.254562858	4.221413486	26.55028072	14.55563402	9.529818132	9.407274799	11.34112858	11.24920731	1.06531215	2.453846793	3.464488919	2.774674863	0.910210041	1.365582784	8.093323966	14.19448168	9.087047371	11.42364497	25.15104144	9.020030355	2.096970005	2.218947031	3.833846297	1.01218151	3.101913062	2.160579834	8.963222681	5.267040363	6.463637789	6.338878422	7.120237371	5.178904121	4.825858882	3.666068663	4.345001308	4.6352951	3.632855402	3.24713175
chga	protein_coding	chrNC_030684.1:66553174-66569449:+	gi|847153951|ref|XP_012823716.1|	1988	0	PREDICTED: chromogranin-A isoform X1 [Xenopus tropicalis]	gi|847153956|ref|XM_012968264.1|	4195	0	PREDICTED: Xenopus (Silurana) tropicalis chromogranin A (chga), transcript variant X3, mRNA	P04404	145	2.00E-36	Chromogranin-A (Fragment)	.	.	.	.	pfam01271	Granin	Granin (chromogranin or secretogranin).	GO:0050829|defense response to Gram-negative bacterium;GO:0050830|defense response to Gram-positive bacterium;GO:0045576|mast cell activation;GO:0002551|mast cell chemotaxis;GO:0032762|mast cell cytokine production;GO:0043303|mast cell degranulation;GO:0033604|negative regulation of catecholamine secretion;GO:2000707|positive regulation of dense core granule biogenesis;	GO:0005576|extracellular region;GO:0042629|mast cell granule;GO:0030141|secretory granule;GO:0030658|transport vesicle membrane;	.	.	.	109.5989673	98.93366436	60.42026157	90.69094142	75.08128253	87.33127782	0.046216939	0.0	0.042271183	0.06773967	0.055445511	0.05600095	147.0930973	169.9364541	135.2995905	155.3999345	139.9851247	139.7722052	0.0	0.060172886	0.094501296	0.117293158	0.013640026	0.031573107	124.0112432	195.4611085	118.0818099	150.6433674	194.323855	166.7247737	0.028281882	0.195885745	0.030415983	0.01412205	0.055167787	0.097132631	67.39460698	77.55737122	92.57731137	85.26492642	89.04548525	58.26768101	0.140586771	0.029966273	0.027905301	0.0	0.073494605	0.340048613
pdlim2	protein_coding	chrNC_030679.1:119562823-119570334:+	gi|301606299|ref|XP_002932747.1|	807	1.00E-102	PREDICTED: PDZ and LIM domain protein 2 [Xenopus tropicalis]	gi|847111239|ref|XM_002932701.3|	1268	0	PREDICTED: Xenopus (Silurana) tropicalis PDZ and LIM domain 2 (mystique) (pdlim2), transcript variant X1, mRNA	Q8R1G6	155	7.00E-41	PDZ and LIM domain protein 2	.	.	.	.	pfam00412	LIM	LIM domain. This family represents two copies of the LIM structural domain.	.	GO:0015629|actin cytoskeleton;GO:0030864|cortical actin cytoskeleton;GO:0070062|extracellular exosome;GO:0005925|focal adhesion;GO:0001725|stress fiber;	GO:0008270|zinc ion binding;	.	.	10.68406375	28.96593264	18.7360186	24.37991138	13.79438971	28.07242418	0.555719477	1.834029002	6.568478298	1.127785921	0.884640007	1.359677117	4.974301654	7.539441229	14.52044277	5.979781689	6.64323118	22.11138382	1.076438126	0.667871902	5.157044261	0.511445856	2.005965267	0.788482712	12.90204257	19.19177236	8.215228968	9.943822901	11.35943536	11.65551979	1.177150264	3.71422133	0.675187184	4.741496708	1.683877862	2.021430219	5.910102899	22.91947374	16.75245937	19.02958791	14.98875034	7.659014954	1.256991337	2.660817301	2.168088845	2.91430564	3.344503433	0.600452561
cxcl12	protein_coding	chrNC_030683.1:37782394-37841002:-	gi|62751610|ref|NP_001015764.1|	482	3.00E-53	stromal cell-derived factor 1 precursor [Xenopus tropicalis]	gi|62751609|ref|NM_001015764.1|	2962	0	Xenopus (Silurana) tropicalis chemokine (C-X-C motif) ligand 12 (cxcl12), mRNA	Q5EBF6	190	8.00E-55	Stromal cell-derived factor 1	.	.	.	.	pfam00048	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds.	GO:0007411|axon guidance;GO:0060326|cell chemotaxis;GO:0070098|chemokine-mediated signaling pathway;GO:0007186|G-protein coupled receptor signaling pathway;GO:0006955|immune response;GO:0050930|induction of positive chemotaxis;GO:0006954|inflammatory response;GO:0007509|mesoderm migration involved in gastrulation;GO:0030335|positive regulation of cell migration;	GO:0009897|external side of plasma membrane;GO:0005615|extracellular space;	GO:0042056|chemoattractant activity;GO:0008009|chemokine activity;GO:0045236|CXCR chemokine receptor binding;	K10031	CXCL12; C-X-C motif chemokine 12	36.76552194	21.0836295	29.93336278	31.49701784	30.61877138	21.16802575	333.582523	147.6860771	445.3349618	145.0830062	194.3051448	118.6503067	74.57586815	34.43474057	39.86559822	42.72769497	47.49971905	39.21728261	387.1001413	156.4145678	401.2753486	123.780264	463.2664142	211.4891147	35.93864179	26.36694787	41.31882814	55.08028258	76.83895215	41.71682602	153.9566554	350.5976952	191.5378281	461.9585064	202.5456583	289.2316841	30.54768948	24.46250617	57.18938198	26.90141005	57.53443859	40.76247659	318.9523895	275.5195678	442.9333436	203.7886167	474.3245342	417.34103
c1ql1	protein_coding	chrNC_030686.1:6561657-6590110:-	gi|313760697|ref|NP_001186529.1|	678	4.00E-82	C1q-related factor precursor [Xenopus tropicalis]	gi|313760696|ref|NM_001199600.1|	1319	0	Xenopus (Silurana) tropicalis complement component 1, q subcomponent-like 1 (c1ql1), mRNA	O88992	191	4.00E-55	C1q-related factor	.	.	.	.	pfam00386	C1q	C1q domain. C1q is a subunit of the C1 enzyme complex that activates the serum complement system.	GO:0099558|maintenance of synapse structure;GO:0061743|motor learning;GO:0016322|neuron remodeling;	GO:0044301|climbing fiber;GO:0005581|collagen trimer;GO:0005737|cytoplasm;GO:0098793|presynapse;GO:0043083|synaptic cleft;	GO:0005102|receptor binding;	.	.	12.93083283	11.70283019	15.45036985	11.39280646	8.667851114	8.050289777	142.5897512	42.75496342	112.6188148	52.99134373	86.8798911	23.18874944	31.03807395	17.05123433	17.35287436	29.68105912	18.80652703	11.8081037	104.5215302	45.12710283	114.3428921	37.63683687	114.7485018	24.83066696	17.1875442	13.12636386	17.43431685	17.51653261	53.01916684	14.89269255	56.32184189	86.89869852	42.6313046	144.3817011	52.0558231	78.75301999	15.21936288	11.20838611	15.12573545	13.1215807	20.96038827	19.41560305	109.354571	70.96872424	141.9847504	44.33875774	130.9253592	130.1240631
lpl	protein_coding	chrNC_030677.1:77715979-77740078:+	gi|301608942|ref|XP_002934038.1|	2530	0	PREDICTED: lipoprotein lipase [Xenopus tropicalis]	gi|847094016|ref|XM_002933992.3|	4999	0	PREDICTED: Xenopus (Silurana) tropicalis lipoprotein lipase (lpl), mRNA	P11602	763	0	Lipoprotein lipase	.	.	.	.	pfam00151	Lipase	Lipase.	GO:0042632|cholesterol homeostasis;GO:0006633|fatty acid biosynthetic process;GO:0090197|positive regulation of chemokine secretion;GO:0010886|positive regulation of cholesterol storage;GO:0010744|positive regulation of macrophage derived foam cell differentiation;GO:0010890|positive regulation of sequestering of triglyceride;GO:0019433|triglyceride catabolic process;GO:0070328|triglyceride homeostasis;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0031225|anchored component of membrane;GO:0009986|cell surface;GO:0042627|chylomicron;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005886|plasma membrane;GO:0034361|very-low-density lipoprotein particle;	GO:0008201|heparin binding;GO:0004465|lipoprotein lipase activity;	K01059	LPL; lipoprotein lipase [EC:3.1.1.34]	5.248613667	4.957863834	9.082369477	3.119169547	2.486733234	4.16875599	33.85169379	23.43441487	52.09795204	27.8571921	36.06914064	8.952848044	12.00059523	9.382931581	8.208993455	9.8292478	8.991861687	5.858056196	25.68228419	63.32191164	24.13510912	13.55074348	28.68450002	10.08173403	4.375894877	6.055545279	5.866709267	4.962903386	19.24550805	6.125042749	15.54836771	28.56767697	32.09826906	26.74397322	43.78158997	35.65509785	7.134729466	4.78677185	7.677311623	4.409434028	9.799406504	7.410243702	29.47590971	14.28289761	73.18280335	23.08082096	51.2480422	36.18532736
