GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lhea1	Lhea2	Lhea3	Lhea4	Lhea5	Lhea6	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	LMhea1	LMhea2	LMhea3	LMhea4	LMhea5	LMhea6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	Mhea1	Mhea2	Mhea3	Mhea4	Mhea5	Mhea6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	MLhea1	MLhea2	MLhea3	MLhea4	MLhea5	MLhea6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6
chid1	protein_coding	chrNC_030680.1:34569078-34732415:+	gi|56118422|ref|NP_001008105.1|	2004	0	chitinase domain-containing protein 1 precursor [Xenopus tropicalis]	gi|56118421|ref|NM_001008104.1|	1840	0	Xenopus (Silurana) tropicalis chitinase domain containing 1 (chid1), mRNA	Q66IL0	776	0	Chitinase domain-containing protein 1	CAC1556	64.3	4.00E-10	COG3858	pfam00704	Glyco_hydro_18	Glycosyl hydrolases family 18.	GO:0005975|carbohydrate metabolic process;GO:0006032|chitin catabolic process;GO:0006954|inflammatory response;	GO:0005576|extracellular region;GO:0005764|lysosome;	GO:0008061|chitin binding;GO:0004568|chitinase activity;	K17525	CHID1; chitinase domain-containing protein 1	15.04738387	16.09658107	9.43579978	23.52616241	15.84911347	21.63320028	8.285854809	12.7730606	9.894916252	10.15174722	9.892588925	10.09241008	8.532802905	13.09328561	8.358802445	8.952557795	9.110868829	8.251350326	12.2621025	16.28017318	13.27334191	12.61407858	15.24881974	16.61740648	10.09690102	6.780365007	8.781376282	8.92533245	5.805354966	7.848486489	13.16201899	15.59130604	13.73155603	15.68185931	14.35503559	11.09547245	12.20686234	18.76544858	13.31677466	15.0521134	12.54905668	15.07672858	9.58707959	9.882660489	12.82908249	12.62282512	11.36056859	11.4321042
nid2	protein_coding	chrNC_030684.1:74879973-74925486:+	gi|847152618|ref|XP_012823263.1|	7812	0	PREDICTED: nidogen-2 isoform X1 [Xenopus tropicalis]	gi|847152617|ref|XM_012967809.1|	5237	0	PREDICTED: Xenopus (Silurana) tropicalis nidogen 2 (osteonidogen) (nid2), transcript variant X1, mRNA	Q14112	186	7.00E-46	Nidogen-2	.	.	.	.	pfam07474	G2F	G2F domain. Nidogen, an invariant component of basement membranes, is a multifunctional protein that interacts with most other major basement membrane proteins. The G2 fragment or (G2F domain) contains binding sites for collagen IV and perlecan. The structure is composed of an 11-stranded beta-barrel with a central helix. This domain is structurally related to that of green fluorescent protein pfam01353. A large surface patch on the beta-barrel is conserved in all metazoan nidogens.	GO:0071711|basement membrane organization;GO:0007155|cell adhesion;GO:0007160|cell-matrix adhesion;GO:0030198|extracellular matrix organization;	GO:0005604|basement membrane;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005509|calcium ion binding;GO:0005518|collagen binding;	K06826	NID; nidogen (entactin)	39.20124432	40.18775126	31.51881274	45.84037165	35.41637679	52.48060669	4.377972235	4.822693217	3.290821814	7.478161584	3.679268308	6.239018414	19.68211055	26.66243107	22.3232527	25.02763268	25.34463563	30.93101902	3.730878001	5.418692259	3.275216963	3.975656408	2.799378621	6.213146399	25.06490505	24.46823601	30.02598408	21.88476939	19.33148662	25.83959422	6.616505271	3.953224987	3.82281701	3.858751834	5.455880116	4.67287625	35.55528236	51.85010776	44.15625669	52.32561597	28.80781619	35.81929816	3.060629851	6.132077518	4.494155625	4.503223938	3.597716919	3.765483718
tecta.1	protein_coding	chrNC_030683.1:87929383-87980132:+	gi|847148522|ref|XP_012822530.1|	11338	0	PREDICTED: alpha-tectorin [Xenopus tropicalis]	gi|847148521|ref|XM_012967076.1|	8958	0	PREDICTED: Xenopus (Silurana) tropicalis tectorin alpha (tecta), mRNA	O08523	3617	0	Alpha-tectorin	.	.	.	.	pfam00100	Zona_pellucida	Zona pellucida-like domain.	GO:0007160|cell-matrix adhesion;GO:0007605|sensory perception of sound;	GO:0031225|anchored component of membrane;GO:0070062|extracellular exosome;GO:0005886|plasma membrane;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;	K18273	TECTA; alpha-tectorin	15.90603049	9.264160552	6.694859593	17.35723584	16.61365805	10.37153288	6.11780603	2.100487915	0.543214835	2.417737269	3.174970552	1.117425731	7.100141248	10.50256604	7.881162298	5.677757522	10.56333201	11.71870411	4.873932144	1.160147677	2.876967664	3.646380467	2.840397299	2.136958028	3.942505711	2.747064992	4.449999678	5.834605599	3.333615619	5.016188862	4.72426959	2.73775236	1.586369205	2.173167368	4.446363422	5.143708881	10.00834923	15.84465323	13.86153453	6.163592681	8.880251402	9.932255003	1.888155427	2.398606795	2.219406166	2.128302059	1.260017024	1.44679228
col4a5	protein_coding	chrNC_030684.1:29716300-29809883:+	gi|512859351|ref|XP_004916925.1|	1470	1.00E-168	PREDICTED: collagen alpha-5(IV) chain isoform X4 [Xenopus tropicalis]	gi|847156843|ref|XM_004916865.2|	6633	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 5 (col4a5), transcript variant X1, mRNA	P29400	55.8	6.00E-06	Collagen alpha-5(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;GO:0007528|neuromuscular junction development;	GO:0005605|basal lamina;GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;GO:0031594|neuromuscular junction;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	64.02638089	47.90693392	44.40675298	55.97065387	48.54533887	57.66611922	4.688329122	4.320184042	2.77105713	6.524747531	4.993516539	5.014933335	37.14646797	21.81278062	32.11626735	32.998417	36.90546251	35.50768788	3.777888194	4.962876213	2.442801826	2.667824179	2.626870049	3.969089148	32.88189228	29.37081138	30.31541905	41.05542816	30.87760751	44.35789522	5.655712938	2.049602936	3.711886948	3.38874597	6.085011019	3.677543575	38.14232678	66.77184771	43.953224	53.23986818	38.56146412	53.49800813	2.589189518	5.863690747	5.593890094	4.144487567	5.106217612	4.61610544
col4a2	protein_coding	chrNC_030678.1:113644049-113761497:-	gi|512822856|ref|XP_002933063.2|	6619	0	PREDICTED: collagen alpha-2(IV) chain [Xenopus tropicalis]	gi|847104841|ref|XM_004911987.2|	5843	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 2 (col4a2), transcript variant X1, mRNA	P08122	72.4	5.00E-11	Collagen alpha-2(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0001525|angiogenesis;GO:0071560|cellular response to transforming growth factor beta stimulus;GO:0038063|collagen-activated tyrosine kinase receptor signaling pathway;GO:0035987|endodermal cell differentiation;GO:0030198|extracellular matrix organization;GO:0016525|negative regulation of angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005587|collagen type IV trimer;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0043231|intracellular membrane-bounded organelle;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	30.02018551	35.37676881	26.22686141	25.6906917	24.71825561	30.92605297	2.448826252	4.256943263	1.612651301	3.911643697	1.571445235	3.162215206	49.16031319	42.06710707	50.71115053	56.59731862	56.77108332	55.77098901	4.065809163	6.62113059	3.226475952	4.181047293	3.03257081	4.622466625	39.32134512	36.07812449	52.0551802	50.18997174	37.70684719	40.8553299	6.277077906	2.189472827	4.449817208	2.871588969	6.116026795	2.437323506	40.35775837	41.89012205	44.60619619	37.44036889	35.72861571	37.19031143	1.897298079	3.696237419	2.053243615	3.565471045	3.066505269	2.329734791
ache	protein_coding	chrNC_030679.1:131300805-131311379:-	gi|301621499|ref|XP_002940088.1|	3065	0	PREDICTED: acetylcholinesterase isoform X1 [Xenopus tropicalis]	gi|847170855|ref|XM_004919097.2|	3856	0	PREDICTED: Xenopus (Silurana) tropicalis acetylcholinesterase (Yt blood group) (ache), transcript variant X3, mRNA	P04058	736	0	Acetylcholinesterase	BS_pnbA	209	5.00E-58	COG2272	pfam00135	COesterase	Carboxylesterase family.	GO:0006581|acetylcholine catabolic process;GO:0071405|cellular response to methanol;GO:0030239|myofibril assembly;GO:0007528|neuromuscular junction development;GO:0048666|neuron development;GO:0050803|regulation of synapse structure or activity;GO:0001975|response to amphetamine;GO:0045471|response to ethanol;GO:0009749|response to glucose;	GO:0030054|cell junction;GO:0005615|extracellular space;GO:0031594|neuromuscular junction;GO:0005886|plasma membrane;	GO:0003990|acetylcholinesterase activity;	K01049	ACHE; acetylcholinesterase [EC:3.1.1.7]	1.513782533	1.157783886	2.674769984	2.259772936	3.297678223	1.094849264	2.410879851	1.469780158	1.376302492	1.38647103	1.004923835	0.945938194	4.156912588	2.72793191	3.980802447	3.028039139	2.532889808	2.768448652	2.59136552	1.94712743	1.995256407	2.638387003	1.601523469	1.256783343	4.953687901	3.297269134	4.176069852	3.706305764	6.080321154	3.065562219	1.830110361	1.95121757	1.496390447	1.08681378	2.008962165	1.470982479	2.308637001	1.783490541	2.089554481	2.17358568	1.846686135	1.220060905	1.951479689	1.774555273	2.273941901	1.359350442	2.186893295	2.026722787
col4a6	protein_coding	chrNC_030684.1:29574851-29715402:-	gi|847156831|ref|XP_012824447.1|	2610	0	PREDICTED: collagen alpha-6(IV) chain isoform X1 [Xenopus tropicalis]	gi|847156830|ref|XM_012968993.1|	7482	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 6 (col4a6), transcript variant X1, mRNA	Q14031	59.7	5.00E-07	Collagen alpha-6(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0007155|cell adhesion;GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;	GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	23.53334556	19.58941174	19.45051216	22.28688149	17.12138004	26.48143125	1.626018308	1.580774342	1.097898972	2.233088029	1.353354848	2.056797678	13.4257115	8.591832637	13.210495	14.79659817	13.94250437	14.2896939	1.534902098	1.315303633	1.112404967	1.059747842	1.007267435	1.671506333	12.87765116	11.72062771	11.99601961	16.33589336	12.67362763	15.11691199	2.131196946	0.696390248	1.568127657	1.050271137	1.710137757	1.158850013	12.62095045	27.94493265	14.94693476	22.99383268	14.96013661	19.75082583	0.855743003	2.13536566	1.989908873	1.892273081	2.074513401	1.718618868
nog	protein_coding	chrNC_030686.1:18049260-18049928:+	gi|284813512|ref|NP_001165369.1|	1016	1.00E-137	noggin [Xenopus tropicalis]	gi|284813511|ref|NM_001171898.1|	669	0	Xenopus tropicalis noggin (nog), mRNA	P49011	389	2.00E-136	Noggin	.	.	.	.	pfam05806	Noggin	Noggin. This family consists of the eukaryotic Noggin proteins. Noggin is a glycoprotein that binds bone morphogenetic proteins (BMPs) selectively and, when added to osteoblasts, it opposes the effects of BMPs. It has been found that noggin arrests the differentiation of stromal cells, preventing cellular maturation.	GO:0051216|cartilage development;GO:0030154|cell differentiation;GO:0007517|muscle organ development;GO:0030514|negative regulation of BMP signaling pathway;GO:0045596|negative regulation of cell differentiation;	GO:0005576|extracellular region;	.	K04658	NOG; noggin	34.672182	26.86731685	23.0824308	17.39290481	13.01610316	22.2409369	3.66537023	3.175446676	4.974516237	1.806784228	2.415625302	2.416096764	10.87695483	4.397111387	8.302081504	7.30009823	8.40503718	4.197622662	6.423539343	2.892141394	1.48757144	5.424092543	3.169354188	1.389632616	6.936739249	10.03747398	8.738151431	12.7832271	9.475819798	6.338570489	2.161864729	2.080419968	6.825091255	4.647184858	10.88484606	2.88787502	22.27452897	17.94982575	20.59022082	24.41459032	19.95402051	24.93150931	3.109173028	0.840511157	2.916993297	4.074316475	3.784442595	5.234160714
sfrp4	protein_coding	chrNC_030682.1:80842348-80855380:+	gi|512847981|ref|XP_002939467.2|	1803	0	PREDICTED: secreted frizzled-related protein 4 [Xenopus tropicalis]	gi|847139353|ref|XM_002939421.3|	1925	0	PREDICTED: Xenopus (Silurana) tropicalis secreted frizzled-related protein 4 (sfrp4), mRNA	Q9JLS4	478	6.00E-163	Secreted frizzled-related protein 4	.	.	.	.	pfam01392	Fz	Fz domain. Also known as the CRD (cysteine rich domain), the C6 box in MuSK receptor. This domain of unknown function has been independently identified by several groups. The domain contains 10 conserved cysteines.	GO:0030154|cell differentiation;GO:0046697|decidualization;GO:0007565|female pregnancy;GO:0060056|mammary gland involution;GO:0090090|negative regulation of canonical Wnt signaling pathway;GO:0008285|negative regulation of cell proliferation;GO:0046329|negative regulation of JNK cascade;GO:0035567|non-canonical Wnt signaling pathway;GO:0032355|response to estradiol;GO:0051384|response to glucocorticoid;GO:0043434|response to peptide hormone;GO:0016055|Wnt signaling pathway;	GO:0005737|cytoplasm;GO:0005615|extracellular space;GO:0016021|integral component of membrane;	GO:0004930|G-protein coupled receptor activity;GO:0042813|Wnt-activated receptor activity;GO:0017147|Wnt-protein binding;	K02185	SFRP4; secreted frizzled-related protein 4	3.004623026	9.684113965	10.56002623	9.977718658	3.910226225	11.38438142	0.539977405	0.794958542	0.338707115	0.469717091	0.354256409	0.448658975	2.663424319	5.453177551	2.456631346	4.445382601	3.417016171	5.252306521	0.593761357	1.245541628	0.333649443	0.49315796	0.470828561	0.270951359	4.499843753	5.236900985	3.199088263	4.794280211	4.204318139	4.071193697	0.749371763	0.210332615	0.515622179	0.289955441	0.51159828	0.606685002	3.895629409	10.31171876	2.440711456	11.77109855	4.344663643	5.139552311	0.316982133	0.550324317	0.367681303	0.307019342	0.488115117	0.859418644
kcp	protein_coding	chrNC_030679.1:77884216-77952603:-	gi|512830908|ref|XP_002931908.2|	11673	0	PREDICTED: kielin/chordin-like protein isoform X1 [Xenopus tropicalis]	gi|847114878|ref|XM_002931862.3|	10407	0	PREDICTED: Xenopus (Silurana) tropicalis kielin/chordin-like protein (kcp), transcript variant X1, mRNA	Q9IBG7	4070	0	Kielin/chordin-like protein	.	.	.	.	pfam00094	VWD	von Willebrand factor type D domain. Luciferin-2-monooxygenase from Vargula hilgendorfii contains a vwd domain. Its function is unrelated but the similarity is very strong by several methods.	.	GO:0005576|extracellular region;	.	.	.	10.1832952	6.498316564	11.82625416	7.684685915	7.816573539	10.62914976	0.279021356	0.201438823	0.321200367	0.34384752	0.170919877	0.213481011	6.247932519	6.651093087	6.730894349	4.505757679	5.726802731	6.864878849	0.325988835	0.339135901	0.183181327	0.174862748	0.25275151	0.198344822	5.858839391	6.039192545	5.798525772	5.842623478	4.382103917	5.032112276	0.279995921	0.236453953	0.288639361	0.153296289	0.491538931	0.205401934	10.28932087	10.11370904	15.90412968	12.10858955	8.377249759	7.886921007	0.249443838	0.278443563	0.583167324	0.31464679	0.39081377	0.332036177
