GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	Lski1	Lski2	Lski3	Lski4	Lski5	Lski6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	LMski1	LMski2	LMski3	LMski4	LMski5	LMski6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	Mski1	Mski2	Mski3	Mski4	Mski5	Mski6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6	MLski1	MLski2	MLski3	MLski4	MLski5	MLski6
tnc	protein_coding	chrNC_030684.1:14856879-14917280:+	gi|512858279|ref|XP_004916768.1|	9680	0	PREDICTED: tenascin isoform X1 [Xenopus tropicalis]	gi|847159454|ref|XM_004916711.2|	7530	0	PREDICTED: Xenopus (Silurana) tropicalis tenascin C (tnc), transcript variant X1, mRNA	P10039	2519	0	Tenascin	.	.	.	.	pfam00147	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain.	GO:0007155|cell adhesion;GO:0042127|regulation of cell proliferation;	GO:0005578|proteinaceous extracellular matrix;	.	K06252	TN; tenascin	26.99449977	23.60971695	19.26715422	24.06091602	24.47177128	14.06151566	24.57578432	7.953681229	26.74218815	17.79587499	11.12452997	24.69932958	14.50915312	11.50077387	15.71473023	11.13788358	14.05473399	19.08076453	15.74466915	10.23083137	12.44762525	18.08857193	9.616203684	16.6847433	10.83216355	12.53011818	5.188531264	17.04319706	11.435992	12.0908145	12.69653521	20.67486853	18.4826703	17.40785937	10.72560241	14.71593242	19.00508006	20.35199618	16.99743204	15.49480898	22.07168132	14.10853362	20.56551371	10.27636953	29.56178616	16.89740344	23.5416567	18.52688498
lum	protein_coding	chrNC_030679.1:46030704-46040500:-	gi|58332414|ref|NP_001011006.1|	1735	0	lumican precursor [Xenopus tropicalis]	gi|58332413|ref|NM_001011006.1|	2090	0	Xenopus (Silurana) tropicalis lumican (lum), mRNA	Q9DE67	476	2.00E-161	Lumican	alr0124_1	80.9	3.00E-15	COG4886	pfam13855	LRR_8	Leucine rich repeat.	GO:0030199|collagen fibril organization;GO:0007601|visual perception;	GO:0005578|proteinaceous extracellular matrix;	.	K08122	LUM; lumican	425.8447265	206.3564158	282.929315	257.0535965	281.9199692	215.9769452	405.5272082	696.1414408	267.1354671	880.3623392	398.0381274	601.1403436	244.0816983	112.1546522	200.1841958	103.5458559	193.0528177	229.532905	323.6749494	65.89119033	235.7284689	255.7608516	205.0324449	593.965492	129.9357863	176.3207915	72.88628392	176.9724726	77.60883431	122.0831026	464.5596638	233.6430694	373.0363532	333.8025309	163.3214466	538.2314817	153.2262529	372.3515057	214.8274151	352.9491049	290.1077181	182.921922	237.4299434	558.7050387	301.1321596	575.2612912	324.7111464	342.4116423
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	2797.934413	1914.848714	1763.974046	2094.7129	2027.035273	1971.204975	1875.634368	5082.991298	646.6343027	4823.012707	3377.478636	2479.768794	1600.084572	1547.282753	1307.540791	879.7356575	1128.183756	1808.889985	730.890023	186.2957884	319.3103063	318.3674726	573.4460578	1262.843439	1496.967348	1232.610587	716.7858844	1261.458693	828.9451997	1088.833635	1331.561521	277.0652506	475.4091558	744.2681524	191.2194641	1892.503517	791.22832	3212.357841	1384.506841	3121.035868	2004.869863	1416.772399	520.1795383	3835.430564	450.0591878	3224.156492	800.0476927	1046.630778
il1b	protein_coding	chrNC_030679.1:108320062-108324881:-	gi|301605960|ref|XP_002932618.1|	1484	0	PREDICTED: interleukin-1 beta [Xenopus tropicalis]	gi|847115698|ref|XM_002932572.3|	1286	0	PREDICTED: Xenopus (Silurana) tropicalis interleukin-1 beta (LOC100487038), mRNA	Q9WVG1	116	3.00E-28	Interleukin-1 beta	.	.	.	.	pfam02394	IL1_propep	Interleukin-1 propeptide. The Interleukin-1 cytokines are translated as precursor proteins. The N terminal approx. 115 amino acids form a propeptide that is cleaved off to release the active interleukin-1.	GO:0000187|activation of MAPK activity;GO:0035690|cellular response to drug;GO:0071260|cellular response to mechanical stimulus;GO:0071407|cellular response to organic cyclic compound;GO:0019221|cytokine-mediated signaling pathway;GO:0035234|ectopic germ cell programmed cell death;GO:0097192|extrinsic apoptotic signaling pathway in absence of ligand;GO:0001660|fever generation;GO:0030213|hyaluronan biosynthetic process;GO:0006955|immune response;GO:0032611|interleukin-1 beta production;GO:0031663|lipopolysaccharide-mediated signaling pathway;GO:0000165|MAPK cascade;GO:0070487|monocyte aggregation;GO:0070164|negative regulation of adiponectin secretion;GO:0008285|negative regulation of cell proliferation;GO:2001240|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand;GO:0010829|negative regulation of glucose transport;GO:0046627|negative regulation of insulin receptor signaling pathway;GO:0050995|negative regulation of lipid catabolic process;GO:0043407|negative regulation of MAP kinase activity;GO:0030593|neutrophil chemotaxis;GO:0045766|positive regulation of angiogenesis;GO:0060559|positive regulation of calcidiol 1-monooxygenase activity;GO:0051781|positive regulation of cell division;GO:0045080|positive regulation of chemokine biosynthetic process;GO:0031622|positive regulation of fever generation;GO:0032725|positive regulation of granulocyte macrophage colony-stimulating factor production;GO:0034116|positive regulation of heterotypic cell-cell adhesion;GO:0032729|positive regulation of interferon-gamma production;GO:0045086|positive regulation of interleukin-2 biosynthetic process;GO:0045410|positive regulation of interleukin-6 biosynthetic process;GO:2000778|positive regulation of interleukin-6 secretion;GO:0032757|positive regulation of interleukin-8 production;GO:0046330|positive regulation of JNK cascade;GO:0050996|positive regulation of lipid catabolic process;GO:0051044|positive regulation of membrane protein ectodomain proteolysis;GO:0045840|positive regulation of mitotic nuclear division;GO:0071639|positive regulation of monocyte chemotactic protein-1 production;GO:0035505|positive regulation of myosin light chain kinase activity;GO:0042346|positive regulation of NF-kappaB import into nucleus;GO:0051092|positive regulation of NF-kappaB transcription factor activity;GO:0045429|positive regulation of nitric oxide biosynthetic process;GO:0050766|positive regulation of phagocytosis;GO:0032308|positive regulation of prostaglandin secretion;GO:0042102|positive regulation of T cell proliferation;GO:0045944|positive regulation of transcription from RNA polymerase II promoter;GO:0010575|positive regulation of vascular endothelial growth factor production;GO:0043491|protein kinase B signaling;GO:1903140|regulation of establishment of endothelial barrier;GO:0050796|regulation of insulin secretion;GO:0050999|regulation of nitric-oxide synthase activity;GO:0033198|response to ATP;GO:0009743|response to carbohydrate;GO:0030730|sequestering of triglyceride;	GO:0005776|autophagosome;GO:0005829|cytosol;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005764|lysosome;GO:0030141|secretory granule;	.	.	.	5.724992556	9.808865785	5.89700626	9.574064335	2.852471715	5.982467965	2.448515402	4.897663091	5.944555557	4.679705249	0.947255883	2.824550528	9.858239101	5.552689373	2.955035414	10.23488811	3.905227686	2.968034629	6.227225923	85.82397466	2.906787746	4.654044575	3.670831782	2.487833781	10.46180959	25.97871906	28.04172101	6.650787187	40.26334864	20.04313193	11.77640598	6.222565262	16.7249969	9.110204401	7.182801014	18.27966507	6.378359714	4.997549121	4.112204247	9.309508949	4.737099616	4.333251345	3.000050108	2.802453675	2.689860255	6.648251644	9.915621355	7.594662908
adamtsl5	protein_coding	chrNC_030679.1:97653859-97689336:+	gi|301605335|ref|XP_002932288.1|	2766	0	PREDICTED: ADAMTS-like protein 5 [Xenopus tropicalis]	gi|847111877|ref|XM_002932242.3|	2955	0	PREDICTED: Xenopus (Silurana) tropicalis ADAMTS-like 5 (adamtsl5), mRNA	Q6ZMM2	345	7.00E-106	ADAMTS-like protein 5	.	.	.	.	pfam05986	ADAM_spacer1	ADAM-TS Spacer 1. This family represents the Spacer-1 region from the ADAM-TS family of metalloproteinases.	.	GO:0005576|extracellular region;GO:0001527|microfibril;GO:0005578|proteinaceous extracellular matrix;	GO:0008201|heparin binding;GO:0004222|metalloendopeptidase activity;GO:0008270|zinc ion binding;	.	.	36.89876329	29.37916913	53.85541696	51.82630562	41.5181112	19.24021084	15.91831395	17.47068096	18.18422755	13.57586452	12.3505498	10.84025523	61.61381839	108.0191556	56.92776795	79.45925515	66.67741258	62.70124554	25.8074787	19.55242024	25.61128722	16.64380838	21.14415443	17.08733483	107.2375139	68.17392838	62.76672312	102.2973091	80.60261078	108.7627034	20.04977953	17.89935961	16.24226943	19.94490809	21.58065276	19.81855568	61.549144	45.14210489	55.34935363	42.0668619	63.61157689	51.00959774	16.49764079	16.38695744	19.41432809	18.52974144	22.38917735	16.70514722
aspn	protein_coding	chrNC_030680.1:113619419-113636072:+	gi|301609451|ref|XP_002934272.1|	1819	0	PREDICTED: asporin [Xenopus tropicalis]	gi|847119457|ref|XM_002934226.3|	1864	0	PREDICTED: Xenopus (Silurana) tropicalis asporin (aspn), mRNA	Q99MQ4	525	0	Asporin	STM0800_2	64.3	5.00E-10	COG4886	pfam13855	LRR_8	Leucine rich repeat.	GO:0030282|bone mineralization;GO:0019221|cytokine-mediated signaling pathway;GO:0046426|negative regulation of JAK-STAT cascade;GO:0006469|negative regulation of protein kinase activity;GO:0070171|negative regulation of tooth mineralization;GO:0030512|negative regulation of transforming growth factor beta receptor signaling pathway;	GO:0005737|cytoplasm;GO:0005578|proteinaceous extracellular matrix;	GO:0005509|calcium ion binding;GO:0004860|protein kinase inhibitor activity;	K08120	ASPN; asporin	14.72452953	7.179516078	9.350086091	21.20264891	7.497522871	9.00913459	5.978613375	6.103131925	7.156232216	36.03091858	4.674013442	37.39684565	5.708361783	1.387347414	3.459076402	1.649643679	3.223808798	4.736416786	4.526200262	0.996670746	4.081195553	5.634390102	2.412834342	9.924230959	5.248884419	6.793358497	2.2621614	4.163832865	2.720121232	4.148046631	4.788113565	1.666989309	4.552488807	4.788573835	1.992593551	9.807670396	3.690437102	20.72817748	3.610788423	12.69672323	9.703150804	7.005361015	4.991704056	18.31364929	5.992401738	10.31332935	4.419433147	3.799046987
bmp6	protein_coding	chrNC_030682.1:83419275-83504741:+	gi|163915013|ref|NP_001106378.1|	2399	0	bone morphogenetic protein 6 precursor [Xenopus tropicalis]	gi|163915012|ref|NM_001112907.1|	2349	0	Xenopus (Silurana) tropicalis bone morphogenetic protein 6 (bmp6), mRNA	Q04906	639	0	Bone morphogenetic protein 6	.	.	.	.	pfam00688	TGFb_propeptide	TGF-beta propeptide. This propeptide is known as latency associated peptide (LAP) in TGF-beta. LAP is a homodimer which is disulfide linked to TGF-beta binding protein.	GO:0030509|BMP signaling pathway;GO:0051216|cartilage development;GO:0048468|cell development;GO:0006879|cellular iron ion homeostasis;GO:0071281|cellular response to iron ion;GO:0071260|cellular response to mechanical stimulus;GO:0001958|endochondral ossification;GO:0001654|eye development;GO:0040007|growth;GO:0006955|immune response;GO:0006954|inflammatory response;GO:0001822|kidney development;GO:0030539|male genitalia development;GO:0060586|multicellular organismal iron ion homeostasis;GO:0000122|negative regulation of transcription from RNA polymerase II promoter;GO:0001503|ossification;GO:0001649|osteoblast differentiation;GO:0032349|positive regulation of aldosterone biosynthetic process;GO:2000860|positive regulation of aldosterone secretion;GO:0030501|positive regulation of bone mineralization;GO:0032332|positive regulation of chondrocyte differentiation;GO:0045603|positive regulation of endothelial cell differentiation;GO:0001938|positive regulation of endothelial cell proliferation;GO:0031666|positive regulation of lipopolysaccharide-mediated signaling pathway;GO:0045666|positive regulation of neuron differentiation;GO:0045669|positive regulation of osteoblast differentiation;GO:0010862|positive regulation of pathway-restricted SMAD protein phosphorylation;GO:0060391|positive regulation of SMAD protein import into nucleus;GO:0045944|positive regulation of transcription from RNA polymerase II promoter;GO:0042981|regulation of apoptotic process;GO:0045595|regulation of cell differentiation;GO:0043408|regulation of MAPK cascade;GO:0014823|response to activity;GO:0051384|response to glucocorticoid;GO:0010039|response to iron ion;GO:0032026|response to magnesium ion;GO:0032526|response to retinoic acid;GO:0060395|SMAD protein signal transduction;GO:0003323|type B pancreatic cell development;	GO:0005737|cytoplasm;GO:0005615|extracellular space;	GO:0070700|BMP receptor binding;GO:0005125|cytokine activity;GO:0008083|growth factor activity;GO:0005160|transforming growth factor beta receptor binding;	K16620	BMP6; bone morphogenetic protein 6	2.581734228	3.019005411	3.72194621	4.081044634	3.164629274	8.340512852	1.765285231	1.974054276	1.794676838	4.331227581	3.154081295	3.015584618	3.470160535	6.805567531	3.70929459	5.681235183	3.566702042	4.218707473	1.262697152	1.107242222	1.034999775	0.6270379	1.089880204	1.3452242	4.165142851	4.255837951	7.057412714	3.279465168	4.343314155	4.172810632	1.374290034	1.058243703	0.86700783	1.480832852	0.803990385	2.281128136	3.584850544	3.026706518	2.865265909	3.44807291	1.84993588	3.223688118	1.366845591	2.206774094	1.350573877	2.793823557	1.397300024	2.692701169
cxcl12	protein_coding	chrNC_030683.1:37782394-37841002:-	gi|62751610|ref|NP_001015764.1|	482	3.00E-53	stromal cell-derived factor 1 precursor [Xenopus tropicalis]	gi|62751609|ref|NM_001015764.1|	2962	0	Xenopus (Silurana) tropicalis chemokine (C-X-C motif) ligand 12 (cxcl12), mRNA	Q5EBF6	190	8.00E-55	Stromal cell-derived factor 1	.	.	.	.	pfam00048	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds.	GO:0007411|axon guidance;GO:0060326|cell chemotaxis;GO:0070098|chemokine-mediated signaling pathway;GO:0007186|G-protein coupled receptor signaling pathway;GO:0006955|immune response;GO:0050930|induction of positive chemotaxis;GO:0006954|inflammatory response;GO:0007509|mesoderm migration involved in gastrulation;GO:0030335|positive regulation of cell migration;	GO:0009897|external side of plasma membrane;GO:0005615|extracellular space;	GO:0042056|chemoattractant activity;GO:0008009|chemokine activity;GO:0045236|CXCR chemokine receptor binding;	K10031	CXCL12; C-X-C motif chemokine 12	243.028183	166.9629715	176.340674	151.3947721	185.4983771	149.7475346	16.40455987	20.74061536	24.23445159	17.10364697	15.29591741	13.05097894	186.7570239	98.38274365	199.2687859	96.62608924	157.5092989	132.2186554	35.50171836	17.38432964	36.76396156	23.4181271	40.26557695	25.20093236	145.7922312	115.214204	80.04909218	176.115735	84.71411645	110.8257122	16.53659695	16.06847828	16.89189201	28.87086461	20.33588117	26.94743807	163.2085788	224.9848818	215.467351	238.8396636	212.1953735	195.7551679	23.10313941	19.25349759	23.61440782	15.82674862	27.55421219	16.99168582
ache	protein_coding	chrNC_030679.1:131300805-131311379:-	gi|301621499|ref|XP_002940088.1|	3065	0	PREDICTED: acetylcholinesterase isoform X1 [Xenopus tropicalis]	gi|847170855|ref|XM_004919097.2|	3856	0	PREDICTED: Xenopus (Silurana) tropicalis acetylcholinesterase (Yt blood group) (ache), transcript variant X3, mRNA	P04058	736	0	Acetylcholinesterase	BS_pnbA	209	5.00E-58	COG2272	pfam00135	COesterase	Carboxylesterase family.	GO:0006581|acetylcholine catabolic process;GO:0071405|cellular response to methanol;GO:0030239|myofibril assembly;GO:0007528|neuromuscular junction development;GO:0048666|neuron development;GO:0050803|regulation of synapse structure or activity;GO:0001975|response to amphetamine;GO:0045471|response to ethanol;GO:0009749|response to glucose;	GO:0030054|cell junction;GO:0005615|extracellular space;GO:0031594|neuromuscular junction;GO:0005886|plasma membrane;	GO:0003990|acetylcholinesterase activity;	K01049	ACHE; acetylcholinesterase [EC:3.1.1.7]	1.803083478	1.411961172	2.159866304	2.749790568	2.208837943	2.865659231	0.693638353	0.729446912	1.360970633	1.449082948	0.824354326	0.986115254	5.587559966	3.094671752	5.393753582	4.447471074	5.024397659	4.107162726	2.40494563	1.718300724	2.38174612	1.357187323	2.418795362	0.661627229	3.703405412	3.693239284	3.710334406	5.466850943	4.066360697	3.711155123	1.175517912	1.131479161	0.771271374	1.075458209	1.430424841	0.922800163	1.969374916	1.273246777	1.353386789	1.154641757	1.231681145	1.654455624	0.858967498	1.629776818	0.418771589	0.492430338	0.478079929	0.390549228
LOC100496716	protein_coding	chrNC_030683.1:74219445-74235579:+	gi|512853816|ref|XP_002942520.2|	1045	8.00E-129	PREDICTED: interleukin-18 [Xenopus tropicalis]	gi|847148398|ref|XM_002942474.3|	2671	0	PREDICTED: Xenopus (Silurana) tropicalis interleukin-18 (LOC100496716), mRNA	Q9TU73	60.1	1.00E-08	Interleukin-18	.	.	.	.	pfam00340	IL1	Interleukin-1 / 18. This family includes interleukin-1 and interleukin-18.	GO:0001525|angiogenesis;GO:0071222|cellular response to lipopolysaccharide;GO:0071407|cellular response to organic cyclic compound;GO:0006955|immune response;GO:0006954|inflammatory response;GO:0042095|interferon-gamma biosynthetic process;GO:0031663|lipopolysaccharide-mediated signaling pathway;GO:0000165|MAPK cascade;GO:0030101|natural killer cell activation;GO:0045662|negative regulation of myoblast differentiation;GO:0042104|positive regulation of activated T cell proliferation;GO:0010628|positive regulation of gene expression;GO:0032725|positive regulation of granulocyte macrophage colony-stimulating factor production;GO:0032729|positive regulation of interferon-gamma production;GO:0032740|positive regulation of interleukin-17 production;GO:0032819|positive regulation of natural killer cell proliferation;GO:0042346|positive regulation of NF-kappaB import into nucleus;GO:0051142|positive regulation of NK T cell proliferation;GO:0042088|T-helper 1 type immune response;	GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005622|intracellular;	GO:0005125|cytokine activity;	K05482	IL18, IL1F4; interleukin 18	1.790915131	3.155625415	2.039377513	3.300327346	1.326513915	1.778193437	1.323517058	1.974295297	1.625097854	1.784067579	0.708724066	1.265805283	3.754799668	5.271499667	2.332230949	5.053897797	2.021438222	2.157556988	1.563088031	4.434744091	1.325825705	1.83443008	1.234712967	1.839398264	6.072307023	5.804123952	13.54891392	2.787922002	7.491389492	4.860233046	2.675199058	1.783410232	2.725669861	1.787571974	2.039783447	2.531058847	3.146781046	3.311320547	2.41940163	2.306369121	2.219863184	2.225982771	1.58465957	1.11321914	1.536341207	1.712110703	1.23910674	1.920979232
