GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lhea1	Lhea2	Lhea3	Lhea4	Lhea5	Lhea6	Lmus1	Lmus2	Lmus3	Lmus4	Lmus5	Lmus6	LMhea1	LMhea2	LMhea3	LMhea4	LMhea5	LMhea6	LMmus1	LMmus2	LMmus3	LMmus4	LMmus5	LMmus6	Mhea1	Mhea2	Mhea3	Mhea4	Mhea5	Mhea6	Mmus1	Mmus2	Mmus3	Mmus4	Mmus5	Mmus6	MLhea1	MLhea2	MLhea3	MLhea4	MLhea5	MLhea6	MLmus1	MLmus2	MLmus3	MLmus4	MLmus5	MLmus6
col4a5	protein_coding	chrNC_030684.1:29716300-29809883:+	gi|512859351|ref|XP_004916925.1|	1470	1.00E-168	PREDICTED: collagen alpha-5(IV) chain isoform X4 [Xenopus tropicalis]	gi|847156843|ref|XM_004916865.2|	6633	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 5 (col4a5), transcript variant X1, mRNA	P29400	55.8	6.00E-06	Collagen alpha-5(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;GO:0007528|neuromuscular junction development;	GO:0005605|basal lamina;GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;GO:0031594|neuromuscular junction;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	64.02638089	47.90693392	44.40675298	55.97065387	48.54533887	57.66611922	3.117877391	1.870642493	1.462466332	2.052632895	2.694399445	2.81292178	37.14646797	21.81278062	32.11626735	32.998417	36.90546251	35.50768788	1.59342822	1.008552464	1.077968243	0.835508187	1.097717334	1.574427022	32.88189228	29.37081138	30.31541905	41.05542816	30.87760751	44.35789522	2.038839112	1.467386252	0.802743897	1.841466538	1.380886283	1.907815529	38.14232678	66.77184771	43.953224	53.23986818	38.56146412	53.49800813	1.214243337	1.577775817	2.706654103	4.005882035	4.392138882	3.962401721
nid2	protein_coding	chrNC_030684.1:74879973-74925486:+	gi|847152618|ref|XP_012823263.1|	7812	0	PREDICTED: nidogen-2 isoform X1 [Xenopus tropicalis]	gi|847152617|ref|XM_012967809.1|	5237	0	PREDICTED: Xenopus (Silurana) tropicalis nidogen 2 (osteonidogen) (nid2), transcript variant X1, mRNA	Q14112	186	7.00E-46	Nidogen-2	.	.	.	.	pfam07474	G2F	G2F domain. Nidogen, an invariant component of basement membranes, is a multifunctional protein that interacts with most other major basement membrane proteins. The G2 fragment or (G2F domain) contains binding sites for collagen IV and perlecan. The structure is composed of an 11-stranded beta-barrel with a central helix. This domain is structurally related to that of green fluorescent protein pfam01353. A large surface patch on the beta-barrel is conserved in all metazoan nidogens.	GO:0071711|basement membrane organization;GO:0007155|cell adhesion;GO:0007160|cell-matrix adhesion;GO:0030198|extracellular matrix organization;	GO:0005604|basement membrane;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005509|calcium ion binding;GO:0005518|collagen binding;	K06826	NID; nidogen (entactin)	39.20124432	40.18775126	31.51881274	45.84037165	35.41637679	52.48060669	4.107508186	3.725234919	2.366208818	6.737363202	4.797132028	7.30585563	19.68211055	26.66243107	22.3232527	25.02763268	25.34463563	30.93101902	3.647061148	1.963798203	3.78513615	3.526359016	2.124679818	4.555075621	25.06490505	24.46823601	30.02598408	21.88476939	19.33148662	25.83959422	7.421833429	3.216491678	2.242824025	3.246247334	2.103031667	2.951085701	35.55528236	51.85010776	44.15625669	52.32561597	28.80781619	35.81929816	2.833068661	6.181824504	3.982798343	6.839807485	5.402592755	4.584363586
chid1	protein_coding	chrNC_030680.1:34569078-34732415:+	gi|56118422|ref|NP_001008105.1|	2004	0	chitinase domain-containing protein 1 precursor [Xenopus tropicalis]	gi|56118421|ref|NM_001008104.1|	1840	0	Xenopus (Silurana) tropicalis chitinase domain containing 1 (chid1), mRNA	Q66IL0	776	0	Chitinase domain-containing protein 1	CAC1556	64.3	4.00E-10	COG3858	pfam00704	Glyco_hydro_18	Glycosyl hydrolases family 18.	GO:0005975|carbohydrate metabolic process;GO:0006032|chitin catabolic process;GO:0006954|inflammatory response;	GO:0005576|extracellular region;GO:0005764|lysosome;	GO:0008061|chitin binding;GO:0004568|chitinase activity;	K17525	CHID1; chitinase domain-containing protein 1	15.04738387	16.09658107	9.43579978	23.52616241	15.84911347	21.63320028	1.703148698	1.518499998	1.469210879	2.196977107	1.429128083	1.87369079	8.532802905	13.09328561	8.358802445	8.952557795	9.110868829	8.251350326	2.417172866	3.104221094	2.700331565	3.176692912	1.219366529	2.429618977	10.09690102	6.780365007	8.781376282	8.92533245	5.805354966	7.848486489	2.714683344	2.500726963	2.614564469	3.068994536	1.970089753	2.117928513	12.20686234	18.76544858	13.31677466	15.0521134	12.54905668	15.07672858	2.034426328	1.683357807	2.011461697	1.330319971	1.795557541	1.431582707
col4a6	protein_coding	chrNC_030684.1:29574851-29715402:-	gi|847156831|ref|XP_012824447.1|	2610	0	PREDICTED: collagen alpha-6(IV) chain isoform X1 [Xenopus tropicalis]	gi|847156830|ref|XM_012968993.1|	7482	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 6 (col4a6), transcript variant X1, mRNA	Q14031	59.7	5.00E-07	Collagen alpha-6(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0007155|cell adhesion;GO:0030574|collagen catabolic process;GO:0030198|extracellular matrix organization;	GO:0005587|collagen type IV trimer;GO:0005788|endoplasmic reticulum lumen;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	23.53334556	19.58941174	19.45051216	22.28688149	17.12138004	26.48143125	2.617644471	1.65377501	1.282371061	1.728019741	2.201761163	2.400309377	13.4257115	8.591832637	13.210495	14.79659817	13.94250437	14.2896939	1.264924356	0.8962249	1.068437513	0.733718689	0.924119081	1.049306371	12.87765116	11.72062771	11.99601961	16.33589336	12.67362763	15.11691199	1.981881962	1.627757229	1.162477179	1.689159372	0.609193631	1.292481222	12.62095045	27.94493265	14.94693476	22.99383268	14.96013661	19.75082583	1.635913755	1.509266647	2.532235646	3.468024228	3.128822596	2.659284074
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	1065.114611	2053.886323	1358.704042	1696.365883	1182.429829	1887.454141	662.3396247	522.7597907	245.1875057	1076.404235	399.1975476	1025.377619	1021.298577	568.0488264	769.0238515	790.8614056	733.0173964	783.4463693	165.052945	73.46530817	127.2085991	189.2323738	74.84483919	283.3873306	933.7425893	795.9722474	682.2624387	869.3594803	635.3293365	862.6081477	442.3373783	151.0027621	88.31987874	183.1313099	56.8368172	185.0805957	768.6025883	1832.312509	756.1895162	1967.58233	1470.721276	1072.258927	177.9903106	632.355124	453.1844767	1631.932329	594.6007157	806.9030946
nog	protein_coding	chrNC_030686.1:18049260-18049928:+	gi|284813512|ref|NP_001165369.1|	1016	1.00E-137	noggin [Xenopus tropicalis]	gi|284813511|ref|NM_001171898.1|	669	0	Xenopus tropicalis noggin (nog), mRNA	P49011	389	2.00E-136	Noggin	.	.	.	.	pfam05806	Noggin	Noggin. This family consists of the eukaryotic Noggin proteins. Noggin is a glycoprotein that binds bone morphogenetic proteins (BMPs) selectively and, when added to osteoblasts, it opposes the effects of BMPs. It has been found that noggin arrests the differentiation of stromal cells, preventing cellular maturation.	GO:0051216|cartilage development;GO:0030154|cell differentiation;GO:0007517|muscle organ development;GO:0030514|negative regulation of BMP signaling pathway;GO:0045596|negative regulation of cell differentiation;	GO:0005576|extracellular region;	.	K04658	NOG; noggin	34.672182	26.86731685	23.0824308	17.39290481	13.01610316	22.2409369	0.096269436	0.0	0.0	0.0	0.0	0.750045646	10.87695483	4.397111387	8.302081504	7.30009823	8.40503718	4.197622662	0.106927211	0.096684352	0.208665004	0.197883131	0.116309158	0.10158859	6.936739249	10.03747398	8.738151431	12.7832271	9.475819798	6.338570489	0.192699391	0.19826003	0.0	0.099654722	0.098579315	0.19013497	22.27452897	17.94982575	20.59022082	24.41459032	19.95402051	24.93150931	0.0	0.186841508	0.0	0.283294752	0.0	0.278913452
kcp	protein_coding	chrNC_030679.1:77884216-77952603:-	gi|512830908|ref|XP_002931908.2|	11673	0	PREDICTED: kielin/chordin-like protein isoform X1 [Xenopus tropicalis]	gi|847114878|ref|XM_002931862.3|	10407	0	PREDICTED: Xenopus (Silurana) tropicalis kielin/chordin-like protein (kcp), transcript variant X1, mRNA	Q9IBG7	4070	0	Kielin/chordin-like protein	.	.	.	.	pfam00094	VWD	von Willebrand factor type D domain. Luciferin-2-monooxygenase from Vargula hilgendorfii contains a vwd domain. Its function is unrelated but the similarity is very strong by several methods.	.	GO:0005576|extracellular region;	.	.	.	10.1832952	6.498316564	11.82625416	7.684685915	7.816573539	10.62914976	0.592377442	0.373655487	0.303033299	0.603602572	0.607578876	0.624489811	6.247932519	6.651093087	6.730894349	4.505757679	5.726802731	6.864878849	0.278106057	0.263732102	0.430200914	0.389142638	0.258238093	0.489775294	5.858839391	6.039192545	5.798525772	5.842623478	4.382103917	5.032112276	0.690664512	0.591114178	0.253126334	0.60056475	0.293915173	0.223137251	10.28932087	10.11370904	15.90412968	12.10858955	8.377249759	7.886921007	0.318889019	0.468175637	0.474672822	0.92851158	0.822819153	0.619264031
inha	protein_coding	chrNW_016683550.1:207133-209436:-	gi|73853874|ref|NP_001027522.1|	1880	0	inhibin alpha chain [Xenopus tropicalis]	gi|73853873|ref|NM_001032351.1|	1620	0	Xenopus tropicalis inhibin alpha (inha), mRNA	P04087	254	3.00E-77	Inhibin alpha chain	.	.	.	.	pfam00019	TGF_beta	Transforming growth factor beta like domain.	GO:0048468|cell development;GO:0042541|hemoglobin biosynthetic process;GO:0010862|positive regulation of pathway-restricted SMAD protein phosphorylation;GO:0042981|regulation of apoptotic process;GO:0043408|regulation of MAPK cascade;GO:0060395|SMAD protein signal transduction;	GO:0005615|extracellular space;	GO:0005125|cytokine activity;GO:0005160|transforming growth factor beta receptor binding;	K05500	INHA; inhibin, alpha	65.91942105	39.8837845	37.61535604	39.57107197	43.98260651	47.09773529	0.424728285	0.193643647	1.368529109	0.399803129	0.836749948	3.233897345	34.74006474	19.59544043	34.15066835	24.17509926	42.24260904	33.71264037	0.214431368	0.077556153	0.209227949	0.833351352	0.046649177	2.322468638	28.02054114	28.30525973	24.25718183	30.97264059	22.42326638	46.50855683	0.386438527	0.397589808	0.400100468	0.159877719	0.079076213	0.0	39.22771813	41.45664681	46.25508259	52.1211185	36.47662904	43.34588589	0.632529947	0.074938231	0.038476139	1.287734301	1.758526858	1.193241242
col5a1	protein_coding	chrNW_016683374.1:960968-1101225:+	gi|512857820|ref|XP_004916702.1|	1961	0	PREDICTED: collagen alpha-1(V) chain isoform X1 [Xenopus tropicalis]	gi|847157796|ref|XM_004916645.2|	10830	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 1 (col5a1), transcript variant X1, mRNA	P20908	65.1	1.00E-08	Collagen alpha-1(V) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0001568|blood vessel development;GO:0007155|cell adhesion;GO:0016477|cell migration;GO:0032964|collagen biosynthetic process;GO:0030574|collagen catabolic process;GO:0030199|collagen fibril organization;GO:0030198|extracellular matrix organization;GO:0048592|eye morphogenesis;GO:0003007|heart morphogenesis;GO:0045112|integrin biosynthetic process;GO:1903225|negative regulation of endodermal cell differentiation;GO:0051128|regulation of cellular component organization;GO:0043588|skin development;GO:0035989|tendon development;GO:0035313|wound healing, spreading of epidermal cells;	GO:0005604|basement membrane;GO:0005588|collagen type V trimer;GO:0005788|endoplasmic reticulum lumen;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;GO:0008201|heparin binding;GO:0005178|integrin binding;GO:0046872|metal ion binding;GO:0048407|platelet-derived growth factor binding;GO:0043394|proteoglycan binding;	.	.	34.99069122	49.47301952	35.72474111	37.05108728	25.66831686	47.34904731	16.30368459	10.63305991	6.464922812	14.60609501	13.92505464	21.50618752	30.19537166	15.79118742	22.66820235	29.09253106	23.85935141	26.82628805	5.799197198	3.598022719	5.378413729	4.973749016	3.533630463	9.866562485	27.66439785	28.93213158	31.59583959	30.28042278	22.1119024	26.39765958	13.11965496	7.275262624	4.047049435	8.116280045	3.524206026	6.147743593	26.38730084	52.25530267	27.65465867	49.74778907	33.52245162	34.44674527	6.061351175	13.4902346	7.526278031	25.17541211	17.77092739	17.08366511
col3a1	protein_coding	chrNC_030685.1:39803845-39864240:-	gi|218847780|ref|NP_001136379.1|	1436	1.00E-166	collagen alpha-1(III) chain precursor [Xenopus tropicalis]	gi|218847779|ref|NM_001142907.1|	5222	0	Xenopus (Silurana) tropicalis collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) (col3a1), mRNA	P13941	147	4.00E-34	Collagen alpha-1(III) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0007568|aging;GO:0060414|aorta smooth muscle tissue morphogenesis;GO:0007160|cell-matrix adhesion;GO:0071230|cellular response to amino acid stimulus;GO:0021987|cerebral cortex development;GO:0030199|collagen fibril organization;GO:0048565|digestive tract development;GO:0007507|heart development;GO:0007229|integrin-mediated signaling pathway;GO:0050777|negative regulation of immune response;GO:2001223|negative regulation of neuron migration;GO:0018149|peptide cross-linking;GO:0035025|positive regulation of Rho protein signal transduction;GO:0034097|response to cytokine;GO:0009612|response to mechanical stimulus;GO:0009314|response to radiation;GO:0001501|skeletal system development;GO:0043588|skin development;GO:0007179|transforming growth factor beta receptor signaling pathway;GO:0042060|wound healing;	GO:0005586|collagen type III trimer;GO:0031012|extracellular matrix;GO:0005615|extracellular space;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	530.5120416	766.0607238	531.4176023	619.401693	332.6138542	720.5334255	204.0652051	127.2701475	52.53090397	290.7517826	163.9834012	384.9958408	423.6971901	179.1158612	310.11797	366.1707186	275.5519026	298.1226471	49.49444633	12.75676286	43.7667305	47.09469868	23.692494	119.4971046	420.581195	414.9438441	451.5016001	405.9908933	249.2928697	454.7632522	192.1601958	53.23853053	33.03837604	54.14162577	18.60083688	66.39429613	332.8126691	840.4533096	287.8375889	802.8164029	502.6910356	444.8420349	40.19431279	284.4406109	68.9872927	530.7254022	184.3259224	232.3482728
